category;date;percent;downloads
without_mirrors;2020-05-01;0.04%;1
with_mirrors;2020-05-01;0.38%;9
with_mirrors;2020-05-01;0.37%;9
with_mirrors;2020-05-02;0.24%;6
without_mirrors;2020-05-02;0.08%;2
with_mirrors;2020-05-02;0.25%;6
without_mirrors;2020-05-03;0.08%;2
with_mirrors;2020-05-03;0.24%;6
with_mirrors;2020-05-03;0.25%;6
with_mirrors;2020-05-04;0.37%;9
with_mirrors;2020-05-04;0.38%;9
without_mirrors;2020-05-04;0.12%;3
without_mirrors;2020-05-04;0.13%;3
with_mirrors;2020-05-05;0.25%;6
with_mirrors;2020-05-05;0.24%;6
with_mirrors;2020-05-06;0.50%;12
without_mirrors;2020-05-06;0.04%;1
with_mirrors;2020-05-06;0.49%;12
with_mirrors;2020-05-07;0.38%;9
without_mirrors;2020-05-07;0.04%;1
with_mirrors;2020-05-07;0.37%;9
with_mirrors;2020-05-08;0.24%;6
with_mirrors;2020-05-08;0.25%;6
with_mirrors;2020-05-09;0.17%;4
with_mirrors;2020-05-09;0.16%;4
without_mirrors;2020-05-10;0.04%;1
with_mirrors;2020-05-10;0.12%;3
with_mirrors;2020-05-10;0.13%;3
with_mirrors;2020-05-11;0.16%;4
with_mirrors;2020-05-11;0.17%;4
with_mirrors;2020-05-12;0.65%;16
with_mirrors;2020-05-12;0.67%;16
with_mirrors;2020-05-12;0.66%;16
with_mirrors;2020-05-13;0.65%;16
with_mirrors;2020-05-13;0.66%;16
with_mirrors;2020-05-13;0.67%;16
without_mirrors;2020-05-14;0.17%;4
with_mirrors;2020-05-14;0.57%;14
without_mirrors;2020-05-14;0.16%;4
with_mirrors;2020-05-14;0.58%;14
without_mirrors;2020-05-15;0.13%;3
with_mirrors;2020-05-15;0.63%;15
without_mirrors;2020-05-15;0.12%;3
with_mirrors;2020-05-15;0.62%;15
with_mirrors;2020-05-15;0.61%;15
with_mirrors;2020-05-16;0.83%;20
with_mirrors;2020-05-16;0.81%;20
with_mirrors;2020-05-17;0.45%;11
with_mirrors;2020-05-17;0.46%;11
without_mirrors;2020-05-17;0.08%;2
without_mirrors;2020-05-18;0.04%;1
with_mirrors;2020-05-18;0.12%;3
with_mirrors;2020-05-18;0.13%;3
without_mirrors;2020-05-19;0.08%;2
with_mirrors;2020-05-19;0.46%;11
with_mirrors;2020-05-19;0.45%;11
without_mirrors;2020-05-20;0.13%;3
with_mirrors;2020-05-20;0.54%;13
with_mirrors;2020-05-20;0.53%;13
without_mirrors;2020-05-20;0.12%;3
with_mirrors;2020-05-21;0.58%;14
with_mirrors;2020-05-21;0.57%;14
without_mirrors;2020-05-21;0.08%;2
with_mirrors;2020-05-22;0.16%;4
with_mirrors;2020-05-22;0.17%;4
with_mirrors;2020-05-23;0.29%;7
without_mirrors;2020-05-23;0.13%;3
without_mirrors;2020-05-23;0.12%;3
without_mirrors;2020-05-24;0.04%;1
with_mirrors;2020-05-24;0.70%;17
with_mirrors;2020-05-24;0.71%;17
with_mirrors;2020-05-24;0.69%;17
without_mirrors;2020-05-25;0.04%;1
with_mirrors;2020-05-25;0.54%;13
with_mirrors;2020-05-25;0.53%;13
