category;date;percent;downloads
without_mirrors;2020-05-01;0.18%;26
with_mirrors;2020-05-01;0.50%;74
with_mirrors;2020-05-02;0.04%;6
with_mirrors;2020-05-03;0.29%;43
without_mirrors;2020-05-03;0.05%;7
without_mirrors;2020-05-04;0.21%;31
with_mirrors;2020-05-04;0.35%;51
without_mirrors;2020-05-05;0.14%;20
with_mirrors;2020-05-05;0.30%;44
without_mirrors;2020-05-06;0.06%;9
with_mirrors;2020-05-06;0.22%;33
without_mirrors;2020-05-07;0.08%;12
with_mirrors;2020-05-07;0.56%;83
with_mirrors;2020-05-08;0.42%;62
without_mirrors;2020-05-08;0.12%;17
without_mirrors;2020-05-09;0.09%;13
with_mirrors;2020-05-09;0.13%;19
with_mirrors;2020-05-10;0.12%;17
without_mirrors;2020-05-10;0.07%;11
with_mirrors;2020-05-11;0.39%;58
without_mirrors;2020-05-11;0.23%;34
with_mirrors;2020-05-12;0.58%;85
without_mirrors;2020-05-12;0.12%;18
without_mirrors;2020-05-13;0.14%;20
with_mirrors;2020-05-13;0.59%;87
without_mirrors;2020-05-14;0.20%;30
with_mirrors;2020-05-14;0.34%;50
with_mirrors;2020-05-15;0.46%;68
without_mirrors;2020-05-15;0.08%;12
with_mirrors;2020-05-16;0.55%;82
without_mirrors;2020-05-16;0.03%;4
with_mirrors;2020-05-17;0.43%;63
without_mirrors;2020-05-17;0.02%;3
without_mirrors;2020-05-18;0.09%;14
with_mirrors;2020-05-18;0.12%;17
without_mirrors;2020-05-19;0.09%;14
with_mirrors;2020-05-19;0.39%;58
without_mirrors;2020-05-20;0.07%;11
with_mirrors;2020-05-20;0.49%;72
with_mirrors;2020-05-21;0.50%;74
without_mirrors;2020-05-21;0.05%;8
with_mirrors;2020-05-22;0.53%;79
without_mirrors;2020-05-22;0.16%;23
with_mirrors;2020-05-23;0.28%;42
without_mirrors;2020-05-23;0.03%;5
without_mirrors;2020-05-24;0.47%;69
with_mirrors;2020-05-24;1.37%;203
with_mirrors;2020-05-25;2.04%;302
without_mirrors;2020-05-25;0.20%;30
with_mirrors;2020-05-26;2.54%;375
without_mirrors;2020-05-26;0.64%;95
without_mirrors;2020-05-27;0.22%;32
with_mirrors;2020-05-27;2.44%;361
without_mirrors;2020-05-28;0.51%;75
with_mirrors;2020-05-28;1.13%;167
with_mirrors;2020-05-29;1.85%;274
without_mirrors;2020-05-29;0.37%;55
without_mirrors;2020-05-30;0.30%;44
with_mirrors;2020-05-30;1.33%;197
with_mirrors;2020-05-31;0.45%;66
without_mirrors;2020-05-31;0.04%;6
without_mirrors;2020-06-01;0.06%;9
with_mirrors;2020-06-01;0.36%;53
without_mirrors;2020-06-02;0.30%;44
with_mirrors;2020-06-02;0.92%;136
without_mirrors;2020-06-03;0.05%;8
with_mirrors;2020-06-03;0.42%;62
without_mirrors;2020-06-04;0.09%;13
with_mirrors;2020-06-04;1.39%;205
without_mirrors;2020-06-05;0.08%;12
with_mirrors;2020-06-05;1.35%;200
with_mirrors;2020-06-06;0.70%;104
without_mirrors;2020-06-06;0.03%;4
without_mirrors;2020-06-07;0.06%;9
with_mirrors;2020-06-07;0.62%;92
without_mirrors;2020-06-08;0.10%;15
with_mirrors;2020-06-08;0.68%;100
with_mirrors;2020-06-09;0.69%;102
without_mirrors;2020-06-09;0.14%;21
with_mirrors;2020-06-10;0.62%;92
without_mirrors;2020-06-10;0.12%;18
without_mirrors;2020-06-11;0.12%;18
with_mirrors;2020-06-11;0.55%;82
with_mirrors;2020-06-12;0.45%;67
without_mirrors;2020-06-12;0.09%;14
without_mirrors;2020-06-13;0.03%;4
with_mirrors;2020-06-13;0.61%;90
without_mirrors;2020-06-14;0.01%;2
with_mirrors;2020-06-14;0.03%;4
without_mirrors;2020-06-15;0.07%;11
with_mirrors;2020-06-15;0.49%;73
with_mirrors;2020-06-16;0.84%;124
without_mirrors;2020-06-16;0.27%;40
without_mirrors;2020-06-17;0.11%;16
with_mirrors;2020-06-17;0.82%;121
with_mirrors;2020-06-18;0.18%;26
without_mirrors;2020-06-18;0.05%;7
with_mirrors;2020-06-19;0.99%;146
without_mirrors;2020-06-19;0.08%;12
without_mirrors;2020-06-20;0.05%;7
with_mirrors;2020-06-20;0.40%;59
without_mirrors;2020-06-21;0.02%;3
with_mirrors;2020-06-21;0.24%;35
with_mirrors;2020-06-22;0.26%;39
without_mirrors;2020-06-22;0.08%;12
