category;date;percent;downloads
with_mirrors;2020-05-01;0.39%;9
without_mirrors;2020-05-01;0.04%;1
without_mirrors;2020-05-02;0.09%;2
with_mirrors;2020-05-02;0.09%;2
with_mirrors;2020-05-03;6.72%;155
without_mirrors;2020-05-03;1.56%;36
with_mirrors;2020-05-04;6.07%;140
without_mirrors;2020-05-04;0.39%;9
with_mirrors;2020-05-05;1.73%;40
without_mirrors;2020-05-06;0.09%;2
with_mirrors;2020-05-06;1.26%;29
with_mirrors;2020-05-07;1.21%;28
without_mirrors;2020-05-08;0.09%;2
with_mirrors;2020-05-08;0.74%;17
with_mirrors;2020-05-09;0.61%;14
with_mirrors;2020-05-10;0.56%;13
without_mirrors;2020-05-10;0.13%;3
without_mirrors;2020-05-11;0.17%;4
with_mirrors;2020-05-11;0.78%;18
without_mirrors;2020-05-12;0.04%;1
with_mirrors;2020-05-12;1.13%;26
with_mirrors;2020-05-13;1.39%;32
without_mirrors;2020-05-13;0.04%;1
without_mirrors;2020-05-14;0.09%;2
with_mirrors;2020-05-14;0.61%;14
with_mirrors;2020-05-15;1.08%;25
without_mirrors;2020-05-15;0.56%;13
with_mirrors;2020-05-16;1.47%;34
with_mirrors;2020-05-17;0.52%;12
with_mirrors;2020-05-18;0.56%;13
without_mirrors;2020-05-18;0.04%;1
without_mirrors;2020-05-19;0.09%;2
with_mirrors;2020-05-19;0.82%;19
with_mirrors;2020-05-20;0.61%;14
without_mirrors;2020-05-20;0.04%;1
without_mirrors;2020-05-21;0.04%;1
with_mirrors;2020-05-21;0.82%;19
with_mirrors;2020-05-22;0.43%;10
with_mirrors;2020-05-23;0.82%;19
without_mirrors;2020-05-23;0.04%;1
with_mirrors;2020-05-24;1.21%;28
with_mirrors;2020-05-25;0.43%;10
with_mirrors;2020-05-26;0.82%;19
without_mirrors;2020-05-26;0.22%;5
with_mirrors;2020-05-27;1.00%;23
without_mirrors;2020-05-27;0.13%;3
without_mirrors;2020-05-28;0.04%;1
with_mirrors;2020-05-28;0.30%;7
without_mirrors;2020-05-29;0.09%;2
with_mirrors;2020-05-29;0.87%;20
with_mirrors;2020-05-30;0.61%;14
without_mirrors;2020-05-31;0.30%;7
with_mirrors;2020-05-31;0.39%;9
with_mirrors;2020-06-01;0.13%;3
with_mirrors;2020-06-02;0.26%;6
without_mirrors;2020-06-03;0.09%;2
with_mirrors;2020-06-03;0.87%;20
with_mirrors;2020-06-04;1.91%;44
without_mirrors;2020-06-05;0.09%;2
with_mirrors;2020-06-05;1.47%;34
with_mirrors;2020-06-06;1.13%;26
with_mirrors;2020-06-07;0.65%;15
without_mirrors;2020-06-08;0.04%;1
with_mirrors;2020-06-08;0.56%;13
without_mirrors;2020-06-09;0.09%;2
with_mirrors;2020-06-09;0.48%;11
without_mirrors;2020-06-10;0.13%;3
with_mirrors;2020-06-10;0.65%;15
without_mirrors;2020-06-11;0.09%;2
with_mirrors;2020-06-11;0.61%;14
with_mirrors;2020-06-12;0.30%;7
without_mirrors;2020-06-12;0.04%;1
with_mirrors;2020-06-13;0.78%;18
with_mirrors;2020-06-14;0.09%;2
with_mirrors;2020-06-15;0.39%;9
without_mirrors;2020-06-15;0.09%;2
with_mirrors;2020-06-16;1.04%;24
without_mirrors;2020-06-16;0.17%;4
without_mirrors;2020-06-17;0.04%;1
with_mirrors;2020-06-17;1.52%;35
with_mirrors;2020-06-18;0.26%;6
with_mirrors;2020-06-19;0.78%;18
without_mirrors;2020-06-20;0.04%;1
with_mirrors;2020-06-20;0.56%;13
with_mirrors;2020-06-21;0.52%;12
without_mirrors;2020-06-22;0.17%;4
with_mirrors;2020-06-22;0.22%;5
without_mirrors;2020-06-23;0.13%;3
with_mirrors;2020-06-23;1.17%;27
with_mirrors;2020-06-24;0.61%;14
without_mirrors;2020-06-25;0.09%;2
with_mirrors;2020-06-25;0.61%;14
with_mirrors;2020-06-26;0.52%;12
with_mirrors;2020-06-27;0.52%;12
with_mirrors;2020-06-28;0.52%;12
with_mirrors;2020-06-29;0.82%;19
without_mirrors;2020-06-29;0.04%;1
with_mirrors;2020-06-30;0.35%;8
with_mirrors;2020-07-01;0.39%;9
without_mirrors;2020-07-01;0.04%;1
with_mirrors;2020-07-02;0.74%;17
without_mirrors;2020-07-02;0.04%;1
with_mirrors;2020-07-03;0.26%;6
with_mirrors;2020-07-04;0.26%;6
with_mirrors;2020-07-05;0.26%;6
without_mirrors;2020-07-06;0.09%;2
with_mirrors;2020-07-06;0.35%;8
with_mirrors;2020-07-07;0.52%;12
with_mirrors;2020-07-08;0.95%;22
with_mirrors;2020-07-09;0.26%;6
with_mirrors;2020-07-10;0.52%;12
with_mirrors;2020-07-11;0.78%;18
with_mirrors;2020-07-12;0.09%;2
with_mirrors;2020-07-13;0.52%;12
with_mirrors;2020-07-14;0.30%;7
without_mirrors;2020-07-14;0.04%;1
without_mirrors;2020-07-15;0.22%;5
with_mirrors;2020-07-15;1.47%;34
with_mirrors;2020-07-16;0.17%;4
with_mirrors;2020-07-17;0.56%;13
without_mirrors;2020-07-17;0.04%;1
with_mirrors;2020-07-18;0.78%;18
with_mirrors;2020-07-19;0.09%;2
with_mirrors;2020-07-20;0.52%;12
with_mirrors;2020-07-21;0.43%;10
without_mirrors;2020-07-21;0.04%;1
with_mirrors;2020-07-22;0.65%;15
without_mirrors;2020-07-22;0.13%;3
with_mirrors;2020-07-23;0.65%;15
with_mirrors;2020-07-24;0.22%;5
without_mirrors;2020-07-25;0.04%;1
with_mirrors;2020-07-25;1.13%;26
with_mirrors;2020-07-27;0.35%;8
with_mirrors;2020-07-28;1.26%;29
without_mirrors;2020-07-28;0.13%;3
with_mirrors;2020-07-29;0.30%;7
without_mirrors;2020-07-29;0.09%;2
with_mirrors;2020-07-30;0.69%;16
without_mirrors;2020-07-30;0.04%;1
without_mirrors;2020-07-31;0.04%;1
with_mirrors;2020-07-31;0.13%;3
without_mirrors;2020-08-01;0.13%;3
with_mirrors;2020-08-01;1.43%;33
with_mirrors;2020-08-03;0.26%;6
without_mirrors;2020-08-04;0.09%;2
with_mirrors;2020-08-04;0.35%;8
