category;date;percent;downloads
with_mirrors;2020-05-01;0.48%;17
without_mirrors;2020-05-01;0.25%;9
with_mirrors;2020-05-01;0.47%;17
with_mirrors;2020-05-02;0.11%;4
without_mirrors;2020-05-03;0.06%;2
with_mirrors;2020-05-03;0.17%;6
with_mirrors;2020-05-04;0.03%;1
without_mirrors;2020-05-05;0.06%;2
with_mirrors;2020-05-05;0.25%;9
with_mirrors;2020-05-06;0.20%;7
with_mirrors;2020-05-06;0.19%;7
with_mirrors;2020-05-07;0.22%;8
with_mirrors;2020-05-08;0.20%;7
without_mirrors;2020-05-08;0.03%;1
with_mirrors;2020-05-08;0.19%;7
with_mirrors;2020-05-09;0.22%;8
with_mirrors;2020-05-10;0.17%;6
with_mirrors;2020-05-11;0.11%;4
with_mirrors;2020-05-12;0.19%;7
with_mirrors;2020-05-12;0.20%;7
with_mirrors;2020-05-13;0.44%;16
with_mirrors;2020-05-13;0.45%;16
with_mirrors;2020-05-14;0.28%;10
with_mirrors;2020-05-15;0.22%;8
without_mirrors;2020-05-15;0.17%;6
with_mirrors;2020-05-16;0.66%;24
with_mirrors;2020-05-16;0.67%;24
with_mirrors;2020-05-17;0.11%;4
without_mirrors;2020-05-18;0.03%;1
with_mirrors;2020-05-18;0.14%;5
without_mirrors;2020-05-19;0.06%;2
with_mirrors;2020-05-19;0.36%;13
with_mirrors;2020-05-20;0.34%;12
with_mirrors;2020-05-20;0.33%;12
without_mirrors;2020-05-20;0.08%;3
with_mirrors;2020-05-21;0.25%;9
without_mirrors;2020-05-21;0.03%;1
with_mirrors;2020-05-22;0.22%;8
without_mirrors;2020-05-23;0.03%;1
with_mirrors;2020-05-23;0.14%;5
with_mirrors;2020-05-24;0.44%;16
with_mirrors;2020-05-24;0.45%;16
with_mirrors;2020-05-25;0.11%;4
without_mirrors;2020-05-26;0.03%;1
with_mirrors;2020-05-26;0.14%;5
with_mirrors;2020-05-27;0.42%;15
with_mirrors;2020-05-27;0.41%;15
without_mirrors;2020-05-27;0.08%;3
without_mirrors;2020-05-28;0.03%;1
with_mirrors;2020-05-28;0.25%;9
with_mirrors;2020-05-29;0.17%;6
with_mirrors;2020-05-30;0.34%;12
with_mirrors;2020-05-30;0.33%;12
with_mirrors;2020-05-31;0.45%;16
without_mirrors;2020-05-31;0.17%;6
with_mirrors;2020-05-31;0.44%;16
with_mirrors;2020-06-01;0.03%;1
without_mirrors;2020-06-01;0.03%;1
with_mirrors;2020-06-02;0.11%;4
with_mirrors;2020-06-03;0.39%;14
with_mirrors;2020-06-04;0.47%;17
with_mirrors;2020-06-04;0.48%;17
with_mirrors;2020-06-05;0.45%;16
with_mirrors;2020-06-05;0.44%;16
with_mirrors;2020-06-06;0.50%;18
with_mirrors;2020-06-07;0.22%;8
with_mirrors;2020-06-08;0.22%;8
with_mirrors;2020-06-09;0.28%;10
without_mirrors;2020-06-09;0.06%;2
without_mirrors;2020-06-10;0.03%;1
with_mirrors;2020-06-10;0.14%;5
without_mirrors;2020-06-11;0.06%;2
with_mirrors;2020-06-11;0.06%;2
with_mirrors;2020-06-12;0.22%;8
with_mirrors;2020-06-13;0.11%;4
with_mirrors;2020-06-14;4.01%;145
with_mirrors;2020-06-14;4.06%;145
without_mirrors;2020-06-14;0.84%;30
without_mirrors;2020-06-14;0.83%;30
with_mirrors;2020-06-14;4.05%;145
with_mirrors;2020-06-15;3.84%;137
with_mirrors;2020-06-15;3.83%;137
with_mirrors;2020-06-15;3.79%;137
without_mirrors;2020-06-15;0.25%;9
with_mirrors;2020-06-16;0.91%;33
without_mirrors;2020-06-16;0.03%;1
with_mirrors;2020-06-16;0.92%;33
with_mirrors;2020-06-17;0.84%;30
with_mirrors;2020-06-17;0.83%;30
without_mirrors;2020-06-18;0.11%;4
with_mirrors;2020-06-18;0.66%;24
with_mirrors;2020-06-18;0.67%;24
without_mirrors;2020-06-19;0.19%;7
without_mirrors;2020-06-19;0.20%;7
with_mirrors;2020-06-19;0.70%;25
with_mirrors;2020-06-19;0.69%;25
without_mirrors;2020-06-20;0.11%;4
with_mirrors;2020-06-20;0.62%;22
with_mirrors;2020-06-20;0.61%;22
without_mirrors;2020-06-21;0.31%;11
with_mirrors;2020-06-21;0.86%;31
with_mirrors;2020-06-21;0.87%;31
without_mirrors;2020-06-21;0.30%;11
without_mirrors;2020-06-22;0.20%;7
with_mirrors;2020-06-22;0.48%;17
with_mirrors;2020-06-22;0.47%;17
without_mirrors;2020-06-22;0.19%;7
with_mirrors;2020-06-23;0.94%;34
without_mirrors;2020-06-23;0.19%;7
with_mirrors;2020-06-23;0.95%;34
without_mirrors;2020-06-23;0.20%;7
with_mirrors;2020-06-24;0.58%;21
with_mirrors;2020-06-24;0.59%;21
without_mirrors;2020-06-24;0.20%;7
without_mirrors;2020-06-24;0.19%;7
without_mirrors;2020-06-25;0.19%;7
with_mirrors;2020-06-25;0.92%;33
without_mirrors;2020-06-25;0.20%;7
with_mirrors;2020-06-25;0.91%;33
with_mirrors;2020-06-26;0.25%;9
without_mirrors;2020-06-26;0.20%;7
without_mirrors;2020-06-26;0.19%;7
with_mirrors;2020-06-27;0.69%;25
with_mirrors;2020-06-27;0.70%;25
without_mirrors;2020-06-27;0.08%;3
with_mirrors;2020-06-28;0.39%;14
without_mirrors;2020-06-29;0.11%;4
with_mirrors;2020-06-29;0.83%;30
with_mirrors;2020-06-29;0.84%;30
without_mirrors;2020-06-30;0.06%;2
with_mirrors;2020-06-30;0.22%;8
with_mirrors;2020-07-01;0.30%;11
without_mirrors;2020-07-01;0.08%;3
with_mirrors;2020-07-01;0.31%;11
with_mirrors;2020-07-02;0.53%;19
with_mirrors;2020-07-03;0.53%;19
without_mirrors;2020-07-03;0.03%;1
with_mirrors;2020-07-04;0.22%;8
without_mirrors;2020-07-05;0.03%;1
with_mirrors;2020-07-05;0.25%;9
without_mirrors;2020-07-06;0.06%;2
with_mirrors;2020-07-06;0.11%;4
