category;date;percent;downloads
with_mirrors;2020-05-01;0.50%;22
without_mirrors;2020-05-01;0.36%;16
without_mirrors;2020-05-01;0.37%;16
without_mirrors;2020-05-02;0.43%;19
with_mirrors;2020-05-02;0.53%;23
with_mirrors;2020-05-02;0.52%;23
with_mirrors;2020-05-03;0.57%;25
without_mirrors;2020-05-03;0.39%;17
without_mirrors;2020-05-03;0.38%;17
with_mirrors;2020-05-03;0.56%;25
without_mirrors;2020-05-04;0.11%;5
with_mirrors;2020-05-04;0.20%;9
with_mirrors;2020-05-04;0.21%;9
with_mirrors;2020-05-05;0.27%;12
without_mirrors;2020-05-05;0.18%;8
without_mirrors;2020-05-06;0.18%;8
with_mirrors;2020-05-06;0.38%;17
with_mirrors;2020-05-06;0.39%;17
without_mirrors;2020-05-07;0.27%;12
with_mirrors;2020-05-07;0.46%;20
with_mirrors;2020-05-07;0.45%;20
with_mirrors;2020-05-08;0.32%;14
without_mirrors;2020-05-08;0.18%;8
with_mirrors;2020-05-09;0.43%;19
without_mirrors;2020-05-09;0.29%;13
without_mirrors;2020-05-09;0.30%;13
without_mirrors;2020-05-10;0.14%;6
with_mirrors;2020-05-10;0.32%;14
with_mirrors;2020-05-11;0.39%;17
with_mirrors;2020-05-11;0.38%;17
without_mirrors;2020-05-11;0.18%;8
without_mirrors;2020-05-12;0.25%;11
with_mirrors;2020-05-12;0.52%;23
with_mirrors;2020-05-12;0.53%;23
with_mirrors;2020-05-13;0.80%;35
with_mirrors;2020-05-13;0.79%;35
without_mirrors;2020-05-13;0.34%;15
without_mirrors;2020-05-14;0.27%;12
with_mirrors;2020-05-14;0.50%;22
with_mirrors;2020-05-15;0.45%;20
with_mirrors;2020-05-15;0.46%;20
without_mirrors;2020-05-15;0.41%;18
with_mirrors;2020-05-16;0.82%;36
without_mirrors;2020-05-16;0.25%;11
with_mirrors;2020-05-16;0.81%;36
without_mirrors;2020-05-17;0.16%;7
with_mirrors;2020-05-17;0.25%;11
with_mirrors;2020-05-18;0.34%;15
without_mirrors;2020-05-18;0.27%;12
without_mirrors;2020-05-19;0.29%;13
without_mirrors;2020-05-19;0.30%;13
with_mirrors;2020-05-19;0.68%;30
with_mirrors;2020-05-19;0.69%;30
with_mirrors;2020-05-20;0.57%;25
without_mirrors;2020-05-20;0.38%;17
without_mirrors;2020-05-20;0.39%;17
with_mirrors;2020-05-20;0.56%;25
without_mirrors;2020-05-21;0.62%;27
with_mirrors;2020-05-21;0.70%;31
without_mirrors;2020-05-21;0.61%;27
with_mirrors;2020-05-21;0.71%;31
with_mirrors;2020-05-22;0.34%;15
without_mirrors;2020-05-22;0.11%;5
without_mirrors;2020-05-23;0.25%;11
with_mirrors;2020-05-23;0.34%;15
with_mirrors;2020-05-24;0.87%;38
without_mirrors;2020-05-24;0.32%;14
with_mirrors;2020-05-24;0.86%;38
with_mirrors;2020-05-25;0.87%;38
