category;date;percent;downloads
without_mirrors;2020-05-01;0.12%;5
with_mirrors;2020-05-01;0.30%;13
without_mirrors;2020-05-02;0.02%;1
with_mirrors;2020-05-02;0.02%;1
without_mirrors;2020-05-03;0.09%;4
with_mirrors;2020-05-03;0.47%;20
without_mirrors;2020-05-06;0.05%;2
with_mirrors;2020-05-06;0.14%;6
with_mirrors;2020-05-07;0.56%;24
with_mirrors;2020-05-08;0.28%;12
without_mirrors;2020-05-09;0.05%;2
with_mirrors;2020-05-09;0.23%;10
with_mirrors;2020-05-10;0.35%;15
without_mirrors;2020-05-10;0.02%;1
with_mirrors;2020-05-11;0.23%;10
without_mirrors;2020-05-11;0.02%;1
with_mirrors;2020-05-12;0.35%;15
without_mirrors;2020-05-12;0.02%;1
with_mirrors;2020-05-13;1.12%;48
without_mirrors;2020-05-13;0.19%;8
with_mirrors;2020-05-14;0.35%;15
without_mirrors;2020-05-14;0.12%;5
without_mirrors;2020-05-15;0.23%;10
with_mirrors;2020-05-15;0.47%;20
with_mirrors;2020-05-16;0.98%;42
without_mirrors;2020-05-16;0.02%;1
with_mirrors;2020-05-17;0.45%;19
without_mirrors;2020-05-17;0.02%;1
with_mirrors;2020-05-18;0.26%;11
without_mirrors;2020-05-18;0.02%;1
with_mirrors;2020-05-19;0.33%;14
without_mirrors;2020-05-19;0.09%;4
with_mirrors;2020-05-20;0.40%;17
without_mirrors;2020-05-20;0.05%;2
without_mirrors;2020-05-21;0.02%;1
with_mirrors;2020-05-21;0.59%;25
with_mirrors;2020-05-22;0.37%;16
with_mirrors;2020-05-23;0.33%;14
without_mirrors;2020-05-23;0.02%;1
with_mirrors;2020-05-24;0.77%;33
with_mirrors;2020-05-25;0.26%;11
without_mirrors;2020-05-25;0.26%;11
without_mirrors;2020-05-26;0.02%;1
with_mirrors;2020-05-26;0.21%;9
with_mirrors;2020-05-27;0.28%;12
without_mirrors;2020-05-27;0.09%;4
without_mirrors;2020-05-28;0.07%;3
with_mirrors;2020-05-28;0.63%;27
with_mirrors;2020-05-29;0.56%;24
with_mirrors;2020-05-30;0.30%;13
without_mirrors;2020-05-30;0.12%;5
without_mirrors;2020-05-31;0.09%;4
with_mirrors;2020-05-31;0.33%;14
without_mirrors;2020-06-01;0.07%;3
with_mirrors;2020-06-01;0.07%;3
with_mirrors;2020-06-03;0.56%;24
with_mirrors;2020-06-04;0.37%;16
with_mirrors;2020-06-05;0.75%;32
with_mirrors;2020-06-06;0.19%;8
with_mirrors;2020-06-07;0.75%;32
without_mirrors;2020-06-08;0.02%;1
with_mirrors;2020-06-08;0.21%;9
without_mirrors;2020-06-09;0.09%;4
with_mirrors;2020-06-09;0.52%;22
without_mirrors;2020-06-10;0.07%;3
with_mirrors;2020-06-10;0.26%;11
without_mirrors;2020-06-11;0.12%;5
with_mirrors;2020-06-11;0.12%;5
with_mirrors;2020-06-12;0.87%;37
without_mirrors;2020-06-12;0.12%;5
without_mirrors;2020-06-13;0.02%;1
with_mirrors;2020-06-13;0.21%;9
with_mirrors;2020-06-14;0.05%;2
without_mirrors;2020-06-15;0.05%;2
with_mirrors;2020-06-15;0.23%;10
with_mirrors;2020-06-16;0.42%;18
with_mirrors;2020-06-17;0.59%;25
without_mirrors;2020-06-18;0.02%;1
with_mirrors;2020-06-18;0.19%;8
with_mirrors;2020-06-19;0.56%;24
with_mirrors;2020-06-20;0.40%;17
without_mirrors;2020-06-20;0.02%;1
without_mirrors;2020-06-21;0.05%;2
with_mirrors;2020-06-21;0.19%;8
with_mirrors;2020-06-22;4.08%;174
without_mirrors;2020-06-22;0.75%;32
without_mirrors;2020-06-23;0.35%;15
with_mirrors;2020-06-23;2.62%;112
without_mirrors;2020-06-24;0.07%;3
with_mirrors;2020-06-24;1.41%;60
with_mirrors;2020-06-25;0.66%;28
without_mirrors;2020-06-25;0.14%;6
without_mirrors;2020-06-26;0.07%;3
with_mirrors;2020-06-26;0.45%;19
with_mirrors;2020-06-27;0.52%;22
with_mirrors;2020-06-28;0.14%;6
without_mirrors;2020-06-28;0.05%;2
with_mirrors;2020-06-29;1.52%;65
without_mirrors;2020-06-29;0.09%;4
with_mirrors;2020-06-30;0.47%;20
without_mirrors;2020-06-30;0.14%;6
without_mirrors;2020-07-01;0.05%;2
with_mirrors;2020-07-01;0.73%;31
with_mirrors;2020-07-02;0.37%;16
with_mirrors;2020-07-03;0.47%;20
with_mirrors;2020-07-04;4.90%;209
without_mirrors;2020-07-04;0.80%;34
with_mirrors;2020-07-05;2.06%;88
without_mirrors;2020-07-05;0.19%;8
with_mirrors;2020-07-06;1.22%;52
without_mirrors;2020-07-06;0.28%;12
without_mirrors;2020-07-07;0.05%;2
with_mirrors;2020-07-07;0.56%;24
without_mirrors;2020-07-08;0.07%;3
with_mirrors;2020-07-08;1.12%;48
with_mirrors;2020-07-09;0.66%;28
without_mirrors;2020-07-09;0.09%;4
with_mirrors;2020-07-10;0.35%;15
without_mirrors;2020-07-10;0.16%;7
without_mirrors;2020-07-11;0.05%;2
with_mirrors;2020-07-11;0.70%;30
without_mirrors;2020-07-12;0.09%;4
with_mirrors;2020-07-12;0.28%;12
without_mirrors;2020-07-13;0.12%;5
with_mirrors;2020-07-13;0.70%;30
without_mirrors;2020-07-14;0.21%;9
with_mirrors;2020-07-14;0.96%;41
without_mirrors;2020-07-15;0.12%;5
with_mirrors;2020-07-15;1.05%;45
without_mirrors;2020-07-16;0.14%;6
with_mirrors;2020-07-16;0.80%;34
without_mirrors;2020-07-17;0.14%;6
with_mirrors;2020-07-17;0.52%;22
with_mirrors;2020-07-18;0.28%;12
without_mirrors;2020-07-19;0.05%;2
with_mirrors;2020-07-19;0.80%;34
without_mirrors;2020-07-20;0.02%;1
with_mirrors;2020-07-20;0.77%;33
without_mirrors;2020-07-21;0.21%;9
with_mirrors;2020-07-21;0.28%;12
without_mirrors;2020-07-22;0.63%;27
with_mirrors;2020-07-22;0.63%;27
without_mirrors;2020-07-23;0.19%;8
with_mirrors;2020-07-23;1.24%;53
with_mirrors;2020-07-24;0.96%;41
without_mirrors;2020-07-24;0.16%;7
without_mirrors;2020-07-25;0.14%;6
with_mirrors;2020-07-25;0.45%;19
without_mirrors;2020-07-26;0.12%;5
with_mirrors;2020-07-26;0.82%;35
without_mirrors;2020-07-27;0.16%;7
with_mirrors;2020-07-27;0.21%;9
with_mirrors;2020-07-28;0.98%;42
without_mirrors;2020-07-28;0.14%;6
without_mirrors;2020-07-29;0.09%;4
with_mirrors;2020-07-29;0.54%;23
with_mirrors;2020-07-30;0.26%;11
without_mirrors;2020-07-30;0.09%;4
without_mirrors;2020-07-31;0.12%;5
with_mirrors;2020-07-31;0.98%;42
with_mirrors;2020-08-01;0.61%;26
without_mirrors;2020-08-01;0.05%;2
without_mirrors;2020-08-02;0.02%;1
with_mirrors;2020-08-02;1.24%;53
with_mirrors;2020-08-03;0.21%;9
without_mirrors;2020-08-03;0.12%;5
with_mirrors;2020-08-04;0.33%;14
with_mirrors;2020-08-05;0.19%;8
without_mirrors;2020-08-05;0.09%;4
with_mirrors;2020-08-06;1.10%;47
without_mirrors;2020-08-06;0.19%;8
with_mirrors;2020-08-07;0.16%;7
with_mirrors;2020-08-08;3.49%;149
without_mirrors;2020-08-08;0.66%;28
without_mirrors;2020-08-09;0.37%;16
with_mirrors;2020-08-09;1.87%;80
without_mirrors;2020-08-10;0.21%;9
with_mirrors;2020-08-10;0.87%;37
with_mirrors;2020-08-11;1.22%;52
without_mirrors;2020-08-11;0.02%;1
with_mirrors;2020-08-12;1.36%;58
without_mirrors;2020-08-12;0.16%;7
with_mirrors;2020-08-13;0.63%;27
without_mirrors;2020-08-13;0.05%;2
with_mirrors;2020-08-14;1.17%;50
without_mirrors;2020-08-14;0.05%;2
with_mirrors;2020-08-15;1.01%;43
without_mirrors;2020-08-15;0.02%;1
without_mirrors;2020-08-16;0.05%;2
with_mirrors;2020-08-16;0.07%;3
with_mirrors;2020-08-17;0.07%;3
with_mirrors;2020-08-18;0.52%;22
without_mirrors;2020-08-18;0.05%;2
without_mirrors;2020-08-19;0.09%;4
