category;date;percent;downloads
with_mirrors;2020-05-01;0.06%;10
without_mirrors;2020-05-01;0.05%;8
with_mirrors;2020-05-02;0.01%;2
without_mirrors;2020-05-02;0.01%;2
with_mirrors;2020-05-03;0.05%;9
without_mirrors;2020-05-03;0.04%;7
with_mirrors;2020-05-04;0.20%;33
without_mirrors;2020-05-04;0.19%;31
without_mirrors;2020-05-04;0.18%;31
without_mirrors;2020-05-05;0.24%;41
with_mirrors;2020-05-05;0.69%;116
without_mirrors;2020-05-05;0.25%;41
without_mirrors;2020-05-06;0.09%;15
with_mirrors;2020-05-06;0.72%;121
without_mirrors;2020-05-07;0.07%;11
with_mirrors;2020-05-07;0.31%;51
with_mirrors;2020-05-07;0.30%;51
with_mirrors;2020-05-08;0.20%;33
without_mirrors;2020-05-08;0.02%;3
without_mirrors;2020-05-09;0.04%;7
with_mirrors;2020-05-09;0.16%;27
without_mirrors;2020-05-10;0.07%;11
with_mirrors;2020-05-10;0.17%;29
with_mirrors;2020-05-11;0.20%;33
without_mirrors;2020-05-11;0.11%;18
with_mirrors;2020-05-12;0.16%;26
without_mirrors;2020-05-12;0.11%;18
with_mirrors;2020-05-13;1.34%;224
without_mirrors;2020-05-13;0.28%;47
with_mirrors;2020-05-14;1.35%;227
without_mirrors;2020-05-14;0.21%;35
with_mirrors;2020-05-14;1.36%;227
with_mirrors;2020-05-15;1.27%;213
without_mirrors;2020-05-15;0.19%;32
with_mirrors;2020-05-16;0.74%;124
without_mirrors;2020-05-16;0.04%;6
without_mirrors;2020-05-17;0.05%;9
with_mirrors;2020-05-17;0.23%;39
with_mirrors;2020-05-18;0.44%;74
without_mirrors;2020-05-18;0.15%;25
with_mirrors;2020-05-19;0.32%;54
without_mirrors;2020-05-19;0.15%;25
without_mirrors;2020-05-20;0.09%;15
with_mirrors;2020-05-20;0.21%;35
without_mirrors;2020-05-21;0.06%;10
with_mirrors;2020-05-21;0.19%;32
with_mirrors;2020-05-22;0.31%;51
without_mirrors;2020-05-22;0.03%;5
with_mirrors;2020-05-22;0.30%;51
with_mirrors;2020-05-23;0.17%;28
without_mirrors;2020-05-23;0.01%;2
without_mirrors;2020-05-24;0.03%;5
with_mirrors;2020-05-24;0.38%;63
without_mirrors;2020-05-25;0.10%;17
with_mirrors;2020-05-25;0.18%;31
with_mirrors;2020-05-25;0.19%;31
without_mirrors;2020-05-26;0.13%;22
with_mirrors;2020-05-26;0.17%;28
without_mirrors;2020-05-27;0.07%;12
with_mirrors;2020-05-27;0.10%;16
without_mirrors;2020-05-28;0.10%;16
with_mirrors;2020-05-28;0.35%;58
with_mirrors;2020-05-29;0.21%;36
with_mirrors;2020-05-29;0.22%;36
without_mirrors;2020-05-29;0.06%;10
without_mirrors;2020-05-30;0.02%;4
with_mirrors;2020-05-30;0.08%;13
with_mirrors;2020-05-31;1.09%;183
without_mirrors;2020-05-31;0.32%;53
with_mirrors;2020-05-31;1.10%;183
without_mirrors;2020-06-01;0.13%;22
with_mirrors;2020-06-01;0.85%;142
with_mirrors;2020-06-02;0.46%;77
without_mirrors;2020-06-02;0.11%;18
without_mirrors;2020-06-03;0.05%;8
with_mirrors;2020-06-03;0.45%;76
without_mirrors;2020-06-04;0.27%;45
with_mirrors;2020-06-04;0.58%;97
without_mirrors;2020-06-05;0.47%;79
with_mirrors;2020-06-05;0.68%;114
with_mirrors;2020-06-06;0.51%;85
without_mirrors;2020-06-06;0.35%;59
with_mirrors;2020-06-07;0.60%;101
without_mirrors;2020-06-07;0.20%;34
without_mirrors;2020-06-08;0.03%;5
with_mirrors;2020-06-08;0.23%;39
without_mirrors;2020-06-09;0.14%;24
with_mirrors;2020-06-09;0.40%;67
without_mirrors;2020-06-10;0.13%;22
with_mirrors;2020-06-10;0.14%;24
without_mirrors;2020-06-11;0.09%;15
with_mirrors;2020-06-11;0.17%;29
with_mirrors;2020-06-12;0.29%;49
without_mirrors;2020-06-12;0.10%;17
without_mirrors;2020-06-13;0.04%;6
with_mirrors;2020-06-13;0.14%;24
without_mirrors;2020-06-14;0.01%;1
with_mirrors;2020-06-14;0.02%;3
without_mirrors;2020-06-15;0.10%;17
with_mirrors;2020-06-15;0.19%;31
with_mirrors;2020-06-15;0.18%;31
without_mirrors;2020-06-16;0.22%;36
without_mirrors;2020-06-16;0.21%;36
with_mirrors;2020-06-16;0.25%;42
with_mirrors;2020-06-17;0.33%;56
with_mirrors;2020-06-17;0.34%;56
without_mirrors;2020-06-17;0.08%;14
without_mirrors;2020-06-18;0.05%;9
with_mirrors;2020-06-18;0.05%;9
with_mirrors;2020-06-19;0.20%;33
without_mirrors;2020-06-19;0.07%;11
without_mirrors;2020-06-20;0.04%;6
with_mirrors;2020-06-20;0.17%;28
without_mirrors;2020-06-21;0.02%;4
with_mirrors;2020-06-21;0.10%;17
with_mirrors;2020-06-22;0.22%;36
with_mirrors;2020-06-22;0.21%;36
without_mirrors;2020-06-22;0.13%;21
with_mirrors;2020-06-23;0.23%;39
without_mirrors;2020-06-23;0.09%;15
with_mirrors;2020-06-24;0.17%;28
without_mirrors;2020-06-24;0.05%;9
with_mirrors;2020-06-25;0.09%;15
without_mirrors;2020-06-25;0.02%;3
with_mirrors;2020-06-26;0.19%;31
with_mirrors;2020-06-26;0.18%;31
without_mirrors;2020-06-26;0.05%;9
without_mirrors;2020-06-27;0.02%;3
