category;date;percent;downloads
with_mirrors;2020-05-01;0.63%;53
without_mirrors;2020-05-01;0.11%;9
with_mirrors;2020-05-02;0.74%;63
without_mirrors;2020-05-02;0.13%;11
with_mirrors;2020-05-03;0.47%;40
without_mirrors;2020-05-03;0.07%;6
with_mirrors;2020-05-04;0.45%;38
without_mirrors;2020-05-04;0.09%;8
with_mirrors;2020-05-05;0.28%;24
without_mirrors;2020-05-06;0.05%;4
with_mirrors;2020-05-06;0.73%;62
with_mirrors;2020-05-07;0.20%;17
with_mirrors;2020-05-08;0.70%;59
with_mirrors;2020-05-09;0.52%;44
with_mirrors;2020-05-10;0.73%;62
with_mirrors;2020-05-11;0.08%;7
without_mirrors;2020-05-11;0.01%;1
with_mirrors;2020-05-12;2.17%;184
without_mirrors;2020-05-12;0.31%;26
without_mirrors;2020-05-13;0.37%;31
with_mirrors;2020-05-13;2.69%;228
with_mirrors;2020-05-14;0.74%;63
without_mirrors;2020-05-14;0.07%;6
without_mirrors;2020-05-15;0.58%;49
with_mirrors;2020-05-15;1.24%;105
with_mirrors;2020-05-16;1.97%;167
without_mirrors;2020-05-16;0.25%;21
with_mirrors;2020-05-17;1.11%;94
without_mirrors;2020-05-17;0.19%;16
with_mirrors;2020-05-18;0.60%;51
without_mirrors;2020-05-18;0.30%;25
without_mirrors;2020-05-19;0.21%;18
with_mirrors;2020-05-19;0.67%;57
with_mirrors;2020-05-20;0.73%;62
without_mirrors;2020-05-20;0.05%;4
without_mirrors;2020-05-21;0.26%;22
with_mirrors;2020-05-21;1.06%;90
with_mirrors;2020-05-22;0.61%;52
with_mirrors;2020-05-23;0.89%;75
without_mirrors;2020-05-23;0.05%;4
with_mirrors;2020-05-24;0.87%;74
with_mirrors;2020-05-25;0.80%;68
without_mirrors;2020-05-26;0.18%;15
with_mirrors;2020-05-26;0.30%;25
with_mirrors;2020-05-27;0.47%;40
without_mirrors;2020-05-28;0.01%;1
with_mirrors;2020-05-28;0.74%;63
without_mirrors;2020-05-29;0.02%;2
with_mirrors;2020-05-29;0.52%;44
with_mirrors;2020-05-30;0.38%;32
with_mirrors;2020-05-31;0.52%;44
without_mirrors;2020-05-31;0.26%;22
with_mirrors;2020-06-01;0.31%;26
with_mirrors;2020-06-02;0.24%;20
without_mirrors;2020-06-03;0.02%;2
with_mirrors;2020-06-03;0.73%;62
with_mirrors;2020-06-04;0.71%;60
with_mirrors;2020-06-05;0.85%;72
without_mirrors;2020-06-05;0.01%;1
with_mirrors;2020-06-06;0.33%;28
with_mirrors;2020-06-07;0.96%;81
with_mirrors;2020-06-08;0.47%;40
without_mirrors;2020-06-09;0.04%;3
with_mirrors;2020-06-09;0.25%;21
without_mirrors;2020-06-10;0.01%;1
with_mirrors;2020-06-10;0.25%;21
with_mirrors;2020-06-11;0.28%;24
without_mirrors;2020-06-11;0.05%;4
with_mirrors;2020-06-12;0.76%;64
without_mirrors;2020-06-12;0.05%;4
without_mirrors;2020-06-13;0.01%;1
with_mirrors;2020-06-13;0.26%;22
with_mirrors;2020-06-14;0.04%;3
without_mirrors;2020-06-14;0.01%;1
without_mirrors;2020-06-15;0.09%;8
with_mirrors;2020-06-15;0.19%;16
without_mirrors;2020-06-16;0.27%;23
with_mirrors;2020-06-16;0.86%;73
without_mirrors;2020-06-17;0.04%;3
with_mirrors;2020-06-17;0.71%;60
without_mirrors;2020-06-18;0.58%;49
with_mirrors;2020-06-18;2.05%;174
without_mirrors;2020-06-19;0.12%;10
with_mirrors;2020-06-19;1.97%;167
without_mirrors;2020-06-20;0.01%;1
with_mirrors;2020-06-20;0.60%;51
with_mirrors;2020-06-21;0.50%;42
without_mirrors;2020-06-21;0.07%;6
without_mirrors;2020-06-22;0.14%;12
with_mirrors;2020-06-22;0.42%;36
with_mirrors;2020-06-23;0.39%;33
without_mirrors;2020-06-23;0.06%;5
with_mirrors;2020-06-24;0.94%;80
without_mirrors;2020-06-24;0.04%;3
without_mirrors;2020-06-25;0.01%;1
with_mirrors;2020-06-25;0.06%;5
with_mirrors;2020-06-26;2.21%;187
without_mirrors;2020-06-26;0.28%;24
without_mirrors;2020-06-27;0.27%;23
with_mirrors;2020-06-27;1.50%;127
without_mirrors;2020-06-28;0.05%;4
with_mirrors;2020-06-28;0.78%;66
with_mirrors;2020-06-29;0.92%;78
without_mirrors;2020-06-29;0.12%;10
with_mirrors;2020-06-30;1.04%;88
without_mirrors;2020-06-30;0.05%;4
with_mirrors;2020-07-01;0.58%;49
without_mirrors;2020-07-01;0.01%;1
with_mirrors;2020-07-02;0.77%;65
without_mirrors;2020-07-02;0.06%;5
with_mirrors;2020-07-03;0.54%;46
without_mirrors;2020-07-03;0.08%;7
without_mirrors;2020-07-04;0.04%;3
with_mirrors;2020-07-04;0.89%;75
with_mirrors;2020-07-05;0.05%;4
without_mirrors;2020-07-05;0.02%;2
with_mirrors;2020-07-06;0.30%;25
without_mirrors;2020-07-06;0.06%;5
with_mirrors;2020-07-07;0.26%;22
without_mirrors;2020-07-08;0.07%;6
with_mirrors;2020-07-08;0.77%;65
with_mirrors;2020-07-09;0.52%;44
without_mirrors;2020-07-09;0.06%;5
without_mirrors;2020-07-10;0.07%;6
with_mirrors;2020-07-10;0.12%;10
without_mirrors;2020-07-11;0.04%;3
with_mirrors;2020-07-11;0.46%;39
with_mirrors;2020-07-12;0.60%;51
without_mirrors;2020-07-12;0.08%;7
without_mirrors;2020-07-13;0.06%;5
