category;date;percent;downloads
with_mirrors;2020-05-01;0.47%;3
without_mirrors;2020-05-01;0.16%;1
with_mirrors;2020-05-01;0.48%;3
without_mirrors;2020-05-02;0.16%;1
with_mirrors;2020-05-02;0.47%;3
with_mirrors;2020-05-02;0.48%;3
without_mirrors;2020-05-03;0.31%;2
with_mirrors;2020-05-03;0.63%;4
with_mirrors;2020-05-03;0.64%;4
without_mirrors;2020-05-03;0.32%;2
with_mirrors;2020-05-03;0.65%;4
with_mirrors;2020-05-04;0.31%;2
with_mirrors;2020-05-04;0.32%;2
without_mirrors;2020-05-06;0.32%;2
with_mirrors;2020-05-06;0.32%;2
without_mirrors;2020-05-06;0.31%;2
with_mirrors;2020-05-06;0.31%;2
with_mirrors;2020-05-07;0.32%;2
with_mirrors;2020-05-07;0.31%;2
with_mirrors;2020-05-08;0.47%;3
with_mirrors;2020-05-08;0.48%;3
with_mirrors;2020-05-09;0.94%;6
with_mirrors;2020-05-09;0.96%;6
with_mirrors;2020-05-09;0.97%;6
with_mirrors;2020-05-10;0.65%;4
with_mirrors;2020-05-10;0.63%;4
with_mirrors;2020-05-10;0.64%;4
with_mirrors;2020-05-11;0.16%;1
with_mirrors;2020-05-12;0.64%;4
with_mirrors;2020-05-12;0.65%;4
with_mirrors;2020-05-12;0.63%;4
with_mirrors;2020-05-13;0.94%;6
with_mirrors;2020-05-13;0.97%;6
with_mirrors;2020-05-13;0.96%;6
with_mirrors;2020-05-14;1.26%;8
with_mirrors;2020-05-14;1.28%;8
with_mirrors;2020-05-14;1.29%;8
without_mirrors;2020-05-15;0.31%;2
with_mirrors;2020-05-15;0.31%;2
with_mirrors;2020-05-15;0.32%;2
without_mirrors;2020-05-15;0.32%;2
with_mirrors;2020-05-16;0.96%;6
with_mirrors;2020-05-16;0.97%;6
without_mirrors;2020-05-16;0.16%;1
with_mirrors;2020-05-16;0.94%;6
with_mirrors;2020-05-17;1.92%;12
with_mirrors;2020-05-17;1.94%;12
with_mirrors;2020-05-17;1.89%;12
without_mirrors;2020-05-18;0.16%;1
with_mirrors;2020-05-18;0.16%;1
with_mirrors;2020-05-19;1.77%;11
without_mirrors;2020-05-19;0.48%;3
