category;date;percent;downloads
without_mirrors;2020-05-01;0.38%;17
with_mirrors;2020-05-01;3.16%;142
with_mirrors;2020-05-01;3.14%;142
with_mirrors;2020-05-02;2.89%;130
with_mirrors;2020-05-02;2.87%;130
without_mirrors;2020-05-02;0.31%;14
with_mirrors;2020-05-03;1.00%;45
without_mirrors;2020-05-03;0.36%;16
with_mirrors;2020-05-03;0.99%;45
without_mirrors;2020-05-03;0.35%;16
without_mirrors;2020-05-04;0.27%;12
with_mirrors;2020-05-04;0.62%;28
with_mirrors;2020-05-05;0.20%;9
without_mirrors;2020-05-05;0.04%;2
with_mirrors;2020-05-06;0.24%;11
without_mirrors;2020-05-06;0.04%;2
without_mirrors;2020-05-07;0.04%;2
with_mirrors;2020-05-07;0.22%;10
with_mirrors;2020-05-08;0.31%;14
without_mirrors;2020-05-08;0.20%;9
without_mirrors;2020-05-09;0.13%;6
with_mirrors;2020-05-09;0.18%;8
with_mirrors;2020-05-10;0.31%;14
without_mirrors;2020-05-10;0.18%;8
without_mirrors;2020-05-11;0.07%;3
with_mirrors;2020-05-11;0.22%;10
without_mirrors;2020-05-12;0.13%;6
with_mirrors;2020-05-12;0.18%;8
without_mirrors;2020-05-13;0.07%;3
with_mirrors;2020-05-13;0.42%;19
with_mirrors;2020-05-14;0.40%;18
without_mirrors;2020-05-14;0.13%;6
without_mirrors;2020-05-15;0.13%;6
with_mirrors;2020-05-15;0.22%;10
without_mirrors;2020-05-16;0.09%;4
with_mirrors;2020-05-16;0.24%;11
with_mirrors;2020-05-17;0.31%;14
with_mirrors;2020-05-18;0.22%;10
without_mirrors;2020-05-18;0.09%;4
with_mirrors;2020-05-19;0.35%;16
with_mirrors;2020-05-19;0.36%;16
without_mirrors;2020-05-19;0.13%;6
with_mirrors;2020-05-20;0.44%;20
without_mirrors;2020-05-20;0.33%;15
with_mirrors;2020-05-21;0.31%;14
without_mirrors;2020-05-21;0.09%;4
without_mirrors;2020-05-22;0.18%;8
with_mirrors;2020-05-22;0.27%;12
without_mirrors;2020-05-23;0.22%;10
with_mirrors;2020-05-23;0.40%;18
with_mirrors;2020-05-24;0.31%;14
without_mirrors;2020-05-24;0.13%;6
without_mirrors;2020-05-25;0.07%;3
with_mirrors;2020-05-25;0.24%;11
without_mirrors;2020-05-26;0.11%;5
with_mirrors;2020-05-26;0.16%;7
with_mirrors;2020-05-26;0.15%;7
without_mirrors;2020-05-27;0.07%;3
with_mirrors;2020-05-27;0.16%;7
with_mirrors;2020-05-27;0.15%;7
without_mirrors;2020-05-28;0.02%;1
with_mirrors;2020-05-28;0.20%;9
with_mirrors;2020-05-29;0.27%;12
without_mirrors;2020-05-29;0.09%;4
with_mirrors;2020-05-30;0.09%;4
with_mirrors;2020-05-31;0.04%;2
with_mirrors;2020-06-01;0.15%;7
without_mirrors;2020-06-01;0.07%;3
with_mirrors;2020-06-01;0.16%;7
with_mirrors;2020-06-02;0.04%;2
without_mirrors;2020-06-03;0.13%;6
with_mirrors;2020-06-03;0.22%;10
without_mirrors;2020-06-04;0.07%;3
with_mirrors;2020-06-04;0.33%;15
without_mirrors;2020-06-05;0.04%;2
with_mirrors;2020-06-05;0.18%;8
with_mirrors;2020-06-06;0.15%;7
with_mirrors;2020-06-06;0.16%;7
without_mirrors;2020-06-06;0.02%;1
with_mirrors;2020-06-07;0.13%;6
without_mirrors;2020-06-07;0.04%;2
without_mirrors;2020-06-08;0.09%;4
with_mirrors;2020-06-08;0.27%;12
with_mirrors;2020-06-09;0.29%;13
without_mirrors;2020-06-09;0.13%;6
without_mirrors;2020-06-10;0.07%;3
with_mirrors;2020-06-10;0.07%;3
without_mirrors;2020-06-11;0.04%;2
with_mirrors;2020-06-11;0.09%;4
without_mirrors;2020-06-12;0.02%;1
with_mirrors;2020-06-12;0.07%;3
with_mirrors;2020-06-13;0.09%;4
with_mirrors;2020-06-14;0.09%;4
without_mirrors;2020-06-15;0.04%;2
with_mirrors;2020-06-15;0.04%;2
with_mirrors;2020-06-16;0.15%;7
with_mirrors;2020-06-16;0.16%;7
without_mirrors;2020-06-16;0.11%;5
without_mirrors;2020-06-17;0.02%;1
with_mirrors;2020-06-17;0.24%;11
with_mirrors;2020-06-18;0.13%;6
without_mirrors;2020-06-18;0.09%;4
without_mirrors;2020-06-19;0.02%;1
with_mirrors;2020-06-19;0.16%;7
with_mirrors;2020-06-19;0.15%;7
with_mirrors;2020-06-20;0.07%;3
without_mirrors;2020-06-20;0.02%;1
with_mirrors;2020-06-22;0.11%;5
without_mirrors;2020-06-22;0.04%;2
with_mirrors;2020-06-23;0.18%;8
without_mirrors;2020-06-23;0.11%;5
with_mirrors;2020-06-24;0.27%;12
without_mirrors;2020-06-24;0.04%;2
without_mirrors;2020-06-25;0.11%;5
with_mirrors;2020-06-25;0.15%;7
with_mirrors;2020-06-25;0.16%;7
with_mirrors;2020-06-26;0.29%;13
without_mirrors;2020-06-26;0.07%;3
with_mirrors;2020-06-27;0.11%;5
without_mirrors;2020-06-27;0.02%;1
with_mirrors;2020-06-28;0.04%;2
with_mirrors;2020-06-29;0.11%;5
without_mirrors;2020-06-29;0.02%;1
without_mirrors;2020-06-30;0.02%;1
with_mirrors;2020-06-30;0.13%;6
without_mirrors;2020-07-01;0.09%;4
with_mirrors;2020-07-01;0.18%;8
