category;date;percent;downloads
with_mirrors;2020-05-01;1.98%;35
without_mirrors;2020-05-01;0.40%;7
with_mirrors;2020-05-02;2.38%;42
without_mirrors;2020-05-02;0.45%;8
without_mirrors;2020-05-03;0.28%;5
with_mirrors;2020-05-03;0.51%;9
without_mirrors;2020-05-04;0.40%;7
with_mirrors;2020-05-04;1.08%;19
with_mirrors;2020-05-05;0.96%;17
without_mirrors;2020-05-05;0.11%;2
with_mirrors;2020-05-06;0.74%;13
without_mirrors;2020-05-07;0.23%;4
with_mirrors;2020-05-07;0.68%;12
without_mirrors;2020-05-08;0.11%;2
with_mirrors;2020-05-08;0.91%;16
without_mirrors;2020-05-09;0.11%;2
with_mirrors;2020-05-09;0.57%;10
with_mirrors;2020-05-10;0.79%;14
without_mirrors;2020-05-10;0.11%;2
without_mirrors;2020-05-11;0.40%;7
with_mirrors;2020-05-11;1.02%;18
without_mirrors;2020-05-12;0.17%;3
with_mirrors;2020-05-12;0.51%;9
without_mirrors;2020-05-13;0.45%;8
with_mirrors;2020-05-13;1.58%;28
without_mirrors;2020-05-14;0.45%;8
with_mirrors;2020-05-14;1.25%;22
without_mirrors;2020-05-15;0.34%;6
with_mirrors;2020-05-15;0.57%;10
with_mirrors;2020-05-16;0.74%;13
without_mirrors;2020-05-16;0.06%;1
with_mirrors;2020-05-17;1.98%;35
without_mirrors;2020-05-18;0.17%;3
with_mirrors;2020-05-18;0.62%;11
without_mirrors;2020-05-19;0.11%;2
with_mirrors;2020-05-19;1.19%;21
without_mirrors;2020-05-20;0.79%;14
with_mirrors;2020-05-20;1.58%;28
with_mirrors;2020-05-21;1.81%;32
without_mirrors;2020-05-21;0.74%;13
with_mirrors;2020-05-22;0.57%;10
without_mirrors;2020-05-22;0.34%;6
with_mirrors;2020-05-23;1.70%;30
without_mirrors;2020-05-23;0.57%;10
without_mirrors;2020-05-24;0.79%;14
with_mirrors;2020-05-24;1.47%;26
with_mirrors;2020-05-25;0.68%;12
without_mirrors;2020-05-26;0.40%;7
with_mirrors;2020-05-26;0.62%;11
with_mirrors;2020-05-27;0.68%;12
without_mirrors;2020-05-27;0.17%;3
without_mirrors;2020-05-28;0.06%;1
with_mirrors;2020-05-28;0.74%;13
