category;date;percent;downloads
with_mirrors;2020-05-01;0.66%;10
without_mirrors;2020-05-01;0.26%;4
with_mirrors;2020-05-02;0.40%;6
with_mirrors;2020-05-03;0.53%;8
without_mirrors;2020-05-03;0.13%;2
with_mirrors;2020-05-04;0.40%;6
with_mirrors;2020-05-06;0.07%;1
without_mirrors;2020-05-06;0.07%;1
with_mirrors;2020-05-07;0.26%;4
with_mirrors;2020-05-08;0.59%;9
with_mirrors;2020-05-09;1.19%;18
with_mirrors;2020-05-10;0.79%;12
with_mirrors;2020-05-12;1.06%;16
without_mirrors;2020-05-13;0.07%;1
with_mirrors;2020-05-13;1.25%;19
with_mirrors;2020-05-14;1.32%;20
without_mirrors;2020-05-15;0.46%;7
with_mirrors;2020-05-15;0.99%;15
with_mirrors;2020-05-16;0.40%;6
with_mirrors;2020-05-17;3.10%;47
with_mirrors;2020-05-18;0.07%;1
without_mirrors;2020-05-18;0.07%;1
without_mirrors;2020-05-19;0.13%;2
with_mirrors;2020-05-19;1.45%;22
with_mirrors;2020-05-20;0.66%;10
without_mirrors;2020-05-20;0.13%;2
with_mirrors;2020-05-21;1.25%;19
without_mirrors;2020-05-21;0.07%;1
with_mirrors;2020-05-22;0.40%;6
without_mirrors;2020-05-23;0.07%;1
with_mirrors;2020-05-23;0.86%;13
without_mirrors;2020-05-24;0.07%;1
with_mirrors;2020-05-24;1.25%;19
without_mirrors;2020-05-25;0.53%;8
with_mirrors;2020-05-25;1.32%;20
without_mirrors;2020-05-26;0.07%;1
with_mirrors;2020-05-26;0.07%;1
without_mirrors;2020-05-27;0.20%;3
with_mirrors;2020-05-27;0.59%;9
without_mirrors;2020-05-28;0.07%;1
with_mirrors;2020-05-28;1.19%;18
with_mirrors;2020-05-29;1.32%;20
with_mirrors;2020-05-30;0.53%;8
without_mirrors;2020-05-30;0.13%;2
with_mirrors;2020-05-31;1.06%;16
without_mirrors;2020-05-31;0.26%;4
with_mirrors;2020-06-01;0.20%;3
without_mirrors;2020-06-01;0.07%;1
with_mirrors;2020-06-02;0.40%;6
with_mirrors;2020-06-03;0.33%;5
with_mirrors;2020-06-04;2.11%;32
with_mirrors;2020-06-05;0.40%;6
with_mirrors;2020-06-06;0.92%;14
with_mirrors;2020-06-07;0.46%;7
with_mirrors;2020-06-08;1.59%;24
with_mirrors;2020-06-09;0.92%;14
without_mirrors;2020-06-09;0.13%;2
without_mirrors;2020-06-10;0.07%;1
with_mirrors;2020-06-10;0.46%;7
with_mirrors;2020-06-11;0.26%;4
without_mirrors;2020-06-11;0.26%;4
