category;date;downloads
with_mirrors;2020-05-01;3
without_mirrors;2020-05-01;1
with_mirrors;2020-05-02;1
without_mirrors;2020-05-02;1
without_mirrors;2020-05-03;2
with_mirrors;2020-05-03;2
with_mirrors;2020-05-04;6
with_mirrors;2020-05-07;3
without_mirrors;2020-05-07;1
with_mirrors;2020-05-08;5
without_mirrors;2020-05-08;2
with_mirrors;2020-05-09;6
with_mirrors;2020-05-10;2
with_mirrors;2020-05-12;4
with_mirrors;2020-05-13;10
with_mirrors;2020-05-14;8
with_mirrors;2020-05-15;5
without_mirrors;2020-05-15;3
without_mirrors;2020-05-16;4
with_mirrors;2020-05-16;6
with_mirrors;2020-05-17;10
with_mirrors;2020-05-18;12
without_mirrors;2020-05-18;3
without_mirrors;2020-05-19;2
with_mirrors;2020-05-19;4
with_mirrors;2020-05-20;8
without_mirrors;2020-05-20;1
without_mirrors;2020-05-21;2
with_mirrors;2020-05-21;12
with_mirrors;2020-05-22;2
with_mirrors;2020-05-23;5
without_mirrors;2020-05-23;3
with_mirrors;2020-05-24;10
with_mirrors;2020-05-25;2
with_mirrors;2020-05-26;8
without_mirrors;2020-05-27;4
with_mirrors;2020-05-27;6
with_mirrors;2020-05-28;3
without_mirrors;2020-05-28;1
without_mirrors;2020-05-29;2
with_mirrors;2020-05-29;8
with_mirrors;2020-05-30;6
without_mirrors;2020-05-31;2
with_mirrors;2020-05-31;4
with_mirrors;2020-06-01;7
without_mirrors;2020-06-01;1
with_mirrors;2020-06-02;4
with_mirrors;2020-06-03;6
with_mirrors;2020-06-04;14
with_mirrors;2020-06-05;2
with_mirrors;2020-06-06;6
without_mirrors;2020-06-07;1
with_mirrors;2020-06-07;1
with_mirrors;2020-06-08;7
without_mirrors;2020-06-08;1
without_mirrors;2020-06-09;3
with_mirrors;2020-06-09;8
without_mirrors;2020-06-10;5
with_mirrors;2020-06-10;5
without_mirrors;2020-06-11;4
with_mirrors;2020-06-11;4
without_mirrors;2020-06-12;1
with_mirrors;2020-06-12;3
without_mirrors;2020-06-13;1
with_mirrors;2020-06-13;9
with_mirrors;2020-06-14;4
with_mirrors;2020-06-15;1
without_mirrors;2020-06-15;1
with_mirrors;2020-06-16;5
without_mirrors;2020-06-16;3
without_mirrors;2020-06-17;1
with_mirrors;2020-06-17;11
with_mirrors;2020-06-18;4
with_mirrors;2020-06-19;4
with_mirrors;2020-06-20;6
without_mirrors;2020-06-20;4
with_mirrors;2020-06-22;1
without_mirrors;2020-06-22;1
without_mirrors;2020-06-23;4
with_mirrors;2020-06-23;5
without_mirrors;2020-06-24;4
with_mirrors;2020-06-24;12
with_mirrors;2020-06-25;5
without_mirrors;2020-06-25;1
without_mirrors;2020-06-26;3
with_mirrors;2020-06-26;7
with_mirrors;2020-06-27;6
with_mirrors;2020-06-29;7
without_mirrors;2020-06-29;1
with_mirrors;2020-06-30;6
with_mirrors;2020-07-01;2
with_mirrors;2020-07-02;4
with_mirrors;2020-07-03;10
with_mirrors;2020-07-04;5
without_mirrors;2020-07-05;1
with_mirrors;2020-07-05;1
with_mirrors;2020-07-06;3
without_mirrors;2020-07-06;1
with_mirrors;2020-07-08;4
with_mirrors;2020-07-09;4
with_mirrors;2020-07-10;2
with_mirrors;2020-07-11;4
with_mirrors;2020-07-12;4
without_mirrors;2020-07-13;1
with_mirrors;2020-07-13;7
without_mirrors;2020-07-14;2
with_mirrors;2020-07-14;10
without_mirrors;2020-07-15;7
with_mirrors;2020-07-15;11
with_mirrors;2020-07-16;2
with_mirrors;2020-07-17;4
with_mirrors;2020-07-18;4
with_mirrors;2020-07-19;7
without_mirrors;2020-07-19;1
without_mirrors;2020-07-21;1
with_mirrors;2020-07-21;3
without_mirrors;2020-07-22;3
with_mirrors;2020-07-22;4
with_mirrors;2020-07-23;1
with_mirrors;2020-07-24;8
without_mirrors;2020-07-25;1
with_mirrors;2020-07-25;4
with_mirrors;2020-07-26;3
without_mirrors;2020-07-26;1
with_mirrors;2020-07-27;1
with_mirrors;2020-07-28;9
without_mirrors;2020-07-28;3
with_mirrors;2020-07-29;3
without_mirrors;2020-07-29;2
without_mirrors;2020-07-30;3
with_mirrors;2020-07-30;9
without_mirrors;2020-07-31;2
with_mirrors;2020-07-31;6
without_mirrors;2020-08-01;2
with_mirrors;2020-08-01;5
with_mirrors;2020-08-02;8
without_mirrors;2020-08-03;1
with_mirrors;2020-08-03;3
with_mirrors;2020-08-04;4
without_mirrors;2020-08-04;1
without_mirrors;2020-08-05;3
with_mirrors;2020-08-05;5
