category;date;percent;downloads
with_mirrors;2020-08-30;11.07%;116
without_mirrors;2020-08-30;2.00%;21
without_mirrors;2020-08-30;2.37%;21
with_mirrors;2020-08-30;13.08%;116
with_mirrors;2020-08-31;8.68%;91
without_mirrors;2020-08-31;1.92%;17
with_mirrors;2020-08-31;10.26%;91
without_mirrors;2020-08-31;1.62%;17
without_mirrors;2020-09-01;0.38%;4
without_mirrors;2020-09-01;0.45%;4
with_mirrors;2020-09-01;3.61%;32
with_mirrors;2020-09-01;3.05%;32
without_mirrors;2020-09-02;0.79%;7
with_mirrors;2020-09-02;2.03%;18
with_mirrors;2020-09-02;1.72%;18
without_mirrors;2020-09-02;0.67%;7
with_mirrors;2020-09-03;0.57%;6
with_mirrors;2020-09-03;0.68%;6
without_mirrors;2020-09-03;0.19%;2
without_mirrors;2020-09-03;0.23%;2
without_mirrors;2020-09-04;1.91%;20
with_mirrors;2020-09-04;11.50%;102
with_mirrors;2020-09-04;9.73%;102
without_mirrors;2020-09-04;2.25%;20
with_mirrors;2020-09-05;37.40%;392
without_mirrors;2020-09-05;5.63%;59
with_mirrors;2020-09-05;44.19%;392
without_mirrors;2020-09-05;6.65%;59
without_mirrors;2020-09-06;1.24%;13
with_mirrors;2020-09-06;14.12%;148
