category;date;percent;downloads
without_mirrors;2020-05-09;0.14%;17
with_mirrors;2020-05-09;0.95%;113
with_mirrors;2020-05-09;0.94%;113
with_mirrors;2020-05-10;1.08%;130
with_mirrors;2020-05-10;1.09%;130
without_mirrors;2020-05-10;0.09%;11
without_mirrors;2020-05-11;0.03%;4
with_mirrors;2020-05-11;0.59%;71
with_mirrors;2020-05-11;0.60%;71
with_mirrors;2020-05-12;0.07%;8
without_mirrors;2020-05-13;0.57%;68
with_mirrors;2020-05-13;4.79%;575
with_mirrors;2020-05-13;4.84%;575
with_mirrors;2020-05-13;4.81%;575
with_mirrors;2020-05-14;6.12%;727
with_mirrors;2020-05-14;6.08%;727
without_mirrors;2020-05-14;0.59%;71
with_mirrors;2020-05-14;6.06%;727
without_mirrors;2020-05-14;0.60%;71
with_mirrors;2020-05-15;3.96%;473
without_mirrors;2020-05-15;0.30%;36
with_mirrors;2020-05-15;3.98%;473
with_mirrors;2020-05-15;3.94%;473
with_mirrors;2020-05-16;1.51%;179
with_mirrors;2020-05-16;1.49%;179
with_mirrors;2020-05-16;1.50%;179
without_mirrors;2020-05-16;0.11%;13
with_mirrors;2020-05-17;1.66%;198
with_mirrors;2020-05-17;1.67%;198
without_mirrors;2020-05-17;0.12%;14
with_mirrors;2020-05-17;1.65%;198
with_mirrors;2020-05-18;1.09%;129
with_mirrors;2020-05-18;1.08%;129
without_mirrors;2020-05-18;0.12%;14
with_mirrors;2020-05-19;0.65%;78
with_mirrors;2020-05-19;0.66%;78
without_mirrors;2020-05-19;0.17%;20
with_mirrors;2020-05-20;0.77%;91
without_mirrors;2020-05-20;0.34%;40
without_mirrors;2020-05-20;0.33%;40
with_mirrors;2020-05-20;0.76%;91
without_mirrors;2020-05-21;0.02%;2
with_mirrors;2020-05-21;0.47%;56
with_mirrors;2020-05-22;0.58%;70
without_mirrors;2020-05-22;0.12%;14
with_mirrors;2020-05-22;0.59%;70
with_mirrors;2020-05-23;0.80%;96
without_mirrors;2020-05-23;0.02%;2
with_mirrors;2020-05-23;0.81%;96
with_mirrors;2020-05-24;0.44%;53
with_mirrors;2020-05-24;0.45%;53
without_mirrors;2020-05-24;0.09%;11
with_mirrors;2020-05-25;0.76%;90
without_mirrors;2020-05-25;0.08%;10
with_mirrors;2020-05-25;0.75%;90
with_mirrors;2020-05-26;0.50%;59
with_mirrors;2020-05-26;0.49%;59
without_mirrors;2020-05-26;0.14%;17
with_mirrors;2020-05-27;0.36%;43
without_mirrors;2020-05-27;0.01%;1
without_mirrors;2020-05-28;0.47%;56
with_mirrors;2020-05-28;1.63%;193
with_mirrors;2020-05-28;1.61%;193
with_mirrors;2020-05-29;1.56%;186
with_mirrors;2020-05-29;1.55%;186
with_mirrors;2020-05-29;1.57%;186
without_mirrors;2020-05-29;0.20%;24
with_mirrors;2020-05-30;0.99%;117
with_mirrors;2020-05-30;0.98%;117
without_mirrors;2020-05-31;0.03%;3
with_mirrors;2020-05-31;0.14%;17
without_mirrors;2020-06-01;0.56%;67
with_mirrors;2020-06-01;1.96%;234
with_mirrors;2020-06-01;1.95%;234
with_mirrors;2020-06-01;1.97%;234
without_mirrors;2020-06-02;0.13%;16
with_mirrors;2020-06-02;1.33%;159
with_mirrors;2020-06-02;1.34%;159
with_mirrors;2020-06-03;0.78%;93
without_mirrors;2020-06-03;0.02%;2
with_mirrors;2020-06-04;0.66%;79
with_mirrors;2020-06-04;0.67%;79
without_mirrors;2020-06-04;0.08%;9
with_mirrors;2020-06-05;0.51%;61
without_mirrors;2020-06-05;0.02%;2
without_mirrors;2020-06-06;0.18%;21
with_mirrors;2020-06-06;0.72%;86
with_mirrors;2020-06-07;0.64%;76
with_mirrors;2020-06-07;0.63%;76
without_mirrors;2020-06-07;0.37%;44
with_mirrors;2020-06-08;0.84%;100
without_mirrors;2020-06-08;0.31%;37
with_mirrors;2020-06-08;0.83%;100
