category;date;percent;downloads
with_mirrors;2020-05-01;3.61%;281
with_mirrors;2020-05-01;3.65%;281
without_mirrors;2020-05-01;1.11%;85
with_mirrors;2020-05-01;3.68%;281
without_mirrors;2020-05-01;1.09%;85
with_mirrors;2020-05-02;2.54%;198
without_mirrors;2020-05-02;1.13%;86
with_mirrors;2020-05-02;2.59%;198
without_mirrors;2020-05-02;1.12%;86
with_mirrors;2020-05-02;2.57%;198
without_mirrors;2020-05-02;1.11%;86
with_mirrors;2020-05-03;1.09%;83
with_mirrors;2020-05-03;1.08%;83
without_mirrors;2020-05-03;0.67%;51
with_mirrors;2020-05-03;1.07%;83
without_mirrors;2020-05-03;0.66%;51
without_mirrors;2020-05-04;0.76%;59
with_mirrors;2020-05-04;1.25%;97
with_mirrors;2020-05-04;1.26%;97
without_mirrors;2020-05-04;0.77%;59
with_mirrors;2020-05-04;1.27%;97
with_mirrors;2020-05-05;0.73%;56
without_mirrors;2020-05-05;0.32%;25
with_mirrors;2020-05-05;0.72%;56
without_mirrors;2020-05-05;0.33%;25
with_mirrors;2020-05-06;0.10%;8
with_mirrors;2020-05-07;0.49%;38
without_mirrors;2020-05-07;0.32%;25
with_mirrors;2020-05-07;0.50%;38
without_mirrors;2020-05-07;0.33%;25
with_mirrors;2020-05-08;1.62%;126
without_mirrors;2020-05-08;0.93%;72
with_mirrors;2020-05-08;1.65%;126
without_mirrors;2020-05-08;0.94%;72
with_mirrors;2020-05-08;1.64%;126
without_mirrors;2020-05-09;0.80%;61
with_mirrors;2020-05-09;2.46%;189
without_mirrors;2020-05-09;0.78%;61
with_mirrors;2020-05-09;2.43%;189
with_mirrors;2020-05-09;2.48%;189
without_mirrors;2020-05-09;0.79%;61
without_mirrors;2020-05-10;0.54%;41
with_mirrors;2020-05-10;2.10%;163
with_mirrors;2020-05-10;2.12%;163
without_mirrors;2020-05-10;0.53%;41
with_mirrors;2020-05-10;2.13%;163
without_mirrors;2020-05-11;0.22%;17
with_mirrors;2020-05-11;2.19%;167
with_mirrors;2020-05-11;2.17%;167
with_mirrors;2020-05-11;2.15%;167
with_mirrors;2020-05-12;0.34%;26
with_mirrors;2020-05-12;0.33%;26
without_mirrors;2020-05-12;0.21%;16
with_mirrors;2020-05-13;2.02%;157
with_mirrors;2020-05-13;2.04%;157
with_mirrors;2020-05-13;2.06%;157
without_mirrors;2020-05-13;0.43%;33
without_mirrors;2020-05-13;0.42%;33
with_mirrors;2020-05-14;0.99%;77
without_mirrors;2020-05-14;0.05%;4
with_mirrors;2020-05-14;1.00%;77
with_mirrors;2020-05-14;1.01%;77
without_mirrors;2020-05-15;0.42%;33
without_mirrors;2020-05-15;0.43%;33
with_mirrors;2020-05-15;1.83%;141
with_mirrors;2020-05-15;1.85%;141
with_mirrors;2020-05-15;1.81%;141
with_mirrors;2020-05-16;1.14%;89
with_mirrors;2020-05-16;1.17%;89
with_mirrors;2020-05-16;1.16%;89
without_mirrors;2020-05-16;0.68%;52
without_mirrors;2020-05-16;0.67%;52
with_mirrors;2020-05-17;2.73%;210
with_mirrors;2020-05-17;2.75%;210
with_mirrors;2020-05-17;2.70%;210
without_mirrors;2020-05-17;0.13%;10
without_mirrors;2020-05-18;0.34%;26
with_mirrors;2020-05-18;0.97%;74
with_mirrors;2020-05-18;0.95%;74
with_mirrors;2020-05-18;0.96%;74
without_mirrors;2020-05-18;0.33%;26
without_mirrors;2020-05-19;0.45%;34
with_mirrors;2020-05-19;1.61%;123
with_mirrors;2020-05-19;1.60%;123
without_mirrors;2020-05-19;0.44%;34
with_mirrors;2020-05-19;1.58%;123
with_mirrors;2020-05-20;0.60%;47
with_mirrors;2020-05-20;0.61%;47
with_mirrors;2020-05-20;0.62%;47
without_mirrors;2020-05-20;0.03%;2
with_mirrors;2020-05-21;1.34%;104
without_mirrors;2020-05-21;0.33%;26
with_mirrors;2020-05-21;1.35%;104
without_mirrors;2020-05-21;0.34%;26
with_mirrors;2020-05-21;1.36%;104
with_mirrors;2020-05-22;0.85%;65
without_mirrors;2020-05-22;0.01%;1
with_mirrors;2020-05-22;0.84%;65
without_mirrors;2020-05-23;0.01%;1
with_mirrors;2020-05-23;0.48%;37
with_mirrors;2020-05-24;0.52%;40
without_mirrors;2020-05-24;0.03%;2
with_mirrors;2020-05-24;0.51%;40
with_mirrors;2020-05-25;1.08%;84
with_mirrors;2020-05-25;1.09%;84
with_mirrors;2020-05-25;1.10%;84
with_mirrors;2020-05-26;0.67%;52
with_mirrors;2020-05-26;0.68%;52
without_mirrors;2020-05-26;0.13%;10
with_mirrors;2020-05-27;0.68%;52
with_mirrors;2020-05-27;0.67%;52
with_mirrors;2020-05-28;0.85%;65
with_mirrors;2020-05-28;0.84%;65
without_mirrors;2020-05-28;0.01%;1
with_mirrors;2020-05-29;1.04%;80
with_mirrors;2020-05-29;1.05%;80
without_mirrors;2020-05-29;0.03%;2
with_mirrors;2020-05-29;1.03%;80
with_mirrors;2020-05-30;1.01%;78
with_mirrors;2020-05-30;1.02%;78
with_mirrors;2020-05-30;1.00%;78
with_mirrors;2020-05-31;0.71%;55
without_mirrors;2020-05-31;0.37%;28
with_mirrors;2020-05-31;0.72%;55
without_mirrors;2020-05-31;0.36%;28
with_mirrors;2020-06-01;0.42%;32
without_mirrors;2020-06-01;0.01%;1
with_mirrors;2020-06-01;0.41%;32
with_mirrors;2020-06-03;0.88%;67
with_mirrors;2020-06-03;0.86%;67
without_mirrors;2020-06-03;0.03%;2
with_mirrors;2020-06-03;0.87%;67
with_mirrors;2020-06-04;1.14%;88
with_mirrors;2020-06-04;1.13%;88
with_mirrors;2020-06-04;1.15%;88
with_mirrors;2020-06-05;0.68%;52
with_mirrors;2020-06-05;0.67%;52
with_mirrors;2020-06-06;0.53%;41
without_mirrors;2020-06-06;0.01%;1
with_mirrors;2020-06-06;0.54%;41
with_mirrors;2020-06-07;0.09%;7
with_mirrors;2020-06-08;0.68%;52
with_mirrors;2020-06-08;0.67%;52
without_mirrors;2020-06-09;0.03%;2
with_mirrors;2020-06-09;0.67%;52
with_mirrors;2020-06-09;0.68%;52
without_mirrors;2020-06-10;0.04%;3
