category;date;percent;downloads
without_mirrors;2020-05-01;0.10%;8
with_mirrors;2020-05-01;0.21%;16
with_mirrors;2020-05-02;0.04%;3
without_mirrors;2020-05-02;0.04%;3
with_mirrors;2020-05-03;0.18%;14
without_mirrors;2020-05-03;0.12%;9
with_mirrors;2020-05-04;0.44%;34
without_mirrors;2020-05-04;0.38%;30
without_mirrors;2020-05-04;0.39%;30
without_mirrors;2020-05-05;0.25%;19
with_mirrors;2020-05-05;0.27%;21
without_mirrors;2020-05-05;0.24%;19
with_mirrors;2020-05-06;0.09%;7
without_mirrors;2020-05-06;0.09%;7
with_mirrors;2020-05-07;0.22%;17
without_mirrors;2020-05-07;0.17%;13
with_mirrors;2020-05-08;0.21%;16
without_mirrors;2020-05-08;0.13%;10
without_mirrors;2020-05-09;0.12%;9
with_mirrors;2020-05-09;0.12%;9
with_mirrors;2020-05-10;0.15%;12
with_mirrors;2020-05-10;0.16%;12
without_mirrors;2020-05-10;0.10%;8
with_mirrors;2020-05-11;0.64%;50
with_mirrors;2020-05-11;0.65%;50
without_mirrors;2020-05-11;0.42%;33
without_mirrors;2020-05-11;0.43%;33
with_mirrors;2020-05-12;0.27%;21
without_mirrors;2020-05-12;0.22%;17
without_mirrors;2020-05-13;0.27%;21
with_mirrors;2020-05-13;0.51%;40
with_mirrors;2020-05-13;0.52%;40
with_mirrors;2020-05-14;0.30%;23
without_mirrors;2020-05-14;0.17%;13
with_mirrors;2020-05-14;0.29%;23
with_mirrors;2020-05-15;0.06%;5
without_mirrors;2020-05-15;0.04%;3
with_mirrors;2020-05-16;0.12%;9
without_mirrors;2020-05-16;0.05%;4
with_mirrors;2020-05-17;0.37%;29
with_mirrors;2020-05-17;0.38%;29
without_mirrors;2020-05-17;0.06%;5
with_mirrors;2020-05-18;0.21%;16
without_mirrors;2020-05-18;0.19%;15
with_mirrors;2020-05-19;0.35%;27
without_mirrors;2020-05-19;0.19%;15
without_mirrors;2020-05-20;0.15%;12
without_mirrors;2020-05-20;0.16%;12
