category;date;percent;downloads
with_mirrors;2020-05-01;0.55%;5
without_mirrors;2020-05-01;0.11%;1
with_mirrors;2020-05-02;0.11%;1
without_mirrors;2020-05-02;0.11%;1
with_mirrors;2020-05-03;0.22%;2
without_mirrors;2020-05-03;0.22%;2
with_mirrors;2020-05-04;0.22%;2
with_mirrors;2020-05-05;0.22%;2
with_mirrors;2020-05-06;0.22%;2
without_mirrors;2020-05-06;0.22%;2
with_mirrors;2020-05-07;0.44%;4
with_mirrors;2020-05-08;0.33%;3
without_mirrors;2020-05-09;0.11%;1
with_mirrors;2020-05-09;0.11%;1
with_mirrors;2020-05-11;0.98%;9
without_mirrors;2020-05-11;0.33%;3
without_mirrors;2020-05-12;0.11%;1
with_mirrors;2020-05-12;0.11%;1
with_mirrors;2020-05-13;0.87%;8
with_mirrors;2020-05-14;0.87%;8
without_mirrors;2020-05-14;0.22%;2
with_mirrors;2020-05-16;0.22%;2
without_mirrors;2020-05-16;0.22%;2
with_mirrors;2020-05-17;1.31%;12
with_mirrors;2020-05-18;0.33%;3
without_mirrors;2020-05-18;0.11%;1
with_mirrors;2020-05-19;0.98%;9
without_mirrors;2020-05-19;0.22%;2
with_mirrors;2020-05-20;0.87%;8
without_mirrors;2020-05-21;0.33%;3
with_mirrors;2020-05-21;0.76%;7
with_mirrors;2020-05-22;0.65%;6
with_mirrors;2020-05-23;0.44%;4
without_mirrors;2020-05-23;0.22%;2
with_mirrors;2020-05-24;0.33%;3
without_mirrors;2020-05-24;0.11%;1
with_mirrors;2020-05-25;0.76%;7
without_mirrors;2020-05-25;0.11%;1
with_mirrors;2020-05-26;0.22%;2
without_mirrors;2020-05-27;0.22%;2
with_mirrors;2020-05-27;0.55%;5
without_mirrors;2020-05-28;0.11%;1
with_mirrors;2020-05-28;0.55%;5
with_mirrors;2020-05-29;0.44%;4
with_mirrors;2020-05-30;0.65%;6
without_mirrors;2020-05-31;0.33%;3
with_mirrors;2020-05-31;0.55%;5
without_mirrors;2020-06-01;0.55%;5
with_mirrors;2020-06-01;0.76%;7
with_mirrors;2020-06-02;0.11%;1
without_mirrors;2020-06-02;0.11%;1
without_mirrors;2020-06-04;0.33%;3
with_mirrors;2020-06-04;1.64%;15
with_mirrors;2020-06-05;0.44%;4
with_mirrors;2020-06-06;0.65%;6
with_mirrors;2020-06-07;0.44%;4
without_mirrors;2020-06-07;0.11%;1
without_mirrors;2020-06-08;0.11%;1
with_mirrors;2020-06-08;0.33%;3
with_mirrors;2020-06-09;0.76%;7
without_mirrors;2020-06-09;0.33%;3
with_mirrors;2020-06-10;0.65%;6
without_mirrors;2020-06-10;0.22%;2
without_mirrors;2020-06-11;0.44%;4
with_mirrors;2020-06-11;0.44%;4
with_mirrors;2020-06-12;0.65%;6
