category;date;percent;downloads
without_mirrors;2020-05-01;0.45%;67
with_mirrors;2020-05-01;1.43%;214
with_mirrors;2020-05-01;1.42%;214
without_mirrors;2020-05-02;0.43%;65
with_mirrors;2020-05-02;1.30%;195
without_mirrors;2020-05-03;0.30%;45
with_mirrors;2020-05-03;0.54%;81
without_mirrors;2020-05-04;0.22%;33
with_mirrors;2020-05-04;0.35%;53
with_mirrors;2020-05-05;0.21%;31
without_mirrors;2020-05-05;0.13%;19
without_mirrors;2020-05-06;0.06%;9
with_mirrors;2020-05-06;0.19%;29
with_mirrors;2020-05-07;0.19%;28
without_mirrors;2020-05-07;0.14%;21
without_mirrors;2020-05-08;0.30%;45
with_mirrors;2020-05-08;0.51%;76
without_mirrors;2020-05-09;0.25%;37
with_mirrors;2020-05-09;0.42%;63
with_mirrors;2020-05-10;0.19%;28
without_mirrors;2020-05-10;0.15%;22
without_mirrors;2020-05-11;0.12%;18
with_mirrors;2020-05-11;0.17%;26
with_mirrors;2020-05-12;0.28%;42
without_mirrors;2020-05-12;0.12%;18
without_mirrors;2020-05-13;0.08%;12
with_mirrors;2020-05-13;0.29%;44
with_mirrors;2020-05-14;0.29%;43
without_mirrors;2020-05-14;0.05%;8
without_mirrors;2020-05-15;0.09%;13
with_mirrors;2020-05-15;0.19%;29
with_mirrors;2020-05-16;0.06%;9
without_mirrors;2020-05-16;0.06%;9
without_mirrors;2020-05-17;0.05%;7
with_mirrors;2020-05-17;0.23%;35
with_mirrors;2020-05-18;0.48%;72
without_mirrors;2020-05-18;0.08%;12
with_mirrors;2020-05-19;0.09%;14
without_mirrors;2020-05-19;0.07%;11
with_mirrors;2020-05-20;0.17%;25
without_mirrors;2020-05-20;0.15%;22
without_mirrors;2020-05-21;0.07%;11
with_mirrors;2020-05-21;0.50%;75
with_mirrors;2020-05-22;0.15%;22
without_mirrors;2020-05-22;0.04%;6
without_mirrors;2020-05-23;0.57%;86
with_mirrors;2020-05-23;2.36%;355
with_mirrors;2020-05-23;2.37%;355
without_mirrors;2020-05-23;0.58%;86
with_mirrors;2020-05-24;5.03%;752
with_mirrors;2020-05-24;5.00%;752
without_mirrors;2020-05-24;0.90%;135
without_mirrors;2020-05-25;0.41%;61
with_mirrors;2020-05-25;4.25%;640
with_mirrors;2020-05-25;4.28%;640
with_mirrors;2020-05-26;0.81%;121
with_mirrors;2020-05-26;0.80%;121
without_mirrors;2020-05-26;0.25%;38
without_mirrors;2020-05-27;0.67%;100
with_mirrors;2020-05-27;1.22%;182
with_mirrors;2020-05-27;1.21%;182
without_mirrors;2020-05-27;0.66%;100
without_mirrors;2020-05-28;0.13%;20
with_mirrors;2020-05-28;0.64%;95
with_mirrors;2020-05-28;0.63%;95
with_mirrors;2020-05-29;0.59%;88
without_mirrors;2020-05-29;0.17%;26
with_mirrors;2020-05-29;0.58%;88
with_mirrors;2020-05-30;0.39%;58
without_mirrors;2020-05-30;0.05%;8
with_mirrors;2020-05-31;0.66%;99
without_mirrors;2020-05-31;0.22%;33
with_mirrors;2020-06-01;0.33%;49
without_mirrors;2020-06-01;0.07%;10
without_mirrors;2020-06-02;0.07%;11
with_mirrors;2020-06-02;0.29%;43
without_mirrors;2020-06-03;0.07%;10
with_mirrors;2020-06-03;0.54%;80
with_mirrors;2020-06-03;0.53%;80
with_mirrors;2020-06-04;0.27%;41
without_mirrors;2020-06-04;0.14%;21
without_mirrors;2020-06-05;0.06%;9
with_mirrors;2020-06-05;0.71%;107
with_mirrors;2020-06-05;0.72%;107
with_mirrors;2020-06-06;0.76%;113
without_mirrors;2020-06-06;0.07%;11
with_mirrors;2020-06-06;0.75%;113
with_mirrors;2020-06-07;0.41%;62
without_mirrors;2020-06-07;0.07%;11
with_mirrors;2020-06-08;0.67%;101
with_mirrors;2020-06-08;0.68%;101
without_mirrors;2020-06-08;0.16%;24
without_mirrors;2020-06-09;0.05%;7
with_mirrors;2020-06-09;0.11%;17
with_mirrors;2020-06-10;0.33%;49
without_mirrors;2020-06-10;0.07%;11
with_mirrors;2020-06-11;0.36%;54
without_mirrors;2020-06-11;0.12%;18
with_mirrors;2020-06-12;0.09%;14
without_mirrors;2020-06-12;0.09%;14
with_mirrors;2020-06-13;0.19%;29
without_mirrors;2020-06-13;0.05%;7
without_mirrors;2020-06-14;0.07%;10
with_mirrors;2020-06-14;0.08%;12
without_mirrors;2020-06-15;0.13%;19
with_mirrors;2020-06-15;0.64%;95
with_mirrors;2020-06-15;0.63%;95
with_mirrors;2020-06-16;0.32%;48
without_mirrors;2020-06-16;0.25%;37
with_mirrors;2020-06-17;0.27%;41
without_mirrors;2020-06-17;0.03%;5
with_mirrors;2020-06-18;0.35%;52
without_mirrors;2020-06-18;0.03%;4
with_mirrors;2020-06-19;0.54%;80
with_mirrors;2020-06-19;0.53%;80
without_mirrors;2020-06-19;0.08%;12
without_mirrors;2020-06-20;0.05%;7
with_mirrors;2020-06-20;0.06%;9
with_mirrors;2020-06-21;0.39%;59
without_mirrors;2020-06-21;0.09%;14
with_mirrors;2020-06-22;0.18%;27
without_mirrors;2020-06-22;0.11%;17
without_mirrors;2020-06-23;0.05%;7
with_mirrors;2020-06-23;0.11%;17
with_mirrors;2020-06-24;0.21%;32
without_mirrors;2020-06-24;0.13%;20
without_mirrors;2020-06-25;0.09%;13
with_mirrors;2020-06-25;0.21%;32
with_mirrors;2020-06-26;0.32%;48
without_mirrors;2020-06-26;0.04%;6
without_mirrors;2020-06-27;0.08%;12
with_mirrors;2020-06-27;0.31%;46
with_mirrors;2020-06-28;0.21%;31
without_mirrors;2020-06-28;0.17%;25
with_mirrors;2020-06-29;0.22%;33
without_mirrors;2020-06-29;0.04%;6
with_mirrors;2020-06-30;0.17%;25
without_mirrors;2020-06-30;0.11%;17
with_mirrors;2020-07-01;1.18%;178
with_mirrors;2020-07-01;1.19%;178
without_mirrors;2020-07-01;0.19%;29
without_mirrors;2020-07-02;0.18%;27
with_mirrors;2020-07-02;0.87%;130
with_mirrors;2020-07-02;0.86%;130
with_mirrors;2020-07-03;1.34%;200
with_mirrors;2020-07-03;1.33%;200
without_mirrors;2020-07-03;0.27%;40
without_mirrors;2020-07-04;0.39%;59
with_mirrors;2020-07-04;2.92%;437
with_mirrors;2020-07-04;2.90%;437
with_mirrors;2020-07-05;1.15%;172
without_mirrors;2020-07-05;0.11%;16
with_mirrors;2020-07-05;1.14%;172
with_mirrors;2020-07-06;0.58%;87
