category;date;percent;downloads
with_mirrors;2020-07-10;9.68%;110
without_mirrors;2020-07-10;1.17%;13
without_mirrors;2020-07-10;1.16%;13
with_mirrors;2020-07-10;9.87%;110
with_mirrors;2020-07-10;9.82%;110
without_mirrors;2020-07-10;1.14%;13
with_mirrors;2020-07-11;6.87%;78
with_mirrors;2020-07-11;7.00%;78
with_mirrors;2020-07-11;6.96%;78
without_mirrors;2020-07-11;0.18%;2
without_mirrors;2020-07-12;1.34%;15
with_mirrors;2020-07-12;5.39%;60
with_mirrors;2020-07-12;5.36%;60
without_mirrors;2020-07-12;1.32%;15
without_mirrors;2020-07-12;1.35%;15
with_mirrors;2020-07-12;5.28%;60
with_mirrors;2020-07-13;3.26%;37
with_mirrors;2020-07-13;3.32%;37
without_mirrors;2020-07-13;0.98%;11
without_mirrors;2020-07-13;0.99%;11
with_mirrors;2020-07-13;3.30%;37
without_mirrors;2020-07-13;0.97%;11
without_mirrors;2020-07-14;0.36%;4
with_mirrors;2020-07-14;3.87%;44
with_mirrors;2020-07-14;3.95%;44
with_mirrors;2020-07-14;3.93%;44
without_mirrors;2020-07-14;0.35%;4
without_mirrors;2020-07-15;0.35%;4
with_mirrors;2020-07-15;0.99%;11
with_mirrors;2020-07-15;0.97%;11
with_mirrors;2020-07-15;0.98%;11
without_mirrors;2020-07-15;0.36%;4
with_mirrors;2020-07-16;0.79%;9
without_mirrors;2020-07-16;0.36%;4
with_mirrors;2020-07-16;0.81%;9
with_mirrors;2020-07-16;0.80%;9
without_mirrors;2020-07-16;0.35%;4
with_mirrors;2020-07-17;1.35%;15
with_mirrors;2020-07-17;1.34%;15
without_mirrors;2020-07-17;0.80%;9
without_mirrors;2020-07-17;0.81%;9
with_mirrors;2020-07-17;1.32%;15
without_mirrors;2020-07-17;0.79%;9
with_mirrors;2020-07-18;0.18%;2
with_mirrors;2020-07-19;0.71%;8
without_mirrors;2020-07-19;0.18%;2
with_mirrors;2020-07-19;0.70%;8
with_mirrors;2020-07-19;0.72%;8
without_mirrors;2020-07-20;0.44%;5
with_mirrors;2020-07-20;0.99%;11
without_mirrors;2020-07-20;0.45%;5
with_mirrors;2020-07-20;0.98%;11
with_mirrors;2020-07-20;0.97%;11
without_mirrors;2020-07-21;2.02%;23
with_mirrors;2020-07-21;2.55%;29
with_mirrors;2020-07-21;2.60%;29
without_mirrors;2020-07-21;2.06%;23
with_mirrors;2020-07-21;2.59%;29
without_mirrors;2020-07-21;2.05%;23
without_mirrors;2020-07-22;4.49%;50
with_mirrors;2020-07-22;5.03%;56
with_mirrors;2020-07-22;4.93%;56
without_mirrors;2020-07-22;4.40%;50
without_mirrors;2020-07-22;4.46%;50
with_mirrors;2020-07-22;5.00%;56
with_mirrors;2020-07-23;2.02%;23
with_mirrors;2020-07-23;2.05%;23
without_mirrors;2020-07-23;1.79%;20
with_mirrors;2020-07-23;2.06%;23
without_mirrors;2020-07-23;1.80%;20
without_mirrors;2020-07-23;1.76%;20
with_mirrors;2020-07-24;1.44%;16
without_mirrors;2020-07-24;1.41%;16
with_mirrors;2020-07-24;1.41%;16
with_mirrors;2020-07-24;1.43%;16
without_mirrors;2020-07-24;1.43%;16
without_mirrors;2020-07-24;1.44%;16
with_mirrors;2020-07-25;0.44%;5
with_mirrors;2020-07-25;0.45%;5
with_mirrors;2020-07-26;1.17%;13
with_mirrors;2020-07-26;1.16%;13
without_mirrors;2020-07-26;0.79%;9
without_mirrors;2020-07-26;0.80%;9
with_mirrors;2020-07-26;1.14%;13
without_mirrors;2020-07-26;0.81%;9
without_mirrors;2020-07-27;0.63%;7
with_mirrors;2020-07-27;0.90%;10
with_mirrors;2020-07-27;0.89%;10
without_mirrors;2020-07-27;0.62%;7
with_mirrors;2020-07-27;0.88%;10
without_mirrors;2020-07-28;0.44%;5
with_mirrors;2020-07-28;0.45%;5
without_mirrors;2020-07-28;0.45%;5
with_mirrors;2020-07-28;0.44%;5
with_mirrors;2020-07-29;0.70%;8
with_mirrors;2020-07-29;0.71%;8
with_mirrors;2020-07-29;0.72%;8
without_mirrors;2020-07-29;0.70%;8
without_mirrors;2020-07-29;0.72%;8
without_mirrors;2020-07-29;0.71%;8
without_mirrors;2020-07-30;0.44%;5
without_mirrors;2020-07-30;0.45%;5
with_mirrors;2020-07-30;0.63%;7
with_mirrors;2020-07-30;0.62%;7
with_mirrors;2020-07-31;0.98%;11
with_mirrors;2020-07-31;0.97%;11
without_mirrors;2020-07-31;0.36%;4
with_mirrors;2020-07-31;0.99%;11
without_mirrors;2020-07-31;0.35%;4
with_mirrors;2020-08-01;0.62%;7
without_mirrors;2020-08-01;0.26%;3
with_mirrors;2020-08-01;0.63%;7
without_mirrors;2020-08-01;0.27%;3
with_mirrors;2020-08-02;0.63%;7
without_mirrors;2020-08-02;0.27%;3
with_mirrors;2020-08-02;0.62%;7
without_mirrors;2020-08-02;0.26%;3
with_mirrors;2020-08-03;0.70%;8
with_mirrors;2020-08-03;0.72%;8
with_mirrors;2020-08-03;0.71%;8
without_mirrors;2020-08-03;0.18%;2
with_mirrors;2020-08-04;0.53%;6
with_mirrors;2020-08-04;0.54%;6
without_mirrors;2020-08-04;0.36%;4
without_mirrors;2020-08-04;0.35%;4
with_mirrors;2020-08-05;1.35%;15
with_mirrors;2020-08-05;1.34%;15
without_mirrors;2020-08-05;0.36%;4
with_mirrors;2020-08-05;1.32%;15
without_mirrors;2020-08-05;0.35%;4
with_mirrors;2020-08-06;0.88%;10
without_mirrors;2020-08-06;0.26%;3
with_mirrors;2020-08-06;0.89%;10
without_mirrors;2020-08-06;0.27%;3
with_mirrors;2020-08-06;0.90%;10
with_mirrors;2020-08-07;0.98%;11
without_mirrors;2020-08-07;0.63%;7
without_mirrors;2020-08-07;0.62%;7
with_mirrors;2020-08-07;0.99%;11
with_mirrors;2020-08-07;0.97%;11
with_mirrors;2020-08-08;0.80%;9
with_mirrors;2020-08-08;0.81%;9
without_mirrors;2020-08-08;0.09%;1
with_mirrors;2020-08-08;0.79%;9
with_mirrors;2020-08-09;0.18%;2
without_mirrors;2020-08-10;0.27%;3
with_mirrors;2020-08-10;0.27%;3
with_mirrors;2020-08-10;0.26%;3
without_mirrors;2020-08-10;0.26%;3
with_mirrors;2020-08-11;0.26%;3
without_mirrors;2020-08-11;0.26%;3
without_mirrors;2020-08-11;0.27%;3
with_mirrors;2020-08-11;0.27%;3
without_mirrors;2020-08-12;0.63%;7
without_mirrors;2020-08-12;0.62%;7
with_mirrors;2020-08-12;1.07%;12
with_mirrors;2020-08-12;1.08%;12
with_mirrors;2020-08-12;1.06%;12
with_mirrors;2020-08-13;0.62%;7
with_mirrors;2020-08-13;0.63%;7
without_mirrors;2020-08-13;0.18%;2
without_mirrors;2020-08-14;0.18%;2
with_mirrors;2020-08-14;0.35%;4
with_mirrors;2020-08-14;0.36%;4
with_mirrors;2020-08-15;0.70%;8
with_mirrors;2020-08-15;0.71%;8
with_mirrors;2020-08-15;0.72%;8
without_mirrors;2020-08-16;0.09%;1
with_mirrors;2020-08-16;0.63%;7
with_mirrors;2020-08-16;0.62%;7
with_mirrors;2020-08-17;0.36%;4
without_mirrors;2020-08-17;0.18%;2
with_mirrors;2020-08-17;0.35%;4
with_mirrors;2020-08-18;0.54%;6
with_mirrors;2020-08-18;0.53%;6
without_mirrors;2020-08-18;0.09%;1
with_mirrors;2020-08-19;0.35%;4
without_mirrors;2020-08-19;0.36%;4
without_mirrors;2020-08-19;0.35%;4
with_mirrors;2020-08-19;0.36%;4
with_mirrors;2020-08-20;0.79%;9
without_mirrors;2020-08-20;0.09%;1
with_mirrors;2020-08-20;0.81%;9
with_mirrors;2020-08-20;0.80%;9
with_mirrors;2020-08-21;0.09%;1
without_mirrors;2020-08-21;0.09%;1
with_mirrors;2020-08-23;0.09%;1
without_mirrors;2020-08-23;0.09%;1
with_mirrors;2020-08-24;0.79%;9
with_mirrors;2020-08-24;0.81%;9
without_mirrors;2020-08-24;0.44%;5
with_mirrors;2020-08-24;0.80%;9
without_mirrors;2020-08-24;0.45%;5
with_mirrors;2020-08-25;0.45%;5
without_mirrors;2020-08-25;0.18%;2
with_mirrors;2020-08-25;0.44%;5
without_mirrors;2020-08-26;0.27%;3
with_mirrors;2020-08-26;0.26%;3
with_mirrors;2020-08-26;0.27%;3
without_mirrors;2020-08-26;0.26%;3
with_mirrors;2020-08-27;0.44%;5
with_mirrors;2020-08-27;0.45%;5
without_mirrors;2020-08-27;0.18%;2
with_mirrors;2020-08-28;0.54%;6
with_mirrors;2020-08-28;0.53%;6
without_mirrors;2020-08-28;0.36%;4
without_mirrors;2020-08-28;0.35%;4
with_mirrors;2020-08-29;0.63%;7
without_mirrors;2020-08-29;0.09%;1
with_mirrors;2020-08-29;0.62%;7
with_mirrors;2020-08-30;0.62%;7
with_mirrors;2020-08-30;0.63%;7
without_mirrors;2020-08-30;0.18%;2
with_mirrors;2020-08-31;0.53%;6
without_mirrors;2020-08-31;0.27%;3
with_mirrors;2020-08-31;0.54%;6
without_mirrors;2020-08-31;0.26%;3
without_mirrors;2020-09-01;0.09%;1
with_mirrors;2020-09-01;0.53%;6
with_mirrors;2020-09-01;0.54%;6
without_mirrors;2020-09-02;0.45%;5
with_mirrors;2020-09-02;1.07%;12
with_mirrors;2020-09-02;1.08%;12
with_mirrors;2020-09-02;1.06%;12
without_mirrors;2020-09-02;0.44%;5
without_mirrors;2020-09-03;0.44%;5
with_mirrors;2020-09-03;0.62%;7
without_mirrors;2020-09-03;0.45%;5
with_mirrors;2020-09-03;0.63%;7
with_mirrors;2020-09-04;0.45%;5
without_mirrors;2020-09-04;0.35%;4
with_mirrors;2020-09-04;0.44%;5
without_mirrors;2020-09-04;0.36%;4
with_mirrors;2020-09-05;0.98%;11
with_mirrors;2020-09-05;0.97%;11
without_mirrors;2020-09-05;0.45%;5
without_mirrors;2020-09-05;0.44%;5
with_mirrors;2020-09-05;0.99%;11
without_mirrors;2020-09-06;0.27%;3
without_mirrors;2020-09-06;0.26%;3
with_mirrors;2020-09-06;0.26%;3
with_mirrors;2020-09-06;0.27%;3
without_mirrors;2020-09-07;0.53%;6
with_mirrors;2020-09-07;0.88%;10
