category;date;percent;downloads
without_mirrors;2020-05-01;0.06%;1
with_mirrors;2020-05-01;0.17%;3
without_mirrors;2020-05-02;0.11%;2
with_mirrors;2020-05-02;0.33%;6
with_mirrors;2020-05-03;0.55%;10
without_mirrors;2020-05-03;0.11%;2
with_mirrors;2020-05-04;0.22%;4
without_mirrors;2020-05-06;0.17%;3
with_mirrors;2020-05-06;0.17%;3
with_mirrors;2020-05-07;0.61%;11
with_mirrors;2020-05-08;0.11%;2
with_mirrors;2020-05-09;0.33%;6
with_mirrors;2020-05-11;0.44%;8
with_mirrors;2020-05-12;0.22%;4
with_mirrors;2020-05-13;0.22%;4
with_mirrors;2020-05-14;0.72%;13
with_mirrors;2020-05-15;0.33%;6
with_mirrors;2020-05-17;0.44%;8
with_mirrors;2020-05-18;0.28%;5
without_mirrors;2020-05-18;0.06%;1
with_mirrors;2020-05-19;0.67%;12
without_mirrors;2020-05-19;0.17%;3
with_mirrors;2020-05-19;0.66%;12
without_mirrors;2020-05-20;0.17%;3
with_mirrors;2020-05-20;0.22%;4
with_mirrors;2020-05-21;0.33%;6
with_mirrors;2020-05-22;0.22%;4
with_mirrors;2020-05-23;0.28%;5
without_mirrors;2020-05-23;0.06%;1
with_mirrors;2020-05-24;0.50%;9
without_mirrors;2020-05-24;0.06%;1
without_mirrors;2020-05-25;0.50%;9
with_mirrors;2020-05-25;1.28%;23
with_mirrors;2020-05-25;1.27%;23
with_mirrors;2020-05-26;0.44%;8
with_mirrors;2020-05-27;0.78%;14
with_mirrors;2020-05-27;0.77%;14
without_mirrors;2020-05-27;0.11%;2
with_mirrors;2020-05-28;0.06%;1
without_mirrors;2020-05-28;0.06%;1
with_mirrors;2020-05-29;0.33%;6
with_mirrors;2020-05-30;0.22%;4
with_mirrors;2020-05-31;0.22%;4
without_mirrors;2020-05-31;0.22%;4
without_mirrors;2020-06-01;1.77%;32
with_mirrors;2020-06-01;9.77%;177
with_mirrors;2020-06-01;9.82%;177
with_mirrors;2020-06-02;7.32%;132
without_mirrors;2020-06-02;0.50%;9
with_mirrors;2020-06-02;7.29%;132
without_mirrors;2020-06-03;0.11%;2
with_mirrors;2020-06-03;0.88%;16
with_mirrors;2020-06-03;0.89%;16
with_mirrors;2020-06-04;1.61%;29
without_mirrors;2020-06-04;0.06%;1
with_mirrors;2020-06-04;1.60%;29
with_mirrors;2020-06-05;0.39%;7
without_mirrors;2020-06-05;0.17%;3
with_mirrors;2020-06-06;2.44%;44
with_mirrors;2020-06-06;2.43%;44
without_mirrors;2020-06-06;0.33%;6
without_mirrors;2020-06-07;1.05%;19
with_mirrors;2020-06-07;2.60%;47
with_mirrors;2020-06-07;2.61%;47
without_mirrors;2020-06-08;0.17%;3
with_mirrors;2020-06-08;0.50%;9
with_mirrors;2020-06-09;2.61%;47
without_mirrors;2020-06-09;0.50%;9
with_mirrors;2020-06-09;2.60%;47
with_mirrors;2020-06-10;0.99%;18
without_mirrors;2020-06-10;0.39%;7
with_mirrors;2020-06-10;1.00%;18
with_mirrors;2020-06-11;0.11%;2
without_mirrors;2020-06-12;0.11%;2
with_mirrors;2020-06-12;0.11%;2
with_mirrors;2020-06-13;0.33%;6
without_mirrors;2020-06-14;0.44%;8
with_mirrors;2020-06-14;0.89%;16
with_mirrors;2020-06-14;0.88%;16
with_mirrors;2020-06-15;0.44%;8
without_mirrors;2020-06-15;0.22%;4
with_mirrors;2020-06-16;0.94%;17
without_mirrors;2020-06-16;0.17%;3
with_mirrors;2020-06-17;0.22%;4
with_mirrors;2020-06-18;0.66%;12
with_mirrors;2020-06-18;0.67%;12
without_mirrors;2020-06-19;0.06%;1
with_mirrors;2020-06-19;0.50%;9
with_mirrors;2020-06-20;0.67%;12
with_mirrors;2020-06-20;0.66%;12
with_mirrors;2020-06-21;0.67%;12
with_mirrors;2020-06-21;0.66%;12
without_mirrors;2020-06-22;0.17%;3
with_mirrors;2020-06-22;0.61%;11
without_mirrors;2020-06-23;0.28%;5
with_mirrors;2020-06-23;0.55%;10
without_mirrors;2020-06-24;0.06%;1
with_mirrors;2020-06-24;0.17%;3
with_mirrors;2020-06-25;0.11%;2
with_mirrors;2020-06-26;0.22%;4
without_mirrors;2020-06-26;0.11%;2
with_mirrors;2020-06-27;0.67%;12
with_mirrors;2020-06-27;0.66%;12
without_mirrors;2020-06-29;0.17%;3
with_mirrors;2020-06-29;0.17%;3
with_mirrors;2020-06-30;0.77%;14
with_mirrors;2020-06-30;0.78%;14
with_mirrors;2020-07-01;0.33%;6
without_mirrors;2020-07-01;0.06%;1
with_mirrors;2020-07-02;0.11%;2
with_mirrors;2020-07-03;0.55%;10
with_mirrors;2020-07-04;0.67%;12
with_mirrors;2020-07-04;0.66%;12
with_mirrors;2020-07-05;1.00%;18
with_mirrors;2020-07-05;0.99%;18
without_mirrors;2020-07-06;0.11%;2
with_mirrors;2020-07-06;0.11%;2
without_mirrors;2020-07-07;0.06%;1
with_mirrors;2020-07-07;0.33%;6
with_mirrors;2020-07-08;0.55%;10
without_mirrors;2020-07-08;0.06%;1
without_mirrors;2020-07-09;0.17%;3
with_mirrors;2020-07-09;0.89%;16
with_mirrors;2020-07-09;0.88%;16
without_mirrors;2020-07-10;0.11%;2
with_mirrors;2020-07-10;0.44%;8
with_mirrors;2020-07-11;0.44%;8
with_mirrors;2020-07-12;0.17%;3
without_mirrors;2020-07-12;0.17%;3
with_mirrors;2020-07-13;1.16%;21
without_mirrors;2020-07-13;0.17%;3
with_mirrors;2020-07-14;0.22%;4
without_mirrors;2020-07-14;0.11%;2
with_mirrors;2020-07-15;1.88%;34
with_mirrors;2020-07-15;1.89%;34
without_mirrors;2020-07-15;0.22%;4
without_mirrors;2020-07-16;0.11%;2
with_mirrors;2020-07-16;0.11%;2
with_mirrors;2020-07-17;0.39%;7
without_mirrors;2020-07-17;0.06%;1
without_mirrors;2020-07-18;0.06%;1
with_mirrors;2020-07-18;0.83%;15
with_mirrors;2020-07-19;0.06%;1
without_mirrors;2020-07-19;0.06%;1
with_mirrors;2020-07-20;0.22%;4
with_mirrors;2020-07-21;1.00%;18
without_mirrors;2020-07-21;0.44%;8
with_mirrors;2020-07-21;0.99%;18
without_mirrors;2020-07-22;1.16%;21
with_mirrors;2020-07-22;1.49%;27
with_mirrors;2020-07-22;1.50%;27
without_mirrors;2020-07-23;0.22%;4
with_mirrors;2020-07-23;0.39%;7
without_mirrors;2020-07-24;0.11%;2
with_mirrors;2020-07-24;0.11%;2
with_mirrors;2020-07-25;0.44%;8
with_mirrors;2020-07-27;0.17%;3
with_mirrors;2020-07-28;0.50%;9
without_mirrors;2020-07-28;0.17%;3
without_mirrors;2020-07-29;0.11%;2
with_mirrors;2020-07-29;0.11%;2
with_mirrors;2020-07-30;0.99%;18
with_mirrors;2020-07-30;1.00%;18
without_mirrors;2020-07-31;0.06%;1
with_mirrors;2020-07-31;0.11%;2
without_mirrors;2020-08-01;0.11%;2
with_mirrors;2020-08-01;1.11%;20
with_mirrors;2020-08-01;1.10%;20
with_mirrors;2020-08-02;0.39%;7
without_mirrors;2020-08-02;0.06%;1
with_mirrors;2020-08-03;1.05%;19
with_mirrors;2020-08-04;0.28%;5
without_mirrors;2020-08-05;0.11%;2
with_mirrors;2020-08-05;0.17%;3
with_mirrors;2020-08-06;1.89%;34
with_mirrors;2020-08-06;1.88%;34
without_mirrors;2020-08-06;0.06%;1
with_mirrors;2020-08-07;0.77%;14
without_mirrors;2020-08-07;0.11%;2
with_mirrors;2020-08-07;0.78%;14
with_mirrors;2020-08-08;0.77%;14
without_mirrors;2020-08-08;0.11%;2
with_mirrors;2020-08-08;0.78%;14
with_mirrors;2020-08-09;0.72%;13
with_mirrors;2020-08-10;0.44%;8
without_mirrors;2020-08-11;0.06%;1
with_mirrors;2020-08-11;0.06%;1
with_mirrors;2020-08-12;0.33%;6
without_mirrors;2020-08-13;0.06%;1
with_mirrors;2020-08-13;0.61%;11
without_mirrors;2020-08-14;0.06%;1
with_mirrors;2020-08-14;0.88%;16
with_mirrors;2020-08-14;0.89%;16
with_mirrors;2020-08-15;0.67%;12
with_mirrors;2020-08-15;0.66%;12
with_mirrors;2020-08-16;1.77%;32
without_mirrors;2020-08-16;0.11%;2
with_mirrors;2020-08-17;0.22%;4
with_mirrors;2020-08-18;0.33%;6
with_mirrors;2020-08-20;0.67%;12
with_mirrors;2020-08-20;0.66%;12
without_mirrors;2020-08-21;0.22%;4
with_mirrors;2020-08-21;0.55%;10
without_mirrors;2020-08-23;0.11%;2
with_mirrors;2020-08-23;0.11%;2
without_mirrors;2020-08-24;0.11%;2
with_mirrors;2020-08-24;0.11%;2
with_mirrors;2020-08-25;0.83%;15
without_mirrors;2020-08-25;0.22%;4
with_mirrors;2020-08-26;0.22%;4
without_mirrors;2020-08-26;0.06%;1
with_mirrors;2020-08-27;0.17%;3
with_mirrors;2020-08-28;0.94%;17
with_mirrors;2020-08-29;1.33%;24
without_mirrors;2020-08-30;0.06%;1
with_mirrors;2020-08-30;0.28%;5
with_mirrors;2020-09-01;0.72%;13
without_mirrors;2020-09-01;0.06%;1
with_mirrors;2020-09-02;1.33%;24
without_mirrors;2020-09-02;0.22%;4
with_mirrors;2020-09-03;0.28%;5
without_mirrors;2020-09-03;0.06%;1
without_mirrors;2020-09-04;0.11%;2
with_mirrors;2020-09-04;0.44%;8
without_mirrors;2020-09-05;0.11%;2
with_mirrors;2020-09-05;0.44%;8
without_mirrors;2020-09-06;0.17%;3
with_mirrors;2020-09-06;0.28%;5
