category;date;downloads
without_mirrors;2020-05-20;14
with_mirrors;2020-05-20;88
with_mirrors;2020-05-21;256
without_mirrors;2020-05-21;33
without_mirrors;2020-05-22;15
with_mirrors;2020-05-22;165
with_mirrors;2020-05-23;135
without_mirrors;2020-05-23;11
with_mirrors;2020-05-24;35
without_mirrors;2020-05-24;17
with_mirrors;2020-05-25;56
without_mirrors;2020-05-25;15
with_mirrors;2020-05-26;19
without_mirrors;2020-05-26;3
with_mirrors;2020-05-27;26
without_mirrors;2020-05-27;2
without_mirrors;2020-05-28;4
with_mirrors;2020-05-28;18
with_mirrors;2020-05-29;11
without_mirrors;2020-05-29;3
with_mirrors;2020-05-30;10
without_mirrors;2020-05-30;2
without_mirrors;2020-05-31;4
with_mirrors;2020-05-31;28
with_mirrors;2020-06-01;10
with_mirrors;2020-06-02;4
with_mirrors;2020-06-03;22
without_mirrors;2020-06-03;6
with_mirrors;2020-06-04;26
with_mirrors;2020-06-05;4
with_mirrors;2020-06-06;22
with_mirrors;2020-06-07;12
without_mirrors;2020-06-08;2
with_mirrors;2020-06-08;14
without_mirrors;2020-06-09;2
with_mirrors;2020-06-09;24
with_mirrors;2020-06-10;5
without_mirrors;2020-06-10;3
with_mirrors;2020-06-11;12
with_mirrors;2020-06-12;3
without_mirrors;2020-06-12;3
with_mirrors;2020-06-13;6
without_mirrors;2020-06-13;2
with_mirrors;2020-06-14;6
without_mirrors;2020-06-15;1
with_mirrors;2020-06-15;7
with_mirrors;2020-06-16;21
without_mirrors;2020-06-16;6
with_mirrors;2020-06-17;6
with_mirrors;2020-06-18;11
with_mirrors;2020-06-19;12
with_mirrors;2020-06-20;4
with_mirrors;2020-06-21;8
with_mirrors;2020-06-22;6
without_mirrors;2020-06-22;2
without_mirrors;2020-06-23;2
with_mirrors;2020-06-23;2
with_mirrors;2020-06-25;7
with_mirrors;2020-06-26;2
with_mirrors;2020-06-27;11
with_mirrors;2020-06-28;4
with_mirrors;2020-06-29;2
without_mirrors;2020-06-29;2
with_mirrors;2020-06-30;11
without_mirrors;2020-07-01;1
with_mirrors;2020-07-01;1
with_mirrors;2020-07-02;2
with_mirrors;2020-07-03;6
with_mirrors;2020-07-04;16
with_mirrors;2020-07-05;16
without_mirrors;2020-07-06;1
with_mirrors;2020-07-06;1
with_mirrors;2020-07-07;4
with_mirrors;2020-07-08;11
with_mirrors;2020-07-09;6
with_mirrors;2020-07-10;4
with_mirrors;2020-07-11;4
with_mirrors;2020-07-12;4
without_mirrors;2020-07-14;2
with_mirrors;2020-07-14;4
with_mirrors;2020-07-15;22
without_mirrors;2020-07-15;2
without_mirrors;2020-07-16;1
with_mirrors;2020-07-16;3
with_mirrors;2020-07-17;5
with_mirrors;2020-07-18;14
with_mirrors;2020-07-21;12
without_mirrors;2020-07-21;9
without_mirrors;2020-07-22;25
with_mirrors;2020-07-22;33
without_mirrors;2020-07-23;5
with_mirrors;2020-07-23;5
without_mirrors;2020-07-24;6
with_mirrors;2020-07-24;6
with_mirrors;2020-07-25;9
without_mirrors;2020-07-25;4
without_mirrors;2020-07-26;3
with_mirrors;2020-07-26;3
with_mirrors;2020-07-27;7
without_mirrors;2020-07-27;4
with_mirrors;2020-07-28;4
without_mirrors;2020-07-28;2
without_mirrors;2020-07-30;3
with_mirrors;2020-07-30;11
with_mirrors;2020-07-31;1
with_mirrors;2020-08-01;13
without_mirrors;2020-08-01;1
with_mirrors;2020-08-02;9
without_mirrors;2020-08-02;1
with_mirrors;2020-08-03;7
with_mirrors;2020-08-04;4
without_mirrors;2020-08-05;2
with_mirrors;2020-08-05;5
with_mirrors;2020-08-06;18
without_mirrors;2020-08-06;2
with_mirrors;2020-08-07;2
without_mirrors;2020-08-07;2
with_mirrors;2020-08-08;13
without_mirrors;2020-08-08;1
without_mirrors;2020-08-09;1
with_mirrors;2020-08-09;5
with_mirrors;2020-08-10;8
without_mirrors;2020-08-11;1
with_mirrors;2020-08-11;4
with_mirrors;2020-08-13;8
without_mirrors;2020-08-14;1
with_mirrors;2020-08-14;17
with_mirrors;2020-08-15;4
with_mirrors;2020-08-16;24
with_mirrors;2020-08-18;4
without_mirrors;2020-08-19;2
with_mirrors;2020-08-19;9
with_mirrors;2020-08-20;4
with_mirrors;2020-08-21;11
without_mirrors;2020-08-21;3
with_mirrors;2020-08-24;4
without_mirrors;2020-08-24;2
with_mirrors;2020-08-25;8
without_mirrors;2020-08-25;3
with_mirrors;2020-08-26;3
with_mirrors;2020-08-27;3
with_mirrors;2020-08-28;8
with_mirrors;2020-08-29;16
without_mirrors;2020-08-30;1
with_mirrors;2020-08-30;5
with_mirrors;2020-09-01;8
without_mirrors;2020-09-02;2
with_mirrors;2020-09-02;17
without_mirrors;2020-09-03;2
with_mirrors;2020-09-03;2
without_mirrors;2020-09-04;2
with_mirrors;2020-09-04;5
without_mirrors;2020-09-05;2
with_mirrors;2020-09-05;10
with_mirrors;2020-09-06;4
without_mirrors;2020-09-07;6
with_mirrors;2020-09-07;11
with_mirrors;2020-09-08;10
without_mirrors;2020-09-08;3
with_mirrors;2020-09-09;4
without_mirrors;2020-09-09;4
without_mirrors;2020-09-10;2
with_mirrors;2020-09-10;2
with_mirrors;2020-09-11;10
