category;date;percent;downloads
without_mirrors;2020-05-01;0.43%;2
with_mirrors;2020-05-01;1.30%;6
with_mirrors;2020-05-01;1.28%;6
without_mirrors;2020-05-03;0.64%;3
with_mirrors;2020-05-03;1.49%;7
with_mirrors;2020-05-03;1.51%;7
with_mirrors;2020-05-03;1.52%;7
without_mirrors;2020-05-03;0.65%;3
with_mirrors;2020-05-05;0.64%;3
with_mirrors;2020-05-05;0.65%;3
without_mirrors;2020-05-06;0.43%;2
with_mirrors;2020-05-06;0.43%;2
with_mirrors;2020-05-07;0.85%;4
with_mirrors;2020-05-07;0.87%;4
with_mirrors;2020-05-07;0.86%;4
with_mirrors;2020-05-09;0.22%;1
with_mirrors;2020-05-09;0.21%;1
with_mirrors;2020-05-10;0.43%;2
with_mirrors;2020-05-11;0.21%;1
with_mirrors;2020-05-11;0.22%;1
with_mirrors;2020-05-12;0.43%;2
without_mirrors;2020-05-12;0.21%;1
without_mirrors;2020-05-12;0.22%;1
with_mirrors;2020-05-14;1.28%;6
with_mirrors;2020-05-14;1.30%;6
with_mirrors;2020-05-15;1.08%;5
with_mirrors;2020-05-15;1.07%;5
with_mirrors;2020-05-17;0.86%;4
with_mirrors;2020-05-17;0.87%;4
with_mirrors;2020-05-17;0.85%;4
with_mirrors;2020-05-18;0.86%;4
with_mirrors;2020-05-18;0.85%;4
with_mirrors;2020-05-18;0.87%;4
without_mirrors;2020-05-18;0.22%;1
without_mirrors;2020-05-18;0.21%;1
with_mirrors;2020-05-19;1.30%;6
without_mirrors;2020-05-19;0.43%;2
with_mirrors;2020-05-19;1.28%;6
without_mirrors;2020-05-20;0.64%;3
with_mirrors;2020-05-20;1.07%;5
without_mirrors;2020-05-20;0.65%;3
with_mirrors;2020-05-20;1.08%;5
with_mirrors;2020-05-21;0.85%;4
with_mirrors;2020-05-21;0.86%;4
with_mirrors;2020-05-21;0.87%;4
with_mirrors;2020-05-22;0.43%;2
without_mirrors;2020-05-23;0.21%;1
without_mirrors;2020-05-23;0.22%;1
with_mirrors;2020-05-23;0.22%;1
with_mirrors;2020-05-23;0.21%;1
with_mirrors;2020-05-25;0.87%;4
with_mirrors;2020-05-25;0.85%;4
with_mirrors;2020-05-25;0.86%;4
with_mirrors;2020-05-27;2.38%;11
without_mirrors;2020-05-27;0.65%;3
without_mirrors;2020-05-27;0.64%;3
with_mirrors;2020-05-27;2.35%;11
with_mirrors;2020-05-27;2.39%;11
with_mirrors;2020-05-28;0.85%;4
with_mirrors;2020-05-28;0.87%;4
with_mirrors;2020-05-28;0.86%;4
with_mirrors;2020-05-29;0.21%;1
without_mirrors;2020-05-29;0.21%;1
with_mirrors;2020-05-29;0.22%;1
without_mirrors;2020-05-29;0.22%;1
with_mirrors;2020-05-30;1.49%;7
with_mirrors;2020-05-30;1.52%;7
with_mirrors;2020-05-30;1.51%;7
without_mirrors;2020-05-30;0.64%;3
without_mirrors;2020-05-30;0.65%;3
with_mirrors;2020-05-31;0.65%;3
with_mirrors;2020-05-31;0.64%;3
without_mirrors;2020-05-31;0.43%;2
with_mirrors;2020-06-01;0.43%;2
with_mirrors;2020-06-02;0.86%;4
with_mirrors;2020-06-02;0.87%;4
with_mirrors;2020-06-02;0.85%;4
with_mirrors;2020-06-04;1.28%;6
with_mirrors;2020-06-04;1.30%;6
with_mirrors;2020-06-06;1.30%;6
with_mirrors;2020-06-06;1.28%;6
with_mirrors;2020-06-08;0.85%;4
with_mirrors;2020-06-08;0.86%;4
with_mirrors;2020-06-08;0.87%;4
with_mirrors;2020-06-09;1.51%;7
with_mirrors;2020-06-09;1.52%;7
without_mirrors;2020-06-09;0.65%;3
with_mirrors;2020-06-09;1.49%;7
without_mirrors;2020-06-09;0.64%;3
with_mirrors;2020-06-10;1.28%;6
without_mirrors;2020-06-10;0.43%;2
with_mirrors;2020-06-10;1.30%;6
with_mirrors;2020-06-11;0.43%;2
with_mirrors;2020-06-12;0.43%;2
with_mirrors;2020-06-14;0.43%;2
with_mirrors;2020-06-15;0.64%;3
without_mirrors;2020-06-15;0.22%;1
with_mirrors;2020-06-15;0.65%;3
without_mirrors;2020-06-15;0.21%;1
without_mirrors;2020-06-16;0.22%;1
with_mirrors;2020-06-16;0.64%;3
without_mirrors;2020-06-16;0.21%;1
with_mirrors;2020-06-16;0.65%;3
without_mirrors;2020-06-17;0.22%;1
with_mirrors;2020-06-17;1.30%;6
without_mirrors;2020-06-17;0.21%;1
with_mirrors;2020-06-17;1.28%;6
with_mirrors;2020-06-18;0.86%;4
with_mirrors;2020-06-18;0.87%;4
with_mirrors;2020-06-18;0.85%;4
with_mirrors;2020-06-19;0.43%;2
with_mirrors;2020-06-20;0.85%;4
with_mirrors;2020-06-20;0.87%;4
with_mirrors;2020-06-20;0.86%;4
with_mirrors;2020-06-21;0.43%;2
without_mirrors;2020-06-22;0.43%;2
with_mirrors;2020-06-22;0.43%;2
with_mirrors;2020-06-23;1.07%;5
without_mirrors;2020-06-23;0.21%;1
without_mirrors;2020-06-23;0.22%;1
with_mirrors;2020-06-23;1.08%;5
with_mirrors;2020-06-27;0.43%;2
with_mirrors;2020-06-28;0.43%;2
with_mirrors;2020-06-30;0.87%;4
with_mirrors;2020-06-30;0.86%;4
with_mirrors;2020-06-30;0.85%;4
with_mirrors;2020-07-01;0.43%;2
with_mirrors;2020-07-02;0.87%;4
with_mirrors;2020-07-02;0.86%;4
with_mirrors;2020-07-02;0.85%;4
without_mirrors;2020-07-02;0.43%;2
with_mirrors;2020-07-04;0.43%;2
with_mirrors;2020-07-05;0.86%;4
with_mirrors;2020-07-05;0.87%;4
with_mirrors;2020-07-05;0.85%;4
with_mirrors;2020-07-06;1.07%;5
without_mirrors;2020-07-06;0.22%;1
with_mirrors;2020-07-06;1.08%;5
without_mirrors;2020-07-06;0.21%;1
with_mirrors;2020-07-07;0.43%;2
with_mirrors;2020-07-08;0.43%;2
with_mirrors;2020-07-09;2.17%;10
with_mirrors;2020-07-09;2.16%;10
with_mirrors;2020-07-09;2.13%;10
with_mirrors;2020-07-10;1.28%;6
without_mirrors;2020-07-10;0.86%;4
with_mirrors;2020-07-10;1.30%;6
without_mirrors;2020-07-10;0.85%;4
without_mirrors;2020-07-10;0.87%;4
with_mirrors;2020-07-11;0.43%;2
with_mirrors;2020-07-14;0.64%;3
without_mirrors;2020-07-14;0.21%;1
with_mirrors;2020-07-14;0.65%;3
without_mirrors;2020-07-14;0.22%;1
without_mirrors;2020-07-15;0.43%;2
with_mirrors;2020-07-15;1.30%;6
with_mirrors;2020-07-15;1.28%;6
without_mirrors;2020-07-16;0.21%;1
without_mirrors;2020-07-16;0.22%;1
with_mirrors;2020-07-16;0.43%;2
with_mirrors;2020-07-18;1.30%;6
with_mirrors;2020-07-18;1.28%;6
with_mirrors;2020-07-19;0.64%;3
with_mirrors;2020-07-19;0.65%;3
without_mirrors;2020-07-19;0.22%;1
without_mirrors;2020-07-19;0.21%;1
with_mirrors;2020-07-21;0.64%;3
with_mirrors;2020-07-21;0.65%;3
without_mirrors;2020-07-21;0.22%;1
without_mirrors;2020-07-21;0.21%;1
with_mirrors;2020-07-22;0.43%;2
without_mirrors;2020-07-22;0.43%;2
with_mirrors;2020-07-24;0.43%;2
with_mirrors;2020-07-25;1.07%;5
without_mirrors;2020-07-25;0.43%;2
with_mirrors;2020-07-25;1.08%;5
with_mirrors;2020-07-28;0.43%;2
without_mirrors;2020-07-29;0.22%;1
with_mirrors;2020-07-29;0.21%;1
without_mirrors;2020-07-29;0.21%;1
with_mirrors;2020-07-29;0.22%;1
without_mirrors;2020-07-30;0.22%;1
with_mirrors;2020-07-30;0.86%;4
with_mirrors;2020-07-30;0.87%;4
without_mirrors;2020-07-30;0.21%;1
with_mirrors;2020-07-30;0.85%;4
with_mirrors;2020-07-31;0.43%;2
without_mirrors;2020-07-31;0.43%;2
with_mirrors;2020-08-01;1.08%;5
without_mirrors;2020-08-01;0.22%;1
without_mirrors;2020-08-01;0.21%;1
with_mirrors;2020-08-01;1.07%;5
with_mirrors;2020-08-03;0.64%;3
with_mirrors;2020-08-03;0.65%;3
with_mirrors;2020-08-04;0.86%;4
with_mirrors;2020-08-04;0.87%;4
with_mirrors;2020-08-04;0.85%;4
without_mirrors;2020-08-05;0.21%;1
without_mirrors;2020-08-05;0.22%;1
with_mirrors;2020-08-05;0.65%;3
with_mirrors;2020-08-05;0.64%;3
with_mirrors;2020-08-06;1.28%;6
with_mirrors;2020-08-06;1.30%;6
without_mirrors;2020-08-06;0.43%;2
with_mirrors;2020-08-07;1.30%;6
with_mirrors;2020-08-07;1.28%;6
without_mirrors;2020-08-07;0.43%;2
without_mirrors;2020-08-08;0.21%;1
with_mirrors;2020-08-08;1.49%;7
with_mirrors;2020-08-08;1.51%;7
with_mirrors;2020-08-08;1.52%;7
