category;date;downloads
without_mirrors;2020-05-01;3
with_mirrors;2020-05-01;7
without_mirrors;2020-05-02;11
with_mirrors;2020-05-02;43
with_mirrors;2020-05-03;30
without_mirrors;2020-05-03;2
with_mirrors;2020-05-04;18
without_mirrors;2020-05-04;4
without_mirrors;2020-05-05;1
with_mirrors;2020-05-05;30
with_mirrors;2020-05-06;21
without_mirrors;2020-05-06;5
without_mirrors;2020-05-07;2
with_mirrors;2020-05-07;25
with_mirrors;2020-05-08;1
with_mirrors;2020-05-09;38
without_mirrors;2020-05-10;4
with_mirrors;2020-05-10;21
with_mirrors;2020-05-11;38
without_mirrors;2020-05-11;2
without_mirrors;2020-05-12;3
with_mirrors;2020-05-12;4
without_mirrors;2020-05-13;3
with_mirrors;2020-05-13;26
with_mirrors;2020-05-14;45
without_mirrors;2020-05-14;2
with_mirrors;2020-05-15;50
without_mirrors;2020-05-15;3
without_mirrors;2020-05-16;1
with_mirrors;2020-05-16;12
with_mirrors;2020-05-17;31
with_mirrors;2020-05-18;19
without_mirrors;2020-05-18;4
without_mirrors;2020-05-19;24
with_mirrors;2020-05-19;70
with_mirrors;2020-05-20;22
without_mirrors;2020-05-20;19
without_mirrors;2020-05-21;1
with_mirrors;2020-05-21;18
without_mirrors;2020-05-22;11
with_mirrors;2020-05-22;42
without_mirrors;2020-05-23;7
with_mirrors;2020-05-23;8
with_mirrors;2020-05-24;3
without_mirrors;2020-05-24;2
with_mirrors;2020-05-25;30
without_mirrors;2020-05-25;1
with_mirrors;2020-05-26;4
without_mirrors;2020-05-26;1
without_mirrors;2020-05-27;2
with_mirrors;2020-05-27;21
with_mirrors;2020-05-28;59
with_mirrors;2020-05-29;48
without_mirrors;2020-05-29;18
with_mirrors;2020-05-30;15
with_mirrors;2020-05-31;43
with_mirrors;2020-06-01;9
without_mirrors;2020-06-01;6
with_mirrors;2020-06-02;39
without_mirrors;2020-06-02;10
without_mirrors;2020-06-03;2
with_mirrors;2020-06-03;13
without_mirrors;2020-06-04;2
with_mirrors;2020-06-04;27
without_mirrors;2020-06-05;1
with_mirrors;2020-06-05;16
without_mirrors;2020-06-06;6
with_mirrors;2020-06-06;23
without_mirrors;2020-06-07;9
with_mirrors;2020-06-07;25
without_mirrors;2020-06-08;7
with_mirrors;2020-06-08;27
with_mirrors;2020-06-09;48
without_mirrors;2020-06-09;5
without_mirrors;2020-06-10;2
with_mirrors;2020-06-10;2
without_mirrors;2020-06-11;3
with_mirrors;2020-06-11;36
with_mirrors;2020-06-12;23
without_mirrors;2020-06-12;9
with_mirrors;2020-06-13;1
without_mirrors;2020-06-14;3
with_mirrors;2020-06-14;5
with_mirrors;2020-06-15;16
without_mirrors;2020-06-15;2
without_mirrors;2020-06-16;14
with_mirrors;2020-06-16;14
with_mirrors;2020-06-17;33
without_mirrors;2020-06-17;1
without_mirrors;2020-06-18;1
with_mirrors;2020-06-18;20
with_mirrors;2020-06-19;32
without_mirrors;2020-06-19;4
with_mirrors;2020-06-20;29
without_mirrors;2020-06-20;1
with_mirrors;2020-06-21;15
without_mirrors;2020-06-21;1
with_mirrors;2020-06-22;7
without_mirrors;2020-06-22;3
without_mirrors;2020-06-23;7
with_mirrors;2020-06-23;23
with_mirrors;2020-06-25;28
without_mirrors;2020-06-25;1
without_mirrors;2020-06-26;3
with_mirrors;2020-06-26;3
with_mirrors;2020-06-27;14
with_mirrors;2020-06-28;17
without_mirrors;2020-06-29;2
with_mirrors;2020-06-29;3
without_mirrors;2020-06-30;2
with_mirrors;2020-06-30;20
without_mirrors;2020-07-01;1
with_mirrors;2020-07-01;3
with_mirrors;2020-07-02;12
without_mirrors;2020-07-03;1
with_mirrors;2020-07-03;1
with_mirrors;2020-07-04;14
with_mirrors;2020-07-05;20
without_mirrors;2020-07-06;1
with_mirrors;2020-07-06;23
with_mirrors;2020-07-07;15
with_mirrors;2020-07-08;14
without_mirrors;2020-07-09;3
with_mirrors;2020-07-09;30
without_mirrors;2020-07-10;1
with_mirrors;2020-07-10;15
without_mirrors;2020-07-11;1
with_mirrors;2020-07-11;33
with_mirrors;2020-07-12;25
without_mirrors;2020-07-12;1
with_mirrors;2020-07-13;2
without_mirrors;2020-07-13;2
with_mirrors;2020-07-14;10
without_mirrors;2020-07-14;8
with_mirrors;2020-07-15;26
without_mirrors;2020-07-15;1
with_mirrors;2020-07-16;33
without_mirrors;2020-07-16;2
with_mirrors;2020-07-17;9
without_mirrors;2020-07-18;1
with_mirrors;2020-07-18;25
with_mirrors;2020-07-19;15
without_mirrors;2020-07-19;1
with_mirrors;2020-07-20;1
without_mirrors;2020-07-20;1
with_mirrors;2020-07-21;9
without_mirrors;2020-07-21;2
without_mirrors;2020-07-22;2
with_mirrors;2020-07-22;5
with_mirrors;2020-07-24;15
without_mirrors;2020-07-24;1
without_mirrors;2020-07-25;1
with_mirrors;2020-07-25;16
without_mirrors;2020-07-27;1
with_mirrors;2020-07-27;1
without_mirrors;2020-07-28;3
with_mirrors;2020-07-28;3
without_mirrors;2020-07-29;5
with_mirrors;2020-07-29;8
without_mirrors;2020-07-30;1
with_mirrors;2020-07-30;17
with_mirrors;2020-07-31;4
without_mirrors;2020-07-31;4
with_mirrors;2020-08-01;26
without_mirrors;2020-08-01;1
without_mirrors;2020-08-02;1
with_mirrors;2020-08-02;15
with_mirrors;2020-08-03;17
with_mirrors;2020-08-04;14
without_mirrors;2020-08-05;1
with_mirrors;2020-08-05;21
without_mirrors;2020-08-06;6
with_mirrors;2020-08-06;23
with_mirrors;2020-08-07;24
without_mirrors;2020-08-07;3
without_mirrors;2020-08-08;1
with_mirrors;2020-08-08;57
with_mirrors;2020-08-10;22
without_mirrors;2020-08-10;3
with_mirrors;2020-08-11;12
without_mirrors;2020-08-12;1
with_mirrors;2020-08-12;10
without_mirrors;2020-08-13;1
with_mirrors;2020-08-13;28
without_mirrors;2020-08-14;2
with_mirrors;2020-08-14;37
with_mirrors;2020-08-15;23
without_mirrors;2020-08-15;1
without_mirrors;2020-08-16;1
with_mirrors;2020-08-16;45
with_mirrors;2020-08-17;174
without_mirrors;2020-08-17;50
with_mirrors;2020-08-18;206
without_mirrors;2020-08-18;16
with_mirrors;2020-08-19;58
without_mirrors;2020-08-19;5
without_mirrors;2020-08-20;43
with_mirrors;2020-08-20;121
with_mirrors;2020-08-21;145
without_mirrors;2020-08-21;29
with_mirrors;2020-08-22;90
without_mirrors;2020-08-22;14
with_mirrors;2020-08-23;152
without_mirrors;2020-08-23;40
with_mirrors;2020-08-24;140
without_mirrors;2020-08-24;21
with_mirrors;2020-08-25;79
without_mirrors;2020-08-25;17
without_mirrors;2020-08-26;5
with_mirrors;2020-08-26;42
without_mirrors;2020-08-27;4
with_mirrors;2020-08-27;46
without_mirrors;2020-08-28;24
with_mirrors;2020-08-28;119
with_mirrors;2020-08-29;143
without_mirrors;2020-08-29;14
with_mirrors;2020-08-30;132
without_mirrors;2020-08-30;8
with_mirrors;2020-08-31;54
without_mirrors;2020-08-31;6
with_mirrors;2020-09-01;39
without_mirrors;2020-09-01;11
without_mirrors;2020-09-02;10
with_mirrors;2020-09-02;113
with_mirrors;2020-09-03;36
with_mirrors;2020-09-04;32
without_mirrors;2020-09-04;21
without_mirrors;2020-09-05;10
with_mirrors;2020-09-05;28
without_mirrors;2020-09-06;5
with_mirrors;2020-09-06;39
with_mirrors;2020-09-07;31
without_mirrors;2020-09-07;8
without_mirrors;2020-09-08;3
with_mirrors;2020-09-08;42
with_mirrors;2020-09-09;18
without_mirrors;2020-09-09;3
without_mirrors;2020-09-10;3
with_mirrors;2020-09-10;17
with_mirrors;2020-09-11;23
without_mirrors;2020-09-11;7
