category;date;percent;downloads
without_mirrors;2020-05-01;0.32%;4
with_mirrors;2020-05-01;1.37%;17
with_mirrors;2020-05-02;0.40%;5
without_mirrors;2020-05-02;0.08%;1
with_mirrors;2020-05-03;1.70%;21
without_mirrors;2020-05-03;0.24%;3
with_mirrors;2020-05-04;0.65%;8
with_mirrors;2020-05-05;0.89%;11
with_mirrors;2020-05-06;0.40%;5
without_mirrors;2020-05-06;0.24%;3
without_mirrors;2020-05-07;0.16%;2
with_mirrors;2020-05-07;1.70%;21
without_mirrors;2020-05-09;0.16%;2
with_mirrors;2020-05-09;1.05%;13
with_mirrors;2020-05-10;0.57%;7
without_mirrors;2020-05-10;0.08%;1
without_mirrors;2020-05-11;0.08%;1
with_mirrors;2020-05-11;0.08%;1
with_mirrors;2020-05-12;0.24%;3
without_mirrors;2020-05-12;0.08%;1
with_mirrors;2020-05-13;0.16%;2
without_mirrors;2020-05-14;0.08%;1
with_mirrors;2020-05-14;1.62%;20
without_mirrors;2020-05-15;0.32%;4
with_mirrors;2020-05-15;1.53%;19
without_mirrors;2020-05-16;0.08%;1
with_mirrors;2020-05-16;0.24%;3
with_mirrors;2020-05-17;0.97%;12
without_mirrors;2020-05-18;0.08%;1
with_mirrors;2020-05-18;0.40%;5
with_mirrors;2020-05-19;0.81%;10
without_mirrors;2020-05-19;0.16%;2
with_mirrors;2020-05-20;0.81%;10
without_mirrors;2020-05-20;0.16%;2
with_mirrors;2020-05-21;0.81%;10
without_mirrors;2020-05-21;0.16%;2
with_mirrors;2020-05-22;0.48%;6
with_mirrors;2020-05-23;0.57%;7
without_mirrors;2020-05-23;0.08%;1
without_mirrors;2020-05-24;0.08%;1
with_mirrors;2020-05-24;0.08%;1
without_mirrors;2020-05-25;0.16%;2
with_mirrors;2020-05-25;1.13%;14
with_mirrors;2020-05-27;0.16%;2
without_mirrors;2020-05-27;0.16%;2
with_mirrors;2020-05-28;0.89%;11
with_mirrors;2020-05-29;1.94%;24
without_mirrors;2020-05-29;0.16%;2
without_mirrors;2020-05-30;0.16%;2
with_mirrors;2020-05-30;0.65%;8
with_mirrors;2020-05-31;1.21%;15
without_mirrors;2020-05-31;0.57%;7
with_mirrors;2020-06-01;0.24%;3
without_mirrors;2020-06-01;0.08%;1
without_mirrors;2020-06-02;0.08%;1
with_mirrors;2020-06-02;0.97%;12
without_mirrors;2020-06-03;0.16%;2
with_mirrors;2020-06-03;0.32%;4
with_mirrors;2020-06-04;1.21%;15
without_mirrors;2020-06-04;0.08%;1
with_mirrors;2020-06-05;0.32%;4
without_mirrors;2020-06-05;0.16%;2
with_mirrors;2020-06-06;0.16%;2
without_mirrors;2020-06-07;0.08%;1
with_mirrors;2020-06-07;0.73%;9
with_mirrors;2020-06-08;0.97%;12
without_mirrors;2020-06-09;0.40%;5
with_mirrors;2020-06-09;1.13%;14
without_mirrors;2020-06-10;0.16%;2
with_mirrors;2020-06-10;1.13%;14
with_mirrors;2020-06-11;0.48%;6
without_mirrors;2020-06-12;0.24%;3
with_mirrors;2020-06-12;0.24%;3
without_mirrors;2020-06-13;0.16%;2
with_mirrors;2020-06-13;0.16%;2
with_mirrors;2020-06-14;0.32%;4
without_mirrors;2020-06-14;0.16%;2
with_mirrors;2020-06-15;0.57%;7
without_mirrors;2020-06-15;0.08%;1
with_mirrors;2020-06-16;0.32%;4
without_mirrors;2020-06-16;0.32%;4
without_mirrors;2020-06-17;0.08%;1
with_mirrors;2020-06-17;1.21%;15
with_mirrors;2020-06-18;1.29%;16
without_mirrors;2020-06-19;0.08%;1
with_mirrors;2020-06-19;1.05%;13
without_mirrors;2020-06-20;0.32%;4
with_mirrors;2020-06-20;0.81%;10
with_mirrors;2020-06-21;0.97%;12
without_mirrors;2020-06-22;0.08%;1
with_mirrors;2020-06-22;0.08%;1
without_mirrors;2020-06-23;0.65%;8
with_mirrors;2020-06-23;0.65%;8
with_mirrors;2020-06-24;0.89%;11
without_mirrors;2020-06-24;0.40%;5
with_mirrors;2020-06-25;0.16%;2
with_mirrors;2020-06-26;0.32%;4
without_mirrors;2020-06-26;0.32%;4
with_mirrors;2020-06-28;0.97%;12
with_mirrors;2020-06-29;0.08%;1
without_mirrors;2020-06-29;0.08%;1
without_mirrors;2020-06-30;0.08%;1
with_mirrors;2020-06-30;0.57%;7
with_mirrors;2020-07-01;1.45%;18
without_mirrors;2020-07-01;0.40%;5
with_mirrors;2020-07-02;0.32%;4
with_mirrors;2020-07-03;0.48%;6
with_mirrors;2020-07-04;0.57%;7
without_mirrors;2020-07-04;0.08%;1
without_mirrors;2020-07-05;0.08%;1
with_mirrors;2020-07-05;0.57%;7
with_mirrors;2020-07-06;1.13%;14
without_mirrors;2020-07-06;0.16%;2
with_mirrors;2020-07-07;0.32%;4
with_mirrors;2020-07-08;1.05%;13
without_mirrors;2020-07-08;0.08%;1
with_mirrors;2020-07-09;1.21%;15
with_mirrors;2020-07-10;0.24%;3
with_mirrors;2020-07-11;0.48%;6
without_mirrors;2020-07-12;0.08%;1
with_mirrors;2020-07-12;0.65%;8
with_mirrors;2020-07-14;0.65%;8
