category;date;downloads
with_mirrors;2020-05-01;41
without_mirrors;2020-05-01;21
without_mirrors;2020-05-02;46
with_mirrors;2020-05-02;196
without_mirrors;2020-05-03;9
with_mirrors;2020-05-03;118
with_mirrors;2020-05-04;65
without_mirrors;2020-05-04;13
without_mirrors;2020-05-05;10
with_mirrors;2020-05-05;31
without_mirrors;2020-05-06;2
with_mirrors;2020-05-06;22
with_mirrors;2020-05-07;42
without_mirrors;2020-05-07;10
without_mirrors;2020-05-08;32
with_mirrors;2020-05-08;54
with_mirrors;2020-05-09;51
without_mirrors;2020-05-09;24
without_mirrors;2020-05-10;21
with_mirrors;2020-05-10;41
without_mirrors;2020-05-11;9
with_mirrors;2020-05-11;40
with_mirrors;2020-05-12;49
without_mirrors;2020-05-12;7
with_mirrors;2020-05-13;79
without_mirrors;2020-05-13;13
with_mirrors;2020-05-14;42
without_mirrors;2020-05-14;6
without_mirrors;2020-05-15;21
with_mirrors;2020-05-15;37
without_mirrors;2020-05-16;1
with_mirrors;2020-05-16;80
with_mirrors;2020-05-17;12
with_mirrors;2020-05-18;31
with_mirrors;2020-05-19;33
without_mirrors;2020-05-19;4
without_mirrors;2020-05-20;2
with_mirrors;2020-05-20;22
with_mirrors;2020-05-21;31
without_mirrors;2020-05-21;1
with_mirrors;2020-05-22;26
without_mirrors;2020-05-23;1
with_mirrors;2020-05-23;13
with_mirrors;2020-05-24;64
without_mirrors;2020-05-24;2
with_mirrors;2020-05-25;27
without_mirrors;2020-05-25;9
with_mirrors;2020-05-26;34
without_mirrors;2020-05-26;6
with_mirrors;2020-05-27;33
without_mirrors;2020-05-27;3
with_mirrors;2020-05-28;17
without_mirrors;2020-05-28;3
with_mirrors;2020-05-29;28
without_mirrors;2020-05-29;2
with_mirrors;2020-05-30;24
with_mirrors;2020-05-31;27
without_mirrors;2020-05-31;13
with_mirrors;2020-06-01;2
without_mirrors;2020-06-01;2
with_mirrors;2020-06-02;12
with_mirrors;2020-06-03;40
without_mirrors;2020-06-03;2
without_mirrors;2020-06-04;1
with_mirrors;2020-06-04;75
without_mirrors;2020-06-05;2
with_mirrors;2020-06-05;64
with_mirrors;2020-06-06;69
with_mirrors;2020-06-07;25
with_mirrors;2020-06-08;24
without_mirrors;2020-06-09;5
with_mirrors;2020-06-09;49
with_mirrors;2020-06-10;27
without_mirrors;2020-06-10;3
with_mirrors;2020-06-11;26
without_mirrors;2020-06-11;2
with_mirrors;2020-06-12;15
without_mirrors;2020-06-12;3
with_mirrors;2020-06-13;14
without_mirrors;2020-06-13;2
with_mirrors;2020-06-14;14
without_mirrors;2020-06-15;2
with_mirrors;2020-06-15;4
without_mirrors;2020-06-16;10
with_mirrors;2020-06-16;22
without_mirrors;2020-06-17;1
with_mirrors;2020-06-17;48
with_mirrors;2020-06-18;12
with_mirrors;2020-06-19;25
without_mirrors;2020-06-19;1
without_mirrors;2020-06-20;1
with_mirrors;2020-06-20;13
without_mirrors;2020-06-21;1
with_mirrors;2020-06-21;19
with_mirrors;2020-06-22;234
without_mirrors;2020-06-22;53
with_mirrors;2020-06-23;236
without_mirrors;2020-06-23;24
with_mirrors;2020-06-24;298
without_mirrors;2020-06-24;34
with_mirrors;2020-06-25;169
without_mirrors;2020-06-25;7
with_mirrors;2020-06-26;156
without_mirrors;2020-06-26;24
without_mirrors;2020-06-27;12
with_mirrors;2020-06-27;201
with_mirrors;2020-06-28;166
without_mirrors;2020-06-28;2
with_mirrors;2020-06-29;108
without_mirrors;2020-06-29;3
with_mirrors;2020-06-30;30
without_mirrors;2020-06-30;6
without_mirrors;2020-07-01;1
with_mirrors;2020-07-01;32
without_mirrors;2020-07-02;2
with_mirrors;2020-07-02;49
without_mirrors;2020-07-03;2
with_mirrors;2020-07-03;56
with_mirrors;2020-07-04;47
without_mirrors;2020-07-04;1
without_mirrors;2020-07-05;1
with_mirrors;2020-07-05;31
with_mirrors;2020-07-06;5
without_mirrors;2020-07-06;5
with_mirrors;2020-07-07;45
without_mirrors;2020-07-07;1
with_mirrors;2020-07-08;83
without_mirrors;2020-07-08;1
without_mirrors;2020-07-09;5
with_mirrors;2020-07-09;35
with_mirrors;2020-07-10;31
without_mirrors;2020-07-10;5
with_mirrors;2020-07-11;46
with_mirrors;2020-07-12;43
without_mirrors;2020-07-12;3
without_mirrors;2020-07-13;7
with_mirrors;2020-07-13;41
with_mirrors;2020-07-14;52
without_mirrors;2020-07-14;11
with_mirrors;2020-07-15;88
without_mirrors;2020-07-15;4
with_mirrors;2020-07-16;32
without_mirrors;2020-07-16;4
without_mirrors;2020-07-17;3
with_mirrors;2020-07-17;48
with_mirrors;2020-07-18;64
without_mirrors;2020-07-18;8
with_mirrors;2020-07-19;28
with_mirrors;2020-07-20;49
with_mirrors;2020-07-21;41
without_mirrors;2020-07-21;5
with_mirrors;2020-07-22;44
without_mirrors;2020-07-22;5
with_mirrors;2020-07-23;39
with_mirrors;2020-07-24;23
without_mirrors;2020-07-24;3
without_mirrors;2020-07-25;2
with_mirrors;2020-07-25;29
with_mirrors;2020-07-26;42
without_mirrors;2020-07-26;2
with_mirrors;2020-07-28;84
without_mirrors;2020-07-28;4
without_mirrors;2020-07-29;6
with_mirrors;2020-07-29;53
with_mirrors;2020-07-30;38
without_mirrors;2020-07-30;2
without_mirrors;2020-07-31;4
with_mirrors;2020-07-31;9
without_mirrors;2020-08-01;1
with_mirrors;2020-08-01;81
without_mirrors;2020-08-02;1
with_mirrors;2020-08-02;29
without_mirrors;2020-08-03;4
with_mirrors;2020-08-03;16
without_mirrors;2020-08-04;1
with_mirrors;2020-08-04;7
with_mirrors;2020-08-05;36
without_mirrors;2020-08-05;1
with_mirrors;2020-08-06;70
without_mirrors;2020-08-06;16
with_mirrors;2020-08-07;45
without_mirrors;2020-08-07;1
with_mirrors;2020-08-08;1
without_mirrors;2020-08-08;1
without_mirrors;2020-08-09;1
with_mirrors;2020-08-09;1
with_mirrors;2020-08-10;45
without_mirrors;2020-08-11;16
with_mirrors;2020-08-11;89
with_mirrors;2020-08-12;83
without_mirrors;2020-08-12;8
with_mirrors;2020-08-13;23
without_mirrors;2020-08-13;3
with_mirrors;2020-08-14;56
without_mirrors;2020-08-14;1
with_mirrors;2020-08-15;54
without_mirrors;2020-08-16;1
with_mirrors;2020-08-16;1
with_mirrors;2020-08-17;87
without_mirrors;2020-08-17;22
without_mirrors;2020-08-18;7
with_mirrors;2020-08-18;115
without_mirrors;2020-08-19;3
with_mirrors;2020-08-19;79
without_mirrors;2020-08-20;4
with_mirrors;2020-08-20;50
with_mirrors;2020-08-21;18
without_mirrors;2020-08-21;4
with_mirrors;2020-08-22;137
without_mirrors;2020-08-22;2
without_mirrors;2020-08-23;8
with_mirrors;2020-08-23;59
with_mirrors;2020-08-24;19
without_mirrors;2020-08-24;6
without_mirrors;2020-08-25;11
with_mirrors;2020-08-25;38
with_mirrors;2020-08-26;64
without_mirrors;2020-08-26;4
with_mirrors;2020-08-27;54
without_mirrors;2020-08-27;2
without_mirrors;2020-08-28;1
with_mirrors;2020-08-28;78
with_mirrors;2020-08-29;155
without_mirrors;2020-08-29;1
with_mirrors;2020-08-30;28
without_mirrors;2020-08-30;2
without_mirrors;2020-08-31;1
with_mirrors;2020-08-31;93
with_mirrors;2020-09-01;30
without_mirrors;2020-09-01;7
with_mirrors;2020-09-02;57
without_mirrors;2020-09-02;11
without_mirrors;2020-09-03;3
with_mirrors;2020-09-03;24
without_mirrors;2020-09-04;15
with_mirrors;2020-09-04;37
with_mirrors;2020-09-05;23
without_mirrors;2020-09-05;11
with_mirrors;2020-09-06;4
without_mirrors;2020-09-06;4
with_mirrors;2020-09-07;40
without_mirrors;2020-09-07;9
with_mirrors;2020-09-08;30
without_mirrors;2020-09-08;1
with_mirrors;2020-09-09;28
without_mirrors;2020-09-09;1
with_mirrors;2020-09-10;49
without_mirrors;2020-09-10;2
with_mirrors;2020-09-11;43
without_mirrors;2020-09-11;1
with_mirrors;2020-09-12;56
without_mirrors;2020-09-12;12
with_mirrors;2020-09-13;23
without_mirrors;2020-09-13;1
with_mirrors;2020-09-14;71
without_mirrors;2020-09-14;1
without_mirrors;2020-09-15;2
with_mirrors;2020-09-15;57
