category;date;downloads
without_mirrors;2020-05-01;8
with_mirrors;2020-05-01;10
without_mirrors;2020-05-02;2
with_mirrors;2020-05-02;2
with_mirrors;2020-05-03;9
without_mirrors;2020-05-03;7
without_mirrors;2020-05-04;31
with_mirrors;2020-05-04;33
with_mirrors;2020-05-05;116
without_mirrors;2020-05-05;41
without_mirrors;2020-05-06;15
with_mirrors;2020-05-06;121
without_mirrors;2020-05-07;11
with_mirrors;2020-05-07;51
with_mirrors;2020-05-08;33
without_mirrors;2020-05-08;3
without_mirrors;2020-05-09;7
with_mirrors;2020-05-09;27
without_mirrors;2020-05-10;11
with_mirrors;2020-05-10;29
without_mirrors;2020-05-11;18
with_mirrors;2020-05-11;33
with_mirrors;2020-05-12;26
without_mirrors;2020-05-12;18
without_mirrors;2020-05-13;47
with_mirrors;2020-05-13;224
with_mirrors;2020-05-14;227
without_mirrors;2020-05-14;35
with_mirrors;2020-05-15;213
without_mirrors;2020-05-15;32
without_mirrors;2020-05-16;6
with_mirrors;2020-05-16;124
without_mirrors;2020-05-17;9
with_mirrors;2020-05-17;39
with_mirrors;2020-05-18;74
without_mirrors;2020-05-18;25
with_mirrors;2020-05-19;54
without_mirrors;2020-05-19;25
with_mirrors;2020-05-20;35
without_mirrors;2020-05-20;15
with_mirrors;2020-05-21;32
without_mirrors;2020-05-21;10
with_mirrors;2020-05-22;51
without_mirrors;2020-05-22;5
with_mirrors;2020-05-23;28
without_mirrors;2020-05-23;2
without_mirrors;2020-05-24;5
with_mirrors;2020-05-24;63
with_mirrors;2020-05-25;31
without_mirrors;2020-05-25;17
without_mirrors;2020-05-26;22
with_mirrors;2020-05-26;28
with_mirrors;2020-05-27;16
without_mirrors;2020-05-27;12
without_mirrors;2020-05-28;16
with_mirrors;2020-05-28;58
with_mirrors;2020-05-29;36
without_mirrors;2020-05-29;10
without_mirrors;2020-05-30;4
with_mirrors;2020-05-30;13
without_mirrors;2020-05-31;53
with_mirrors;2020-05-31;183
with_mirrors;2020-06-01;142
without_mirrors;2020-06-01;22
with_mirrors;2020-06-02;77
without_mirrors;2020-06-02;18
with_mirrors;2020-06-03;76
without_mirrors;2020-06-03;8
without_mirrors;2020-06-04;45
with_mirrors;2020-06-04;97
without_mirrors;2020-06-05;79
with_mirrors;2020-06-05;114
with_mirrors;2020-06-06;85
without_mirrors;2020-06-06;59
with_mirrors;2020-06-07;101
without_mirrors;2020-06-07;34
with_mirrors;2020-06-08;39
without_mirrors;2020-06-08;5
without_mirrors;2020-06-09;24
with_mirrors;2020-06-09;67
without_mirrors;2020-06-10;22
with_mirrors;2020-06-10;24
with_mirrors;2020-06-11;29
without_mirrors;2020-06-11;15
without_mirrors;2020-06-12;17
with_mirrors;2020-06-12;49
without_mirrors;2020-06-13;6
with_mirrors;2020-06-13;24
with_mirrors;2020-06-14;3
without_mirrors;2020-06-14;1
with_mirrors;2020-06-15;31
without_mirrors;2020-06-15;17
without_mirrors;2020-06-16;36
with_mirrors;2020-06-16;42
without_mirrors;2020-06-17;14
with_mirrors;2020-06-17;56
without_mirrors;2020-06-18;9
with_mirrors;2020-06-18;9
with_mirrors;2020-06-19;33
without_mirrors;2020-06-19;11
without_mirrors;2020-06-20;6
with_mirrors;2020-06-20;28
without_mirrors;2020-06-21;4
with_mirrors;2020-06-21;17
with_mirrors;2020-06-22;36
without_mirrors;2020-06-22;21
with_mirrors;2020-06-23;39
without_mirrors;2020-06-23;15
with_mirrors;2020-06-24;28
without_mirrors;2020-06-24;9
with_mirrors;2020-06-25;15
without_mirrors;2020-06-25;3
with_mirrors;2020-06-26;31
without_mirrors;2020-06-26;9
with_mirrors;2020-06-27;13
without_mirrors;2020-06-27;3
without_mirrors;2020-06-28;6
with_mirrors;2020-06-28;6
with_mirrors;2020-06-29;46
without_mirrors;2020-06-29;12
with_mirrors;2020-06-30;58
without_mirrors;2020-06-30;25
without_mirrors;2020-07-01;12
with_mirrors;2020-07-01;56
without_mirrors;2020-07-02;4
with_mirrors;2020-07-02;17
without_mirrors;2020-07-03;6
with_mirrors;2020-07-03;22
without_mirrors;2020-07-04;4
with_mirrors;2020-07-04;14
without_mirrors;2020-07-05;3
with_mirrors;2020-07-05;3
without_mirrors;2020-07-06;3
with_mirrors;2020-07-06;13
with_mirrors;2020-07-07;17
without_mirrors;2020-07-07;10
without_mirrors;2020-07-08;5
with_mirrors;2020-07-08;30
without_mirrors;2020-07-09;5
with_mirrors;2020-07-09;20
with_mirrors;2020-07-10;81
without_mirrors;2020-07-10;19
with_mirrors;2020-07-11;472
without_mirrors;2020-07-11;73
without_mirrors;2020-07-12;36
with_mirrors;2020-07-12;385
without_mirrors;2020-07-13;24
with_mirrors;2020-07-13;223
with_mirrors;2020-07-14;741
without_mirrors;2020-07-14;87
with_mirrors;2020-07-15;843
without_mirrors;2020-07-15;71
without_mirrors;2020-07-16;42
with_mirrors;2020-07-16;419
with_mirrors;2020-07-17;384
without_mirrors;2020-07-17;69
without_mirrors;2020-07-18;5
with_mirrors;2020-07-18;191
without_mirrors;2020-07-19;8
with_mirrors;2020-07-19;98
with_mirrors;2020-07-20;201
without_mirrors;2020-07-20;99
with_mirrors;2020-07-21;95
without_mirrors;2020-07-21;65
without_mirrors;2020-07-22;96
with_mirrors;2020-07-22;219
without_mirrors;2020-07-23;56
with_mirrors;2020-07-23;135
with_mirrors;2020-07-24;209
without_mirrors;2020-07-24;127
with_mirrors;2020-07-25;117
without_mirrors;2020-07-25;24
without_mirrors;2020-07-26;73
with_mirrors;2020-07-26;133
without_mirrors;2020-07-27;116
with_mirrors;2020-07-27;157
without_mirrors;2020-07-28;55
with_mirrors;2020-07-28;161
without_mirrors;2020-07-29;35
with_mirrors;2020-07-29;94
without_mirrors;2020-07-30;49
with_mirrors;2020-07-30;96
without_mirrors;2020-07-31;32
with_mirrors;2020-07-31;85
with_mirrors;2020-08-01;142
without_mirrors;2020-08-01;6
with_mirrors;2020-08-02;155
without_mirrors;2020-08-02;11
without_mirrors;2020-08-03;30
with_mirrors;2020-08-03;102
with_mirrors;2020-08-04;94
without_mirrors;2020-08-04;37
without_mirrors;2020-08-05;54
with_mirrors;2020-08-05;54
without_mirrors;2020-08-06;62
with_mirrors;2020-08-06;181
without_mirrors;2020-08-07;5
with_mirrors;2020-08-07;47
without_mirrors;2020-08-08;16
with_mirrors;2020-08-08;48
with_mirrors;2020-08-09;98
without_mirrors;2020-08-09;66
without_mirrors;2020-08-10;47
with_mirrors;2020-08-10;47
without_mirrors;2020-08-11;31
with_mirrors;2020-08-11;99
without_mirrors;2020-08-12;58
with_mirrors;2020-08-12;158
with_mirrors;2020-08-13;95
without_mirrors;2020-08-13;19
with_mirrors;2020-08-14;122
without_mirrors;2020-08-14;17
with_mirrors;2020-08-15;69
without_mirrors;2020-08-15;23
with_mirrors;2020-08-16;66
without_mirrors;2020-08-16;2
with_mirrors;2020-08-17;37
without_mirrors;2020-08-17;37
without_mirrors;2020-08-18;47
with_mirrors;2020-08-18;85
without_mirrors;2020-08-19;41
with_mirrors;2020-08-19;91
without_mirrors;2020-08-20;23
with_mirrors;2020-08-20;29
without_mirrors;2020-08-21;23
with_mirrors;2020-08-21;87
with_mirrors;2020-08-22;200
without_mirrors;2020-08-22;14
with_mirrors;2020-08-23;99
without_mirrors;2020-08-23;3
with_mirrors;2020-08-24;80
without_mirrors;2020-08-24;80
with_mirrors;2020-08-25;171
without_mirrors;2020-08-25;90
without_mirrors;2020-08-26;41
with_mirrors;2020-08-26;41
with_mirrors;2020-08-27;76
without_mirrors;2020-08-27;43
with_mirrors;2020-08-28;140
without_mirrors;2020-08-28;47
without_mirrors;2020-08-29;16
with_mirrors;2020-08-29;121
with_mirrors;2020-08-30;145
without_mirrors;2020-08-30;17
without_mirrors;2020-08-31;102
with_mirrors;2020-08-31;144
without_mirrors;2020-09-01;40
with_mirrors;2020-09-01;127
with_mirrors;2020-09-02;145
without_mirrors;2020-09-02;145
without_mirrors;2020-09-03;50
with_mirrors;2020-09-03;50
with_mirrors;2020-09-04;238
without_mirrors;2020-09-04;72
with_mirrors;2020-09-05;44
without_mirrors;2020-09-05;12
without_mirrors;2020-09-06;24
with_mirrors;2020-09-06;24
without_mirrors;2020-09-07;105
with_mirrors;2020-09-07;111
with_mirrors;2020-09-08;113
without_mirrors;2020-09-08;55
with_mirrors;2020-09-09;67
without_mirrors;2020-09-09;49
without_mirrors;2020-09-10;43
with_mirrors;2020-09-10;69
without_mirrors;2020-09-11;74
with_mirrors;2020-09-11;139
with_mirrors;2020-09-12;94
without_mirrors;2020-09-12;8
without_mirrors;2020-09-13;2
with_mirrors;2020-09-13;40
with_mirrors;2020-09-14;73
without_mirrors;2020-09-14;19
with_mirrors;2020-09-15;57
without_mirrors;2020-09-15;19
without_mirrors;2020-09-16;36
with_mirrors;2020-09-16;82
without_mirrors;2020-09-17;46
with_mirrors;2020-09-17;65
without_mirrors;2020-09-18;51
with_mirrors;2020-09-18;62
without_mirrors;2020-09-19;13
with_mirrors;2020-09-19;109
without_mirrors;2020-09-20;4
with_mirrors;2020-09-20;68
with_mirrors;2020-09-21;27
without_mirrors;2020-09-21;18
with_mirrors;2020-09-22;53
without_mirrors;2020-09-22;14
without_mirrors;2020-09-23;31
with_mirrors;2020-09-23;35
with_mirrors;2020-09-24;18
without_mirrors;2020-09-24;18
