category;date;downloads
without_mirrors;2020-05-01;1
with_mirrors;2020-05-01;3
without_mirrors;2020-05-02;1
with_mirrors;2020-05-02;3
without_mirrors;2020-05-03;2
with_mirrors;2020-05-03;4
with_mirrors;2020-05-04;2
without_mirrors;2020-05-06;2
with_mirrors;2020-05-06;2
with_mirrors;2020-05-07;2
with_mirrors;2020-05-08;3
with_mirrors;2020-05-09;6
with_mirrors;2020-05-10;4
with_mirrors;2020-05-11;1
with_mirrors;2020-05-12;4
with_mirrors;2020-05-13;6
with_mirrors;2020-05-14;8
with_mirrors;2020-05-15;2
without_mirrors;2020-05-15;2
with_mirrors;2020-05-16;6
without_mirrors;2020-05-16;1
with_mirrors;2020-05-17;12
without_mirrors;2020-05-18;1
with_mirrors;2020-05-18;1
without_mirrors;2020-05-19;3
with_mirrors;2020-05-19;11
without_mirrors;2020-05-20;2
with_mirrors;2020-05-20;7
without_mirrors;2020-05-21;1
with_mirrors;2020-05-21;7
with_mirrors;2020-05-22;2
with_mirrors;2020-05-23;6
without_mirrors;2020-05-23;2
with_mirrors;2020-05-24;8
with_mirrors;2020-05-25;6
with_mirrors;2020-05-26;1
without_mirrors;2020-05-26;1
without_mirrors;2020-05-27;1
with_mirrors;2020-05-27;3
without_mirrors;2020-05-28;1
with_mirrors;2020-05-28;6
with_mirrors;2020-05-29;4
with_mirrors;2020-05-30;2
with_mirrors;2020-05-31;6
without_mirrors;2020-05-31;2
with_mirrors;2020-06-01;4
without_mirrors;2020-06-01;1
with_mirrors;2020-06-03;2
with_mirrors;2020-06-04;12
with_mirrors;2020-06-05;2
with_mirrors;2020-06-06;6
with_mirrors;2020-06-07;5
with_mirrors;2020-06-08;6
with_mirrors;2020-06-09;3
without_mirrors;2020-06-09;1
without_mirrors;2020-06-10;3
with_mirrors;2020-06-10;5
with_mirrors;2020-06-11;2
without_mirrors;2020-06-11;2
with_mirrors;2020-06-12;2
with_mirrors;2020-06-13;4
with_mirrors;2020-06-14;4
with_mirrors;2020-06-15;1
without_mirrors;2020-06-15;1
without_mirrors;2020-06-16;1
with_mirrors;2020-06-16;1
with_mirrors;2020-06-17;11
without_mirrors;2020-06-17;1
with_mirrors;2020-06-18;4
with_mirrors;2020-06-19;4
with_mirrors;2020-06-20;4
with_mirrors;2020-06-22;5
without_mirrors;2020-06-22;3
with_mirrors;2020-06-23;9
without_mirrors;2020-06-23;3
with_mirrors;2020-06-24;3
with_mirrors;2020-06-25;5
without_mirrors;2020-06-25;1
with_mirrors;2020-06-26;6
with_mirrors;2020-06-27;2
with_mirrors;2020-06-28;2
with_mirrors;2020-06-29;6
with_mirrors;2020-06-30;2
with_mirrors;2020-07-01;4
without_mirrors;2020-07-01;1
with_mirrors;2020-07-03;15
with_mirrors;2020-07-04;3
without_mirrors;2020-07-04;1
with_mirrors;2020-07-06;5
without_mirrors;2020-07-06;1
with_mirrors;2020-07-07;2
with_mirrors;2020-07-08;2
with_mirrors;2020-07-09;3
without_mirrors;2020-07-09;1
with_mirrors;2020-07-10;4
with_mirrors;2020-07-11;4
with_mirrors;2020-07-12;4
with_mirrors;2020-07-13;2
with_mirrors;2020-07-14;5
without_mirrors;2020-07-14;1
with_mirrors;2020-07-15;6
without_mirrors;2020-07-15;3
with_mirrors;2020-07-16;3
with_mirrors;2020-07-17;3
without_mirrors;2020-07-18;1
with_mirrors;2020-07-18;3
with_mirrors;2020-07-19;4
with_mirrors;2020-07-21;6
without_mirrors;2020-07-21;2
with_mirrors;2020-07-22;3
without_mirrors;2020-07-22;1
with_mirrors;2020-07-24;2
with_mirrors;2020-07-25;4
without_mirrors;2020-07-25;1
with_mirrors;2020-07-26;2
with_mirrors;2020-07-27;8
with_mirrors;2020-07-28;4
without_mirrors;2020-07-28;1
without_mirrors;2020-07-29;3
with_mirrors;2020-07-29;7
with_mirrors;2020-07-30;5
without_mirrors;2020-07-30;1
without_mirrors;2020-07-31;2
with_mirrors;2020-07-31;5
without_mirrors;2020-08-01;1
with_mirrors;2020-08-01;5
without_mirrors;2020-08-02;2
with_mirrors;2020-08-02;8
with_mirrors;2020-08-03;5
with_mirrors;2020-08-04;4
with_mirrors;2020-08-05;2
without_mirrors;2020-08-05;2
with_mirrors;2020-08-06;7
without_mirrors;2020-08-06;2
with_mirrors;2020-08-07;11
without_mirrors;2020-08-07;4
with_mirrors;2020-08-09;3
without_mirrors;2020-08-10;1
with_mirrors;2020-08-10;1
with_mirrors;2020-08-11;2
with_mirrors;2020-08-12;4
with_mirrors;2020-08-13;10
without_mirrors;2020-08-13;2
with_mirrors;2020-08-14;3
with_mirrors;2020-08-15;9
without_mirrors;2020-08-15;1
with_mirrors;2020-08-18;2
without_mirrors;2020-08-19;1
with_mirrors;2020-08-19;2
without_mirrors;2020-08-21;1
with_mirrors;2020-08-21;1
with_mirrors;2020-08-22;10
with_mirrors;2020-08-23;2
with_mirrors;2020-08-24;6
without_mirrors;2020-08-24;3
with_mirrors;2020-08-25;6
without_mirrors;2020-08-25;2
with_mirrors;2020-08-27;1
with_mirrors;2020-08-28;4
without_mirrors;2020-08-28;1
with_mirrors;2020-08-29;2
with_mirrors;2020-08-30;12
without_mirrors;2020-08-30;4
with_mirrors;2020-08-31;4
with_mirrors;2020-09-01;4
with_mirrors;2020-09-02;4
without_mirrors;2020-09-02;1
without_mirrors;2020-09-03;1
with_mirrors;2020-09-03;1
with_mirrors;2020-09-04;6
without_mirrors;2020-09-04;2
without_mirrors;2020-09-05;2
with_mirrors;2020-09-05;8
with_mirrors;2020-09-06;4
without_mirrors;2020-09-06;2
with_mirrors;2020-09-07;6
without_mirrors;2020-09-07;4
with_mirrors;2020-09-08;2
without_mirrors;2020-09-08;2
with_mirrors;2020-09-09;4
without_mirrors;2020-09-09;3
with_mirrors;2020-09-10;1
with_mirrors;2020-09-11;5
without_mirrors;2020-09-11;2
with_mirrors;2020-09-12;5
without_mirrors;2020-09-12;1
with_mirrors;2020-09-13;4
with_mirrors;2020-09-14;2
with_mirrors;2020-09-15;3
