category;date;downloads
with_mirrors;2020-05-01;35
without_mirrors;2020-05-01;7
with_mirrors;2020-05-02;42
without_mirrors;2020-05-02;8
with_mirrors;2020-05-03;9
without_mirrors;2020-05-03;5
with_mirrors;2020-05-04;19
without_mirrors;2020-05-04;7
with_mirrors;2020-05-05;17
without_mirrors;2020-05-05;2
with_mirrors;2020-05-06;13
with_mirrors;2020-05-07;12
without_mirrors;2020-05-07;4
without_mirrors;2020-05-08;2
with_mirrors;2020-05-08;16
without_mirrors;2020-05-09;2
with_mirrors;2020-05-09;10
with_mirrors;2020-05-10;14
without_mirrors;2020-05-10;2
without_mirrors;2020-05-11;7
with_mirrors;2020-05-11;18
with_mirrors;2020-05-12;9
without_mirrors;2020-05-12;3
with_mirrors;2020-05-13;28
without_mirrors;2020-05-13;8
with_mirrors;2020-05-14;22
without_mirrors;2020-05-14;8
with_mirrors;2020-05-15;10
without_mirrors;2020-05-15;6
with_mirrors;2020-05-16;13
without_mirrors;2020-05-16;1
with_mirrors;2020-05-17;35
without_mirrors;2020-05-18;3
with_mirrors;2020-05-18;11
with_mirrors;2020-05-19;21
without_mirrors;2020-05-19;2
without_mirrors;2020-05-20;14
with_mirrors;2020-05-20;28
with_mirrors;2020-05-21;32
without_mirrors;2020-05-21;13
with_mirrors;2020-05-22;10
without_mirrors;2020-05-22;6
with_mirrors;2020-05-23;30
without_mirrors;2020-05-23;10
without_mirrors;2020-05-24;14
with_mirrors;2020-05-24;26
with_mirrors;2020-05-25;12
with_mirrors;2020-05-26;11
without_mirrors;2020-05-26;7
with_mirrors;2020-05-27;12
without_mirrors;2020-05-27;3
with_mirrors;2020-05-28;13
without_mirrors;2020-05-28;1
with_mirrors;2020-05-29;18
without_mirrors;2020-05-29;6
with_mirrors;2020-05-30;8
with_mirrors;2020-05-31;1
with_mirrors;2020-06-01;11
without_mirrors;2020-06-01;5
without_mirrors;2020-06-02;1
with_mirrors;2020-06-02;5
with_mirrors;2020-06-03;15
without_mirrors;2020-06-03;7
without_mirrors;2020-06-04;7
with_mirrors;2020-06-04;29
without_mirrors;2020-06-05;1
with_mirrors;2020-06-05;13
with_mirrors;2020-06-06;17
without_mirrors;2020-06-06;3
without_mirrors;2020-06-07;1
with_mirrors;2020-06-07;6
with_mirrors;2020-06-08;26
without_mirrors;2020-06-08;7
without_mirrors;2020-06-09;7
with_mirrors;2020-06-09;15
with_mirrors;2020-06-10;2
without_mirrors;2020-06-10;2
with_mirrors;2020-06-11;8
without_mirrors;2020-06-11;4
with_mirrors;2020-06-12;7
without_mirrors;2020-06-12;3
with_mirrors;2020-06-13;8
with_mirrors;2020-06-14;7
without_mirrors;2020-06-14;1
without_mirrors;2020-06-15;1
with_mirrors;2020-06-15;5
with_mirrors;2020-06-16;17
without_mirrors;2020-06-16;9
with_mirrors;2020-06-17;14
without_mirrors;2020-06-17;1
with_mirrors;2020-06-18;2
without_mirrors;2020-06-19;1
with_mirrors;2020-06-19;13
with_mirrors;2020-06-20;9
without_mirrors;2020-06-20;1
with_mirrors;2020-06-21;1
without_mirrors;2020-06-21;1
without_mirrors;2020-06-22;5
with_mirrors;2020-06-22;9
with_mirrors;2020-06-23;13
without_mirrors;2020-06-23;7
with_mirrors;2020-06-24;21
without_mirrors;2020-06-24;1
without_mirrors;2020-06-25;2
with_mirrors;2020-06-25;6
with_mirrors;2020-06-26;12
with_mirrors;2020-06-27;8
with_mirrors;2020-06-28;4
with_mirrors;2020-06-29;8
with_mirrors;2020-06-30;9
with_mirrors;2020-07-01;6
with_mirrors;2020-07-03;28
without_mirrors;2020-07-04;1
with_mirrors;2020-07-04;5
with_mirrors;2020-07-06;6
without_mirrors;2020-07-06;1
with_mirrors;2020-07-07;4
with_mirrors;2020-07-08;9
without_mirrors;2020-07-08;1
with_mirrors;2020-07-09;4
with_mirrors;2020-07-11;16
with_mirrors;2020-07-12;8
with_mirrors;2020-07-14;18
without_mirrors;2020-07-14;3
without_mirrors;2020-07-15;2
with_mirrors;2020-07-15;8
without_mirrors;2020-07-16;1
with_mirrors;2020-07-16;3
with_mirrors;2020-07-17;7
without_mirrors;2020-07-18;1
with_mirrors;2020-07-18;9
with_mirrors;2020-07-19;12
with_mirrors;2020-07-20;1
with_mirrors;2020-07-21;12
without_mirrors;2020-07-21;5
without_mirrors;2020-07-22;30
with_mirrors;2020-07-22;35
with_mirrors;2020-07-23;5
without_mirrors;2020-07-23;1
with_mirrors;2020-07-24;8
with_mirrors;2020-07-25;5
with_mirrors;2020-07-26;5
without_mirrors;2020-07-26;1
with_mirrors;2020-07-27;3
without_mirrors;2020-07-28;1
with_mirrors;2020-07-28;12
without_mirrors;2020-07-29;2
with_mirrors;2020-07-29;7
without_mirrors;2020-07-30;1
with_mirrors;2020-07-30;9
with_mirrors;2020-07-31;5
without_mirrors;2020-07-31;2
with_mirrors;2020-08-01;5
without_mirrors;2020-08-01;1
with_mirrors;2020-08-02;20
with_mirrors;2020-08-03;6
with_mirrors;2020-08-04;6
without_mirrors;2020-08-05;2
with_mirrors;2020-08-05;2
with_mirrors;2020-08-06;7
without_mirrors;2020-08-06;3
with_mirrors;2020-08-07;20
without_mirrors;2020-08-07;5
with_mirrors;2020-08-08;5
without_mirrors;2020-08-08;1
with_mirrors;2020-08-09;4
with_mirrors;2020-08-10;2
with_mirrors;2020-08-11;6
without_mirrors;2020-08-11;1
with_mirrors;2020-08-12;11
with_mirrors;2020-08-13;14
without_mirrors;2020-08-14;1
with_mirrors;2020-08-14;8
with_mirrors;2020-08-15;16
without_mirrors;2020-08-16;1
with_mirrors;2020-08-16;1
with_mirrors;2020-08-17;1
without_mirrors;2020-08-17;1
without_mirrors;2020-08-18;1
with_mirrors;2020-08-18;9
with_mirrors;2020-08-19;4
without_mirrors;2020-08-19;2
without_mirrors;2020-08-20;1
with_mirrors;2020-08-20;4
with_mirrors;2020-08-21;3
without_mirrors;2020-08-21;3
with_mirrors;2020-08-22;21
without_mirrors;2020-08-22;1
with_mirrors;2020-08-23;8
without_mirrors;2020-08-24;4
with_mirrors;2020-08-24;12
without_mirrors;2020-08-25;3
with_mirrors;2020-08-25;12
without_mirrors;2020-08-26;1
with_mirrors;2020-08-26;1
with_mirrors;2020-08-27;5
without_mirrors;2020-08-27;3
without_mirrors;2020-08-28;2
with_mirrors;2020-08-28;12
without_mirrors;2020-08-29;2
with_mirrors;2020-08-29;6
with_mirrors;2020-08-30;20
with_mirrors;2020-08-31;4
with_mirrors;2020-09-01;21
without_mirrors;2020-09-01;2
without_mirrors;2020-09-02;2
with_mirrors;2020-09-02;5
with_mirrors;2020-09-03;3
without_mirrors;2020-09-03;3
without_mirrors;2020-09-04;4
with_mirrors;2020-09-04;12
without_mirrors;2020-09-05;1
with_mirrors;2020-09-05;13
with_mirrors;2020-09-06;8
with_mirrors;2020-09-07;11
without_mirrors;2020-09-07;7
without_mirrors;2020-09-09;4
with_mirrors;2020-09-09;8
with_mirrors;2020-09-10;11
without_mirrors;2020-09-10;3
with_mirrors;2020-09-11;9
