category;date;downloads
with_mirrors;2020-05-01;281
without_mirrors;2020-05-01;85
with_mirrors;2020-05-02;198
without_mirrors;2020-05-02;86
with_mirrors;2020-05-03;83
without_mirrors;2020-05-03;51
without_mirrors;2020-05-04;59
with_mirrors;2020-05-04;97
with_mirrors;2020-05-05;56
without_mirrors;2020-05-05;25
with_mirrors;2020-05-06;8
with_mirrors;2020-05-07;38
without_mirrors;2020-05-07;25
without_mirrors;2020-05-08;72
with_mirrors;2020-05-08;126
with_mirrors;2020-05-09;189
without_mirrors;2020-05-09;61
without_mirrors;2020-05-10;41
with_mirrors;2020-05-10;163
with_mirrors;2020-05-11;167
without_mirrors;2020-05-11;17
with_mirrors;2020-05-12;26
without_mirrors;2020-05-12;16
without_mirrors;2020-05-13;33
with_mirrors;2020-05-13;157
without_mirrors;2020-05-14;4
with_mirrors;2020-05-14;77
without_mirrors;2020-05-15;33
with_mirrors;2020-05-15;141
without_mirrors;2020-05-16;52
with_mirrors;2020-05-16;89
without_mirrors;2020-05-17;10
with_mirrors;2020-05-17;210
without_mirrors;2020-05-18;26
with_mirrors;2020-05-18;74
without_mirrors;2020-05-19;34
with_mirrors;2020-05-19;123
with_mirrors;2020-05-20;47
without_mirrors;2020-05-20;2
without_mirrors;2020-05-21;26
with_mirrors;2020-05-21;104
with_mirrors;2020-05-22;65
without_mirrors;2020-05-22;1
with_mirrors;2020-05-23;37
without_mirrors;2020-05-23;1
with_mirrors;2020-05-24;40
without_mirrors;2020-05-24;2
with_mirrors;2020-05-25;84
with_mirrors;2020-05-26;52
without_mirrors;2020-05-26;10
with_mirrors;2020-05-27;52
with_mirrors;2020-05-28;65
without_mirrors;2020-05-28;1
without_mirrors;2020-05-29;2
with_mirrors;2020-05-29;80
with_mirrors;2020-05-30;78
without_mirrors;2020-05-31;28
with_mirrors;2020-05-31;55
with_mirrors;2020-06-01;32
without_mirrors;2020-06-01;1
without_mirrors;2020-06-03;2
with_mirrors;2020-06-03;67
with_mirrors;2020-06-04;88
with_mirrors;2020-06-05;52
with_mirrors;2020-06-06;41
without_mirrors;2020-06-06;1
with_mirrors;2020-06-07;7
with_mirrors;2020-06-08;52
without_mirrors;2020-06-09;2
with_mirrors;2020-06-09;52
without_mirrors;2020-06-10;3
with_mirrors;2020-06-10;23
with_mirrors;2020-06-11;1
without_mirrors;2020-06-11;1
without_mirrors;2020-06-12;2
with_mirrors;2020-06-12;28
with_mirrors;2020-06-13;27
without_mirrors;2020-06-13;1
with_mirrors;2020-06-14;80
without_mirrors;2020-06-15;2
with_mirrors;2020-06-15;2
with_mirrors;2020-06-16;23
without_mirrors;2020-06-16;15
with_mirrors;2020-06-17;35
without_mirrors;2020-06-17;1
with_mirrors;2020-06-18;24
without_mirrors;2020-06-18;1
with_mirrors;2020-06-19;26
with_mirrors;2020-06-20;26
with_mirrors;2020-06-21;26
without_mirrors;2020-06-22;2
with_mirrors;2020-06-22;38
with_mirrors;2020-06-23;8
without_mirrors;2020-06-23;4
with_mirrors;2020-06-24;60
with_mirrors;2020-06-25;39
without_mirrors;2020-06-25;13
with_mirrors;2020-06-26;53
without_mirrors;2020-06-26;1
with_mirrors;2020-06-27;52
with_mirrors;2020-06-29;10
without_mirrors;2020-06-29;4
without_mirrors;2020-06-30;1
with_mirrors;2020-06-30;65
with_mirrors;2020-07-01;4
with_mirrors;2020-07-02;24
with_mirrors;2020-07-03;58
with_mirrors;2020-07-04;58
with_mirrors;2020-07-05;26
with_mirrors;2020-07-06;1
without_mirrors;2020-07-06;1
without_mirrors;2020-07-07;1
with_mirrors;2020-07-07;1
without_mirrors;2020-07-08;1
with_mirrors;2020-07-08;57
with_mirrors;2020-07-09;52
with_mirrors;2020-07-11;16
with_mirrors;2020-07-13;52
without_mirrors;2020-07-14;1
with_mirrors;2020-07-14;75
without_mirrors;2020-07-15;4
with_mirrors;2020-07-15;50
with_mirrors;2020-07-16;47
with_mirrors;2020-07-18;63
without_mirrors;2020-07-18;1
with_mirrors;2020-07-19;26
with_mirrors;2020-07-20;53
without_mirrors;2020-07-21;2
with_mirrors;2020-07-21;28
without_mirrors;2020-07-22;1
with_mirrors;2020-07-22;12
without_mirrors;2020-07-23;1
with_mirrors;2020-07-23;2
with_mirrors;2020-07-24;51
with_mirrors;2020-07-25;1
with_mirrors;2020-07-26;32
with_mirrors;2020-07-27;4
without_mirrors;2020-07-28;1
with_mirrors;2020-07-28;56
with_mirrors;2020-07-29;69
without_mirrors;2020-07-29;1
with_mirrors;2020-07-30;27
without_mirrors;2020-07-30;1
without_mirrors;2020-07-31;1
with_mirrors;2020-07-31;59
with_mirrors;2020-08-01;28
without_mirrors;2020-08-01;2
with_mirrors;2020-08-02;144
without_mirrors;2020-08-02;1
with_mirrors;2020-08-03;48
without_mirrors;2020-08-04;2
with_mirrors;2020-08-04;36
with_mirrors;2020-08-05;8
without_mirrors;2020-08-05;3
with_mirrors;2020-08-06;4
without_mirrors;2020-08-06;4
with_mirrors;2020-08-07;90
without_mirrors;2020-08-07;25
without_mirrors;2020-08-08;2
with_mirrors;2020-08-08;54
with_mirrors;2020-08-09;52
without_mirrors;2020-08-10;2
