category;date;downloads
without_mirrors;2020-05-01;2
with_mirrors;2020-05-01;6
without_mirrors;2020-05-03;3
with_mirrors;2020-05-03;7
with_mirrors;2020-05-05;3
with_mirrors;2020-05-06;2
without_mirrors;2020-05-06;2
with_mirrors;2020-05-07;4
with_mirrors;2020-05-09;1
with_mirrors;2020-05-10;2
with_mirrors;2020-05-11;1
with_mirrors;2020-05-12;2
without_mirrors;2020-05-12;1
with_mirrors;2020-05-14;6
with_mirrors;2020-05-15;5
with_mirrors;2020-05-17;4
with_mirrors;2020-05-18;4
without_mirrors;2020-05-18;1
without_mirrors;2020-05-19;2
with_mirrors;2020-05-19;6
with_mirrors;2020-05-20;5
without_mirrors;2020-05-20;3
with_mirrors;2020-05-21;4
with_mirrors;2020-05-22;2
with_mirrors;2020-05-23;1
without_mirrors;2020-05-23;1
with_mirrors;2020-05-25;4
with_mirrors;2020-05-27;11
without_mirrors;2020-05-27;3
with_mirrors;2020-05-28;4
without_mirrors;2020-05-29;1
with_mirrors;2020-05-29;1
without_mirrors;2020-05-30;3
with_mirrors;2020-05-30;7
with_mirrors;2020-05-31;3
without_mirrors;2020-05-31;2
with_mirrors;2020-06-01;2
with_mirrors;2020-06-02;4
with_mirrors;2020-06-04;6
with_mirrors;2020-06-06;6
with_mirrors;2020-06-08;4
with_mirrors;2020-06-09;7
without_mirrors;2020-06-09;3
without_mirrors;2020-06-10;2
with_mirrors;2020-06-10;6
with_mirrors;2020-06-11;2
with_mirrors;2020-06-12;2
with_mirrors;2020-06-14;2
without_mirrors;2020-06-15;1
with_mirrors;2020-06-15;3
without_mirrors;2020-06-16;1
with_mirrors;2020-06-16;3
without_mirrors;2020-06-17;1
with_mirrors;2020-06-17;6
with_mirrors;2020-06-18;4
with_mirrors;2020-06-19;2
with_mirrors;2020-06-20;4
with_mirrors;2020-06-21;2
without_mirrors;2020-06-22;2
with_mirrors;2020-06-22;2
with_mirrors;2020-06-23;5
without_mirrors;2020-06-23;1
with_mirrors;2020-06-27;2
with_mirrors;2020-06-28;2
with_mirrors;2020-06-30;4
with_mirrors;2020-07-01;2
with_mirrors;2020-07-02;4
without_mirrors;2020-07-02;2
with_mirrors;2020-07-04;2
with_mirrors;2020-07-05;4
with_mirrors;2020-07-06;5
without_mirrors;2020-07-06;1
with_mirrors;2020-07-07;2
with_mirrors;2020-07-08;2
with_mirrors;2020-07-09;10
with_mirrors;2020-07-10;6
without_mirrors;2020-07-10;4
with_mirrors;2020-07-11;2
without_mirrors;2020-07-14;1
with_mirrors;2020-07-14;3
with_mirrors;2020-07-15;6
without_mirrors;2020-07-15;2
with_mirrors;2020-07-16;2
without_mirrors;2020-07-16;1
with_mirrors;2020-07-18;6
without_mirrors;2020-07-19;1
with_mirrors;2020-07-19;3
with_mirrors;2020-07-21;3
without_mirrors;2020-07-21;1
without_mirrors;2020-07-22;2
with_mirrors;2020-07-22;2
with_mirrors;2020-07-24;2
without_mirrors;2020-07-25;2
with_mirrors;2020-07-25;5
with_mirrors;2020-07-28;2
with_mirrors;2020-07-29;1
without_mirrors;2020-07-29;1
with_mirrors;2020-07-30;4
without_mirrors;2020-07-30;1
with_mirrors;2020-07-31;2
without_mirrors;2020-07-31;2
with_mirrors;2020-08-01;5
without_mirrors;2020-08-01;1
with_mirrors;2020-08-03;3
with_mirrors;2020-08-04;4
with_mirrors;2020-08-05;3
without_mirrors;2020-08-05;1
without_mirrors;2020-08-06;2
with_mirrors;2020-08-06;6
without_mirrors;2020-08-07;2
with_mirrors;2020-08-07;6
without_mirrors;2020-08-08;1
with_mirrors;2020-08-08;7
with_mirrors;2020-08-09;1
without_mirrors;2020-08-09;1
with_mirrors;2020-08-10;7
without_mirrors;2020-08-10;2
with_mirrors;2020-08-11;3
with_mirrors;2020-08-12;2
with_mirrors;2020-08-13;4
without_mirrors;2020-08-14;1
with_mirrors;2020-08-14;7
with_mirrors;2020-08-15;4
with_mirrors;2020-08-16;6
with_mirrors;2020-08-17;2
with_mirrors;2020-08-18;2
with_mirrors;2020-08-19;4
without_mirrors;2020-08-19;2
with_mirrors;2020-08-20;4
without_mirrors;2020-08-20;2
without_mirrors;2020-08-21;1
with_mirrors;2020-08-21;1
with_mirrors;2020-08-22;2
with_mirrors;2020-08-24;2
without_mirrors;2020-08-24;2
without_mirrors;2020-08-25;1
with_mirrors;2020-08-25;3
with_mirrors;2020-08-26;2
with_mirrors;2020-08-27;3
without_mirrors;2020-08-27;1
with_mirrors;2020-08-28;2
with_mirrors;2020-08-29;4
without_mirrors;2020-08-30;1
with_mirrors;2020-08-30;5
with_mirrors;2020-09-01;5
with_mirrors;2020-09-02;7
without_mirrors;2020-09-02;1
without_mirrors;2020-09-03;2
with_mirrors;2020-09-03;2
without_mirrors;2020-09-04;2
with_mirrors;2020-09-04;4
with_mirrors;2020-09-05;1
without_mirrors;2020-09-05;1
with_mirrors;2020-09-06;2
without_mirrors;2020-09-07;3
with_mirrors;2020-09-07;3
without_mirrors;2020-09-08;1
with_mirrors;2020-09-08;6
without_mirrors;2020-09-09;1
with_mirrors;2020-09-09;2
with_mirrors;2020-09-10;3
without_mirrors;2020-09-10;3
with_mirrors;2020-09-11;4
with_mirrors;2020-09-12;5
without_mirrors;2020-09-12;1
with_mirrors;2020-09-13;5
without_mirrors;2020-09-13;1
