category;date;downloads
with_mirrors;2022-03-17;921
without_mirrors;2022-03-17;911
without_mirrors;2022-03-18;738
with_mirrors;2022-03-18;751
with_mirrors;2022-03-19;570
without_mirrors;2022-03-19;554
with_mirrors;2022-03-20;615
without_mirrors;2022-03-20;605
without_mirrors;2022-03-21;954
with_mirrors;2022-03-21;974
with_mirrors;2022-03-22;1031
without_mirrors;2022-03-22;1026
without_mirrors;2022-03-23;1175
with_mirrors;2022-03-23;1190
without_mirrors;2022-03-24;1138
with_mirrors;2022-03-24;1161
without_mirrors;2022-03-25;969
with_mirrors;2022-03-25;978
without_mirrors;2022-03-26;637
with_mirrors;2022-03-26;645
with_mirrors;2022-03-27;733
without_mirrors;2022-03-27;733
without_mirrors;2022-03-28;1212
with_mirrors;2022-03-28;1217
with_mirrors;2022-03-29;1114
without_mirrors;2022-03-29;1113
without_mirrors;2022-03-30;1193
with_mirrors;2022-03-30;1205
without_mirrors;2022-03-31;1114
with_mirrors;2022-03-31;1133
without_mirrors;2022-04-01;811
with_mirrors;2022-04-01;813
with_mirrors;2022-04-02;716
without_mirrors;2022-04-02;716
without_mirrors;2022-04-03;752
with_mirrors;2022-04-03;756
with_mirrors;2022-04-04;996
without_mirrors;2022-04-04;996
without_mirrors;2022-04-05;969
with_mirrors;2022-04-05;984
with_mirrors;2022-04-06;769
without_mirrors;2022-04-06;755
with_mirrors;2022-04-07;913
without_mirrors;2022-04-07;905
with_mirrors;2022-04-08;1114
without_mirrors;2022-04-08;1106
without_mirrors;2022-04-09;650
with_mirrors;2022-04-09;658
without_mirrors;2022-04-10;746
with_mirrors;2022-04-10;747
without_mirrors;2022-04-11;1251
with_mirrors;2022-04-11;1252
with_mirrors;2022-04-12;1059
without_mirrors;2022-04-12;1059
with_mirrors;2022-04-13;937
without_mirrors;2022-04-13;935
with_mirrors;2022-04-14;904
without_mirrors;2022-04-14;900
with_mirrors;2022-04-15;788
without_mirrors;2022-04-15;773
without_mirrors;2022-04-16;613
with_mirrors;2022-04-16;613
without_mirrors;2022-04-17;621
with_mirrors;2022-04-17;621
without_mirrors;2022-04-18;1087
with_mirrors;2022-04-18;1087
without_mirrors;2022-04-19;1027
with_mirrors;2022-04-19;1051
with_mirrors;2022-04-20;1163
without_mirrors;2022-04-20;1163
with_mirrors;2022-04-21;886
without_mirrors;2022-04-21;868
without_mirrors;2022-04-22;738
with_mirrors;2022-04-22;741
without_mirrors;2022-04-23;621
with_mirrors;2022-04-23;625
without_mirrors;2022-04-24;691
with_mirrors;2022-04-24;691
with_mirrors;2022-04-25;1075
without_mirrors;2022-04-25;1066
with_mirrors;2022-04-26;1473
without_mirrors;2022-04-26;1468
without_mirrors;2022-04-27;1230
with_mirrors;2022-04-27;1246
without_mirrors;2022-04-28;997
with_mirrors;2022-04-28;998
without_mirrors;2022-04-29;1035
with_mirrors;2022-04-29;1039
with_mirrors;2022-04-30;646
without_mirrors;2022-04-30;629
without_mirrors;2022-05-01;561
with_mirrors;2022-05-01;561
with_mirrors;2022-05-02;980
without_mirrors;2022-05-02;980
without_mirrors;2022-05-03;1031
with_mirrors;2022-05-03;1032
without_mirrors;2022-05-04;1110
with_mirrors;2022-05-04;1126
with_mirrors;2022-05-05;996
without_mirrors;2022-05-05;986
with_mirrors;2022-05-06;808
without_mirrors;2022-05-06;797
without_mirrors;2022-05-07;616
with_mirrors;2022-05-07;626
without_mirrors;2022-05-08;602
with_mirrors;2022-05-08;602
without_mirrors;2022-05-09;1078
with_mirrors;2022-05-09;1078
with_mirrors;2022-05-10;902
without_mirrors;2022-05-10;897
without_mirrors;2022-05-11;1020
with_mirrors;2022-05-11;1023
with_mirrors;2022-05-12;1030
without_mirrors;2022-05-12;1025
without_mirrors;2022-05-13;939
with_mirrors;2022-05-13;955
without_mirrors;2022-05-14;560
with_mirrors;2022-05-14;564
without_mirrors;2022-05-15;659
with_mirrors;2022-05-15;659
with_mirrors;2022-05-16;1228
without_mirrors;2022-05-16;1221
without_mirrors;2022-05-17;1067
with_mirrors;2022-05-17;1076
without_mirrors;2022-05-18;1101
with_mirrors;2022-05-18;1105
without_mirrors;2022-05-19;940
with_mirrors;2022-05-19;945
without_mirrors;2022-05-20;878
with_mirrors;2022-05-20;882
without_mirrors;2022-05-21;621
with_mirrors;2022-05-21;631
without_mirrors;2022-05-22;663
with_mirrors;2022-05-22;663
