category;date;downloads
with_mirrors;2021-09-14;695
without_mirrors;2021-09-14;317
without_mirrors;2021-09-15;287
with_mirrors;2021-09-15;411
without_mirrors;2021-09-16;309
with_mirrors;2021-09-16;504
without_mirrors;2021-09-17;150
with_mirrors;2021-09-17;344
with_mirrors;2021-09-18;91
without_mirrors;2021-09-18;82
without_mirrors;2021-09-19;87
with_mirrors;2021-09-19;159
without_mirrors;2021-09-20;251
with_mirrors;2021-09-20;319
without_mirrors;2021-09-21;171
with_mirrors;2021-09-21;180
without_mirrors;2021-09-22;136
with_mirrors;2021-09-22;157
without_mirrors;2021-09-23;189
with_mirrors;2021-09-23;257
with_mirrors;2021-09-24;317
without_mirrors;2021-09-24;135
without_mirrors;2021-09-25;70
with_mirrors;2021-09-25;239
without_mirrors;2021-09-26;93
with_mirrors;2021-09-26;112
without_mirrors;2021-09-27;168
with_mirrors;2021-09-27;315
with_mirrors;2021-09-28;451
without_mirrors;2021-09-28;257
without_mirrors;2021-09-29;229
with_mirrors;2021-09-29;245
with_mirrors;2021-09-30;334
without_mirrors;2021-09-30;219
without_mirrors;2021-10-01;205
with_mirrors;2021-10-01;250
without_mirrors;2021-10-02;178
with_mirrors;2021-10-02;180
without_mirrors;2021-10-03;120
with_mirrors;2021-10-03;152
with_mirrors;2021-10-04;363
without_mirrors;2021-10-04;285
without_mirrors;2021-10-05;196
with_mirrors;2021-10-05;209
with_mirrors;2021-10-06;309
without_mirrors;2021-10-06;276
without_mirrors;2021-10-07;204
with_mirrors;2021-10-07;207
with_mirrors;2021-10-08;373
without_mirrors;2021-10-08;231
with_mirrors;2021-10-09;289
without_mirrors;2021-10-09;231
with_mirrors;2021-10-10;155
without_mirrors;2021-10-10;143
with_mirrors;2021-10-11;250
without_mirrors;2021-10-11;170
with_mirrors;2021-10-12;471
without_mirrors;2021-10-12;390
with_mirrors;2021-10-13;374
without_mirrors;2021-10-13;284
without_mirrors;2021-10-14;344
with_mirrors;2021-10-14;490
with_mirrors;2021-10-15;524
without_mirrors;2021-10-15;262
without_mirrors;2021-10-16;241
with_mirrors;2021-10-16;373
with_mirrors;2021-10-17;77
without_mirrors;2021-10-17;65
without_mirrors;2021-10-18;299
with_mirrors;2021-10-18;367
without_mirrors;2021-10-19;302
with_mirrors;2021-10-19;303
with_mirrors;2021-10-20;458
without_mirrors;2021-10-20;260
with_mirrors;2021-10-21;234
without_mirrors;2021-10-21;229
without_mirrors;2021-10-22;385
with_mirrors;2021-10-22;600
without_mirrors;2021-10-23;173
with_mirrors;2021-10-23;335
with_mirrors;2021-10-24;234
without_mirrors;2021-10-24;138
with_mirrors;2021-10-25;251
without_mirrors;2021-10-25;195
with_mirrors;2021-10-26;313
without_mirrors;2021-10-26;281
without_mirrors;2021-10-27;341
with_mirrors;2021-10-27;571
with_mirrors;2021-10-28;337
without_mirrors;2021-10-28;218
with_mirrors;2021-10-29;201
without_mirrors;2021-10-29;177
without_mirrors;2021-10-30;122
with_mirrors;2021-10-30;164
without_mirrors;2021-10-31;117
with_mirrors;2021-10-31;123
without_mirrors;2021-11-01;235
with_mirrors;2021-11-01;373
without_mirrors;2021-11-02;252
with_mirrors;2021-11-02;332
