category;date;downloads
without_mirrors;2021-09-14;39
with_mirrors;2021-09-14;107
without_mirrors;2021-09-15;21
with_mirrors;2021-09-15;71
with_mirrors;2021-09-16;68
without_mirrors;2021-09-16;35
without_mirrors;2021-09-17;69
with_mirrors;2021-09-17;117
with_mirrors;2021-09-18;55
without_mirrors;2021-09-18;23
with_mirrors;2021-09-19;13
without_mirrors;2021-09-19;7
with_mirrors;2021-09-20;28
without_mirrors;2021-09-20;12
with_mirrors;2021-09-21;64
without_mirrors;2021-09-21;44
without_mirrors;2021-09-22;29
with_mirrors;2021-09-22;37
with_mirrors;2021-09-23;82
without_mirrors;2021-09-23;66
with_mirrors;2021-09-24;6
without_mirrors;2021-09-24;6
with_mirrors;2021-09-25;35
without_mirrors;2021-09-25;3
with_mirrors;2021-09-26;19
without_mirrors;2021-09-26;3
with_mirrors;2021-09-27;57
without_mirrors;2021-09-27;22
without_mirrors;2021-09-28;57
with_mirrors;2021-09-28;121
with_mirrors;2021-09-29;35
without_mirrors;2021-09-29;19
without_mirrors;2021-09-30;37
with_mirrors;2021-09-30;53
without_mirrors;2021-10-01;56
with_mirrors;2021-10-01;72
without_mirrors;2021-10-02;3
with_mirrors;2021-10-02;7
without_mirrors;2021-10-03;14
with_mirrors;2021-10-03;28
with_mirrors;2021-10-04;42
without_mirrors;2021-10-04;22
with_mirrors;2021-10-05;25
without_mirrors;2021-10-05;24
without_mirrors;2021-10-06;23
with_mirrors;2021-10-06;24
with_mirrors;2021-10-07;35
without_mirrors;2021-10-07;26
with_mirrors;2021-10-08;24
without_mirrors;2021-10-08;16
with_mirrors;2021-10-09;2
without_mirrors;2021-10-09;2
with_mirrors;2021-10-10;1
without_mirrors;2021-10-10;1
with_mirrors;2021-10-11;33
without_mirrors;2021-10-11;17
without_mirrors;2021-10-12;22
with_mirrors;2021-10-12;22
without_mirrors;2021-10-13;15
with_mirrors;2021-10-13;21
without_mirrors;2021-10-14;39
with_mirrors;2021-10-14;57
without_mirrors;2021-10-15;19
with_mirrors;2021-10-15;70
with_mirrors;2021-10-16;129
without_mirrors;2021-10-16;31
without_mirrors;2021-10-17;56
with_mirrors;2021-10-17;299
without_mirrors;2021-10-18;22
with_mirrors;2021-10-18;118
with_mirrors;2021-10-19;43
without_mirrors;2021-10-19;5
with_mirrors;2021-10-20;68
without_mirrors;2021-10-20;20
with_mirrors;2021-10-21;35
without_mirrors;2021-10-21;29
without_mirrors;2021-10-22;15
with_mirrors;2021-10-22;20
with_mirrors;2021-10-23;44
without_mirrors;2021-10-23;16
without_mirrors;2021-10-24;22
with_mirrors;2021-10-24;30
without_mirrors;2021-10-25;30
with_mirrors;2021-10-25;48
without_mirrors;2021-10-26;42
with_mirrors;2021-10-26;68
with_mirrors;2021-10-27;115
without_mirrors;2021-10-27;81
with_mirrors;2021-10-28;133
without_mirrors;2021-10-28;83
with_mirrors;2021-10-29;49
without_mirrors;2021-10-29;44
with_mirrors;2021-10-30;34
without_mirrors;2021-10-30;6
with_mirrors;2021-10-31;12
without_mirrors;2021-10-31;6
without_mirrors;2021-11-01;18
with_mirrors;2021-11-01;23
with_mirrors;2021-11-02;77
without_mirrors;2021-11-02;23
without_mirrors;2021-11-03;20
with_mirrors;2021-11-03;42
with_mirrors;2021-11-04;19
without_mirrors;2021-11-04;13
without_mirrors;2021-11-05;54
with_mirrors;2021-11-05;87
without_mirrors;2021-11-06;3
with_mirrors;2021-11-06;3
without_mirrors;2021-11-07;5
with_mirrors;2021-11-07;29
with_mirrors;2021-11-08;22
without_mirrors;2021-11-08;18
without_mirrors;2021-11-09;87
with_mirrors;2021-11-09;154
without_mirrors;2021-11-10;64
with_mirrors;2021-11-10;159
with_mirrors;2021-11-11;49
without_mirrors;2021-11-11;11
with_mirrors;2021-11-12;36
without_mirrors;2021-11-12;21
with_mirrors;2021-11-13;73
without_mirrors;2021-11-13;13
without_mirrors;2021-11-14;13
with_mirrors;2021-11-14;20
with_mirrors;2021-11-15;52
without_mirrors;2021-11-15;42
without_mirrors;2021-11-16;22
with_mirrors;2021-11-16;27
with_mirrors;2021-11-17;71
without_mirrors;2021-11-17;9
without_mirrors;2021-11-18;15
with_mirrors;2021-11-18;23
without_mirrors;2021-11-19;39
with_mirrors;2021-11-19;123
without_mirrors;2021-11-20;8
with_mirrors;2021-11-20;33
without_mirrors;2021-11-21;5
with_mirrors;2021-11-21;35
without_mirrors;2021-11-22;17
with_mirrors;2021-11-22;57
without_mirrors;2021-11-23;56
with_mirrors;2021-11-23;118
without_mirrors;2021-11-24;49
with_mirrors;2021-11-24;58
without_mirrors;2021-11-25;47
with_mirrors;2021-11-25;69
with_mirrors;2021-11-26;326
without_mirrors;2021-11-26;111
without_mirrors;2021-11-27;30
with_mirrors;2021-11-27;168
without_mirrors;2021-11-28;37
with_mirrors;2021-11-28;69
with_mirrors;2021-11-29;159
without_mirrors;2021-11-29;56
without_mirrors;2021-11-30;94
with_mirrors;2021-11-30;258
without_mirrors;2021-12-01;89
with_mirrors;2021-12-01;245
with_mirrors;2021-12-02;77
without_mirrors;2021-12-02;46
without_mirrors;2021-12-03;32
with_mirrors;2021-12-03;129
without_mirrors;2021-12-04;69
with_mirrors;2021-12-04;110
with_mirrors;2021-12-05;23
without_mirrors;2021-12-05;5
without_mirrors;2021-12-06;38
with_mirrors;2021-12-06;52
with_mirrors;2021-12-07;125
without_mirrors;2021-12-07;84
with_mirrors;2021-12-08;112
without_mirrors;2021-12-08;66
without_mirrors;2021-12-09;97
with_mirrors;2021-12-09;157
without_mirrors;2021-12-10;115
with_mirrors;2021-12-10;290
without_mirrors;2021-12-11;16
with_mirrors;2021-12-11;34
without_mirrors;2021-12-12;21
with_mirrors;2021-12-12;27
without_mirrors;2021-12-13;171
with_mirrors;2021-12-13;263
without_mirrors;2021-12-14;59
with_mirrors;2021-12-14;159
without_mirrors;2021-12-15;40
with_mirrors;2021-12-15;42
without_mirrors;2021-12-16;28
with_mirrors;2021-12-16;108
with_mirrors;2021-12-17;239
