category;date;downloads
with_mirrors;2021-11-08;60
without_mirrors;2021-11-08;14
with_mirrors;2021-11-09;121
without_mirrors;2021-11-09;20
with_mirrors;2021-11-10;78
without_mirrors;2021-11-10;23
without_mirrors;2021-11-11;25
with_mirrors;2021-11-11;127
with_mirrors;2021-11-12;48
without_mirrors;2021-11-12;14
without_mirrors;2021-11-13;1
with_mirrors;2021-11-13;25
with_mirrors;2021-11-14;427
without_mirrors;2021-11-14;193
with_mirrors;2021-11-15;284
without_mirrors;2021-11-15;44
with_mirrors;2021-11-16;68
without_mirrors;2021-11-16;10
with_mirrors;2021-11-17;78
without_mirrors;2021-11-17;6
with_mirrors;2021-11-18;21
without_mirrors;2021-11-18;7
with_mirrors;2021-11-19;50
without_mirrors;2021-11-19;8
without_mirrors;2021-11-20;7
with_mirrors;2021-11-20;27
with_mirrors;2021-11-21;3
without_mirrors;2021-11-21;1
with_mirrors;2021-11-22;34
without_mirrors;2021-11-22;2
without_mirrors;2021-11-23;10
with_mirrors;2021-11-23;90
with_mirrors;2021-11-24;13
without_mirrors;2021-11-24;1
with_mirrors;2021-11-25;22
without_mirrors;2021-11-26;5
with_mirrors;2021-11-26;19
with_mirrors;2021-11-27;12
without_mirrors;2021-11-28;43
with_mirrors;2021-11-28;224
without_mirrors;2021-11-29;35
with_mirrors;2021-11-29;281
without_mirrors;2021-11-30;33
with_mirrors;2021-11-30;193
without_mirrors;2021-12-01;28
with_mirrors;2021-12-01;174
without_mirrors;2021-12-02;2
with_mirrors;2021-12-02;34
with_mirrors;2021-12-03;81
without_mirrors;2021-12-03;14
without_mirrors;2021-12-04;2
with_mirrors;2021-12-04;31
without_mirrors;2021-12-05;33
with_mirrors;2021-12-05;67
with_mirrors;2021-12-06;15
without_mirrors;2021-12-06;1
without_mirrors;2021-12-07;1
with_mirrors;2021-12-07;17
with_mirrors;2021-12-08;381
without_mirrors;2021-12-08;106
with_mirrors;2021-12-09;520
without_mirrors;2021-12-09;111
without_mirrors;2021-12-10;87
with_mirrors;2021-12-10;576
without_mirrors;2021-12-11;8
with_mirrors;2021-12-11;198
with_mirrors;2021-12-12;46
without_mirrors;2021-12-12;2
with_mirrors;2021-12-13;157
without_mirrors;2021-12-13;6
without_mirrors;2021-12-14;9
with_mirrors;2021-12-14;127
without_mirrors;2021-12-15;14
with_mirrors;2021-12-15;40
without_mirrors;2021-12-16;7
with_mirrors;2021-12-16;123
with_mirrors;2021-12-17;207
without_mirrors;2021-12-17;34
with_mirrors;2021-12-18;127
without_mirrors;2021-12-18;1
with_mirrors;2021-12-19;59
without_mirrors;2021-12-19;21
with_mirrors;2021-12-20;40
without_mirrors;2021-12-20;10
without_mirrors;2021-12-21;7
with_mirrors;2021-12-21;7
without_mirrors;2021-12-22;45
with_mirrors;2021-12-22;246
without_mirrors;2021-12-23;29
with_mirrors;2021-12-23;283
without_mirrors;2021-12-24;18
with_mirrors;2021-12-24;132
without_mirrors;2021-12-25;10
with_mirrors;2021-12-25;45
with_mirrors;2021-12-26;182
without_mirrors;2021-12-26;43
with_mirrors;2021-12-27;152
without_mirrors;2021-12-27;66
without_mirrors;2021-12-28;40
with_mirrors;2021-12-28;180
with_mirrors;2021-12-29;68
without_mirrors;2021-12-29;15
with_mirrors;2021-12-30;74
without_mirrors;2021-12-30;6
without_mirrors;2021-12-31;11
with_mirrors;2021-12-31;132
with_mirrors;2022-01-01;86
without_mirrors;2022-01-01;8
with_mirrors;2022-01-02;46
without_mirrors;2022-01-02;8
without_mirrors;2022-01-03;4
with_mirrors;2022-01-03;54
without_mirrors;2022-01-04;40
with_mirrors;2022-01-04;85
without_mirrors;2022-01-05;2
with_mirrors;2022-01-05;138
without_mirrors;2022-01-06;5
with_mirrors;2022-01-06;41
with_mirrors;2022-01-07;120
without_mirrors;2022-01-07;12
with_mirrors;2022-01-08;117
without_mirrors;2022-01-08;1
without_mirrors;2022-01-09;32
with_mirrors;2022-01-09;160
without_mirrors;2022-01-10;15
with_mirrors;2022-01-10;108
without_mirrors;2022-01-11;32
with_mirrors;2022-01-11;288
with_mirrors;2022-01-12;279
without_mirrors;2022-01-12;66
with_mirrors;2022-01-13;111
without_mirrors;2022-01-13;31
without_mirrors;2022-01-14;13
with_mirrors;2022-01-14;66
with_mirrors;2022-01-15;96
without_mirrors;2022-01-15;2
without_mirrors;2022-01-16;65
with_mirrors;2022-01-16;155
with_mirrors;2022-01-17;162
without_mirrors;2022-01-17;63
without_mirrors;2022-01-18;6
with_mirrors;2022-01-18;165
without_mirrors;2022-01-19;8
with_mirrors;2022-01-19;52
with_mirrors;2022-01-20;34
without_mirrors;2022-01-20;10
with_mirrors;2022-01-21;265
without_mirrors;2022-01-21;47
without_mirrors;2022-01-22;34
with_mirrors;2022-01-22;105
without_mirrors;2022-01-23;26
with_mirrors;2022-01-23;26
without_mirrors;2022-01-24;102
with_mirrors;2022-01-24;198
without_mirrors;2022-01-25;20
with_mirrors;2022-01-25;90
with_mirrors;2022-01-26;200
without_mirrors;2022-01-26;4
with_mirrors;2022-01-27;120
without_mirrors;2022-01-27;5
with_mirrors;2022-01-28;107
without_mirrors;2022-01-28;39
with_mirrors;2022-01-29;140
without_mirrors;2022-01-29;94
with_mirrors;2022-01-30;29
without_mirrors;2022-01-30;17
without_mirrors;2022-01-31;1
with_mirrors;2022-01-31;47
without_mirrors;2022-02-01;12
with_mirrors;2022-02-01;106
without_mirrors;2022-02-02;7
with_mirrors;2022-02-02;133
with_mirrors;2022-02-03;138
without_mirrors;2022-02-03;6
without_mirrors;2022-02-04;9
with_mirrors;2022-02-04;26
with_mirrors;2022-02-05;147
without_mirrors;2022-02-05;15
with_mirrors;2022-02-06;10
without_mirrors;2022-02-06;10
without_mirrors;2022-02-07;4
with_mirrors;2022-02-07;69
without_mirrors;2022-02-08;4
with_mirrors;2022-02-08;11
with_mirrors;2022-02-09;177
without_mirrors;2022-02-09;39
without_mirrors;2022-02-10;2
with_mirrors;2022-02-10;62
without_mirrors;2022-02-11;1
with_mirrors;2022-02-11;45
with_mirrors;2022-02-12;106
with_mirrors;2022-02-13;50
without_mirrors;2022-02-13;6
with_mirrors;2022-02-14;58
without_mirrors;2022-02-14;3
with_mirrors;2022-02-15;49
without_mirrors;2022-02-15;49
without_mirrors;2022-02-16;3
with_mirrors;2022-02-16;53
without_mirrors;2022-02-17;7
with_mirrors;2022-02-17;7
with_mirrors;2022-02-18;222
without_mirrors;2022-02-18;89
without_mirrors;2022-02-19;45
with_mirrors;2022-02-19;122
with_mirrors;2022-02-20;96
without_mirrors;2022-02-20;47
with_mirrors;2022-02-21;93
without_mirrors;2022-02-21;49
without_mirrors;2022-02-22;156
with_mirrors;2022-02-22;156
without_mirrors;2022-02-23;48
with_mirrors;2022-02-23;126
without_mirrors;2022-02-24;42
with_mirrors;2022-02-24;207
with_mirrors;2022-02-25;174
without_mirrors;2022-02-25;15
without_mirrors;2022-02-26;4
with_mirrors;2022-02-26;81
without_mirrors;2022-02-27;87
with_mirrors;2022-02-27;140
with_mirrors;2022-02-28;186
without_mirrors;2022-02-28;50
without_mirrors;2022-03-01;8
with_mirrors;2022-03-01;70
without_mirrors;2022-03-02;106
with_mirrors;2022-03-02;323
with_mirrors;2022-03-03;353
without_mirrors;2022-03-03;12
with_mirrors;2022-03-04;311
without_mirrors;2022-03-04;6
with_mirrors;2022-03-05;215
without_mirrors;2022-03-05;43
without_mirrors;2022-03-06;11
with_mirrors;2022-03-06;251
without_mirrors;2022-03-07;4
with_mirrors;2022-03-07;193
without_mirrors;2022-03-08;2
with_mirrors;2022-03-08;247
without_mirrors;2022-03-09;66
with_mirrors;2022-03-09;81
without_mirrors;2022-03-10;62
with_mirrors;2022-03-10;156
with_mirrors;2022-03-11;131
without_mirrors;2022-03-11;11
without_mirrors;2022-03-12;37
with_mirrors;2022-03-12;134
without_mirrors;2022-03-13;5
with_mirrors;2022-03-13;49
