category;date;downloads
without_mirrors;2021-09-14;83
with_mirrors;2021-09-14;91
without_mirrors;2021-09-15;67
with_mirrors;2021-09-15;87
without_mirrors;2021-09-16;97
with_mirrors;2021-09-16;109
without_mirrors;2021-09-17;65
with_mirrors;2021-09-17;77
with_mirrors;2021-09-18;34
without_mirrors;2021-09-18;30
with_mirrors;2021-09-19;27
without_mirrors;2021-09-19;23
without_mirrors;2021-09-20;78
with_mirrors;2021-09-20;86
without_mirrors;2021-09-21;110
with_mirrors;2021-09-21;114
without_mirrors;2021-09-22;83
with_mirrors;2021-09-22;87
without_mirrors;2021-09-23;72
with_mirrors;2021-09-23;76
without_mirrors;2021-09-24;115
with_mirrors;2021-09-24;115
without_mirrors;2021-09-25;22
with_mirrors;2021-09-25;30
with_mirrors;2021-09-26;21
without_mirrors;2021-09-26;21
with_mirrors;2021-09-27;112
without_mirrors;2021-09-27;105
without_mirrors;2021-09-28;99
with_mirrors;2021-09-28;111
without_mirrors;2021-09-29;110
with_mirrors;2021-09-29;114
without_mirrors;2021-09-30;85
with_mirrors;2021-09-30;89
without_mirrors;2021-10-01;92
with_mirrors;2021-10-01;100
with_mirrors;2021-10-02;26
without_mirrors;2021-10-02;26
with_mirrors;2021-10-03;38
without_mirrors;2021-10-03;34
without_mirrors;2021-10-04;143
with_mirrors;2021-10-04;147
without_mirrors;2021-10-05;132
with_mirrors;2021-10-05;133
with_mirrors;2021-10-06;96
without_mirrors;2021-10-06;95
without_mirrors;2021-10-07;158
with_mirrors;2021-10-07;158
with_mirrors;2021-10-08;139
without_mirrors;2021-10-08;133
with_mirrors;2021-10-09;50
without_mirrors;2021-10-09;50
with_mirrors;2021-10-10;69
without_mirrors;2021-10-10;69
without_mirrors;2021-10-11;124
with_mirrors;2021-10-11;128
without_mirrors;2021-10-12;85
with_mirrors;2021-10-12;85
without_mirrors;2021-10-13;106
with_mirrors;2021-10-13;106
without_mirrors;2021-10-14;118
with_mirrors;2021-10-14;120
without_mirrors;2021-10-15;70
with_mirrors;2021-10-15;85
with_mirrors;2021-10-16;62
without_mirrors;2021-10-16;54
without_mirrors;2021-10-17;41
with_mirrors;2021-10-17;58
with_mirrors;2021-10-18;130
without_mirrors;2021-10-18;126
with_mirrors;2021-10-19;134
without_mirrors;2021-10-19;134
with_mirrors;2021-10-20;146
without_mirrors;2021-10-20;138
with_mirrors;2021-10-21;113
without_mirrors;2021-10-21;113
without_mirrors;2021-10-22;76
with_mirrors;2021-10-22;84
without_mirrors;2021-10-23;34
with_mirrors;2021-10-23;38
without_mirrors;2021-10-24;38
with_mirrors;2021-10-24;38
with_mirrors;2021-10-25;101
without_mirrors;2021-10-25;99
with_mirrors;2021-10-26;117
without_mirrors;2021-10-26;114
with_mirrors;2021-10-27;100
without_mirrors;2021-10-27;92
without_mirrors;2021-10-28;128
with_mirrors;2021-10-28;137
with_mirrors;2021-10-29;112
without_mirrors;2021-10-29;112
with_mirrors;2021-10-30;20
without_mirrors;2021-10-30;20
without_mirrors;2021-10-31;27
with_mirrors;2021-10-31;31
with_mirrors;2021-11-01;85
without_mirrors;2021-11-01;85
without_mirrors;2021-11-02;102
with_mirrors;2021-11-02;110
without_mirrors;2021-11-03;94
with_mirrors;2021-11-03;99
without_mirrors;2021-11-04;73
with_mirrors;2021-11-04;78
with_mirrors;2021-11-05;92
without_mirrors;2021-11-05;87
with_mirrors;2021-11-06;31
without_mirrors;2021-11-06;31
with_mirrors;2021-11-07;42
without_mirrors;2021-11-07;34
without_mirrors;2021-11-08;100
with_mirrors;2021-11-08;100
with_mirrors;2021-11-09;134
without_mirrors;2021-11-09;133
without_mirrors;2021-11-10;105
with_mirrors;2021-11-10;105
without_mirrors;2021-11-11;115
with_mirrors;2021-11-11;125
without_mirrors;2021-11-12;75
with_mirrors;2021-11-12;75
with_mirrors;2021-11-13;36
without_mirrors;2021-11-13;27
without_mirrors;2021-11-14;44
with_mirrors;2021-11-14;48
without_mirrors;2021-11-15;146
with_mirrors;2021-11-15;150
without_mirrors;2021-11-16;153
with_mirrors;2021-11-16;155
with_mirrors;2021-11-17;152
without_mirrors;2021-11-17;144
without_mirrors;2021-11-18;108
with_mirrors;2021-11-18;111
with_mirrors;2021-11-19;97
without_mirrors;2021-11-19;77
without_mirrors;2021-11-20;61
with_mirrors;2021-11-20;69
with_mirrors;2021-11-21;49
without_mirrors;2021-11-21;43
without_mirrors;2021-11-22;87
with_mirrors;2021-11-22;99
without_mirrors;2021-11-23;88
with_mirrors;2021-11-23;103
without_mirrors;2021-11-24;68
with_mirrors;2021-11-24;69
with_mirrors;2021-11-25;58
without_mirrors;2021-11-25;58
with_mirrors;2021-11-26;37
without_mirrors;2021-11-26;33
without_mirrors;2021-11-27;25
with_mirrors;2021-11-27;25
with_mirrors;2021-11-28;78
without_mirrors;2021-11-28;74
without_mirrors;2021-11-29;86
with_mirrors;2021-11-29;98
with_mirrors;2021-11-30;194
without_mirrors;2021-11-30;181
with_mirrors;2021-12-01;113
without_mirrors;2021-12-01;105
with_mirrors;2021-12-02;117
without_mirrors;2021-12-02;113
without_mirrors;2021-12-03;78
with_mirrors;2021-12-03;92
with_mirrors;2021-12-04;46
without_mirrors;2021-12-04;46
with_mirrors;2021-12-05;63
without_mirrors;2021-12-05;63
with_mirrors;2021-12-06;102
without_mirrors;2021-12-06;102
with_mirrors;2021-12-07;111
without_mirrors;2021-12-07;107
with_mirrors;2021-12-08;157
without_mirrors;2021-12-08;153
with_mirrors;2021-12-09;105
without_mirrors;2021-12-09;95
with_mirrors;2021-12-10;131
without_mirrors;2021-12-10;115
with_mirrors;2021-12-11;82
without_mirrors;2021-12-11;74
without_mirrors;2021-12-12;54
with_mirrors;2021-12-12;54
without_mirrors;2021-12-13;102
with_mirrors;2021-12-13;110
without_mirrors;2021-12-14;82
with_mirrors;2021-12-14;99
without_mirrors;2021-12-15;87
with_mirrors;2021-12-15;87
without_mirrors;2021-12-16;58
with_mirrors;2021-12-16;64
with_mirrors;2021-12-17;116
without_mirrors;2021-12-17;98
without_mirrors;2021-12-18;43
with_mirrors;2021-12-18;51
with_mirrors;2021-12-19;54
without_mirrors;2021-12-19;53
with_mirrors;2021-12-20;148
without_mirrors;2021-12-20;148
with_mirrors;2021-12-21;128
without_mirrors;2021-12-21;128
with_mirrors;2021-12-22;93
without_mirrors;2021-12-22;85
with_mirrors;2021-12-23;114
without_mirrors;2021-12-23;110
with_mirrors;2021-12-24;67
without_mirrors;2021-12-24;55
without_mirrors;2021-12-25;36
with_mirrors;2021-12-25;36
without_mirrors;2021-12-26;99
with_mirrors;2021-12-26;103
without_mirrors;2021-12-27;74
with_mirrors;2021-12-27;74
with_mirrors;2021-12-28;141
without_mirrors;2021-12-28;141
with_mirrors;2021-12-29;99
without_mirrors;2021-12-29;99
without_mirrors;2021-12-30;145
with_mirrors;2021-12-30;153
without_mirrors;2021-12-31;47
with_mirrors;2021-12-31;57
with_mirrors;2022-01-01;29
without_mirrors;2022-01-01;25
without_mirrors;2022-01-02;22
with_mirrors;2022-01-02;26
with_mirrors;2022-01-03;60
without_mirrors;2022-01-03;53
without_mirrors;2022-01-04;95
with_mirrors;2022-01-04;100
with_mirrors;2022-01-05;114
without_mirrors;2022-01-05;104
with_mirrors;2022-01-06;93
without_mirrors;2022-01-06;89
without_mirrors;2022-01-07;128
with_mirrors;2022-01-07;136
with_mirrors;2022-01-08;35
without_mirrors;2022-01-08;25
with_mirrors;2022-01-09;72
without_mirrors;2022-01-09;72
without_mirrors;2022-01-10;95
with_mirrors;2022-01-10;96
with_mirrors;2022-01-11;105
without_mirrors;2022-01-11;97
with_mirrors;2022-01-12;87
without_mirrors;2022-01-12;75
without_mirrors;2022-01-13;89
with_mirrors;2022-01-13;97
with_mirrors;2022-01-14;39
without_mirrors;2022-01-14;39
without_mirrors;2022-01-15;27
with_mirrors;2022-01-15;33
without_mirrors;2022-01-16;80
with_mirrors;2022-01-16;84
without_mirrors;2022-01-17;61
with_mirrors;2022-01-17;61
with_mirrors;2022-01-18;64
without_mirrors;2022-01-18;52
without_mirrors;2022-01-19;83
with_mirrors;2022-01-19;87
without_mirrors;2022-01-20;106
with_mirrors;2022-01-20;106
with_mirrors;2022-01-21;123
without_mirrors;2022-01-21;115
without_mirrors;2022-01-22;55
with_mirrors;2022-01-22;59
with_mirrors;2022-01-23;37
without_mirrors;2022-01-23;37
without_mirrors;2022-01-24;121
with_mirrors;2022-01-24;126
without_mirrors;2022-01-25;85
with_mirrors;2022-01-25;86
with_mirrors;2022-01-26;69
without_mirrors;2022-01-26;57
with_mirrors;2022-01-27;75
without_mirrors;2022-01-27;70
with_mirrors;2022-01-28;98
without_mirrors;2022-01-28;98
with_mirrors;2022-01-29;32
without_mirrors;2022-01-29;28
without_mirrors;2022-01-30;58
with_mirrors;2022-01-30;58
with_mirrors;2022-01-31;82
without_mirrors;2022-01-31;81
with_mirrors;2022-02-01;155
without_mirrors;2022-02-01;145
without_mirrors;2022-02-02;90
with_mirrors;2022-02-02;98
with_mirrors;2022-02-03;101
without_mirrors;2022-02-03;93
without_mirrors;2022-02-04;53
with_mirrors;2022-02-04;57
with_mirrors;2022-02-05;38
without_mirrors;2022-02-05;30
with_mirrors;2022-02-06;46
without_mirrors;2022-02-06;46
with_mirrors;2022-02-07;64
without_mirrors;2022-02-07;59
with_mirrors;2022-02-08;59
without_mirrors;2022-02-08;57
without_mirrors;2022-02-09;59
with_mirrors;2022-02-09;75
with_mirrors;2022-02-10;83
without_mirrors;2022-02-10;79
with_mirrors;2022-02-11;40
without_mirrors;2022-02-11;39
without_mirrors;2022-02-12;30
with_mirrors;2022-02-12;38
without_mirrors;2022-02-13;48
with_mirrors;2022-02-13;48
with_mirrors;2022-02-14;82
without_mirrors;2022-02-14;79
without_mirrors;2022-02-15;93
with_mirrors;2022-02-15;93
without_mirrors;2022-02-16;77
with_mirrors;2022-02-16;77
with_mirrors;2022-02-17;98
without_mirrors;2022-02-17;94
without_mirrors;2022-02-18;55
with_mirrors;2022-02-18;63
without_mirrors;2022-02-19;40
with_mirrors;2022-02-19;47
with_mirrors;2022-02-20;45
without_mirrors;2022-02-20;45
with_mirrors;2022-02-21;85
without_mirrors;2022-02-21;81
without_mirrors;2022-02-22;74
with_mirrors;2022-02-22;74
without_mirrors;2022-02-23;68
with_mirrors;2022-02-23;73
without_mirrors;2022-02-24;79
with_mirrors;2022-02-24;91
with_mirrors;2022-02-25;88
without_mirrors;2022-02-25;76
with_mirrors;2022-02-26;61
without_mirrors;2022-02-26;57
without_mirrors;2022-02-27;44
with_mirrors;2022-02-27;48
with_mirrors;2022-02-28;88
without_mirrors;2022-02-28;80
with_mirrors;2022-03-01;87
without_mirrors;2022-03-01;83
with_mirrors;2022-03-02;141
without_mirrors;2022-03-02;123
without_mirrors;2022-03-03;81
with_mirrors;2022-03-03;116
with_mirrors;2022-03-04;115
without_mirrors;2022-03-04;91
without_mirrors;2022-03-05;110
with_mirrors;2022-03-05;138
without_mirrors;2022-03-06;81
with_mirrors;2022-03-06;98
with_mirrors;2022-03-07;140
without_mirrors;2022-03-07;118
without_mirrors;2022-03-08;126
