category;date;downloads
without_mirrors;2022-04-25;1
with_mirrors;2022-04-25;5
with_mirrors;2022-04-26;12
with_mirrors;2022-04-27;10
with_mirrors;2022-04-28;1
with_mirrors;2022-04-29;4
with_mirrors;2022-05-02;4
with_mirrors;2022-05-03;4
with_mirrors;2022-05-04;4
without_mirrors;2022-05-05;4
with_mirrors;2022-05-05;16
with_mirrors;2022-05-06;24
without_mirrors;2022-05-06;4
with_mirrors;2022-05-07;8
with_mirrors;2022-05-08;4
with_mirrors;2022-05-09;6
with_mirrors;2022-05-10;16
without_mirrors;2022-05-10;8
with_mirrors;2022-05-11;2
without_mirrors;2022-05-13;1
with_mirrors;2022-05-13;5
without_mirrors;2022-05-15;2
with_mirrors;2022-05-15;10
without_mirrors;2022-05-16;1
with_mirrors;2022-05-16;9
with_mirrors;2022-05-17;12
with_mirrors;2022-05-18;7
with_mirrors;2022-05-19;1
without_mirrors;2022-05-19;1
with_mirrors;2022-05-20;4
with_mirrors;2022-05-21;6
with_mirrors;2022-05-22;10
with_mirrors;2022-05-24;4
with_mirrors;2022-05-25;4
with_mirrors;2022-05-26;8
with_mirrors;2022-05-27;2
with_mirrors;2022-05-28;12
without_mirrors;2022-05-30;2
with_mirrors;2022-05-30;8
without_mirrors;2022-05-31;5
with_mirrors;2022-05-31;11
with_mirrors;2022-06-01;1
without_mirrors;2022-06-01;1
with_mirrors;2022-06-03;10
with_mirrors;2022-06-04;6
with_mirrors;2022-06-05;8
with_mirrors;2022-06-08;7
without_mirrors;2022-06-08;1
without_mirrors;2022-06-09;2
with_mirrors;2022-06-09;6
with_mirrors;2022-06-10;12
with_mirrors;2022-06-13;4
with_mirrors;2022-06-14;4
with_mirrors;2022-06-15;4
with_mirrors;2022-06-16;4
with_mirrors;2022-06-17;8
with_mirrors;2022-06-18;4
with_mirrors;2022-06-19;9
without_mirrors;2022-06-19;1
with_mirrors;2022-06-20;3
without_mirrors;2022-06-20;1
without_mirrors;2022-06-21;2
with_mirrors;2022-06-21;10
with_mirrors;2022-06-22;9
without_mirrors;2022-06-22;1
with_mirrors;2022-06-23;13
without_mirrors;2022-06-23;1
with_mirrors;2022-06-24;8
with_mirrors;2022-06-25;12
with_mirrors;2022-06-26;2
with_mirrors;2022-06-28;1
with_mirrors;2022-06-29;8
with_mirrors;2022-06-30;4
with_mirrors;2022-07-01;5
without_mirrors;2022-07-01;1
with_mirrors;2022-07-02;4
with_mirrors;2022-07-03;2
without_mirrors;2022-07-03;1
with_mirrors;2022-07-04;1
without_mirrors;2022-07-04;1
with_mirrors;2022-07-06;4
with_mirrors;2022-07-07;4
without_mirrors;2022-07-08;4
with_mirrors;2022-07-08;8
with_mirrors;2022-07-09;8
without_mirrors;2022-07-10;3
with_mirrors;2022-07-10;3
without_mirrors;2022-07-11;2
with_mirrors;2022-07-11;2
with_mirrors;2022-07-14;1
without_mirrors;2022-07-14;1
with_mirrors;2022-07-16;8
