category;date;downloads
without_mirrors;2021-09-14;10
with_mirrors;2021-09-14;44
without_mirrors;2021-09-15;8
with_mirrors;2021-09-15;58
without_mirrors;2021-09-16;10
with_mirrors;2021-09-16;132
with_mirrors;2021-09-17;58
without_mirrors;2021-09-17;10
with_mirrors;2021-09-18;52
without_mirrors;2021-09-18;4
without_mirrors;2021-09-19;2
with_mirrors;2021-09-19;8
with_mirrors;2021-09-20;55
without_mirrors;2021-09-20;7
without_mirrors;2021-09-21;29
with_mirrors;2021-09-21;29
without_mirrors;2021-09-22;21
with_mirrors;2021-09-22;45
without_mirrors;2021-09-23;17
with_mirrors;2021-09-23;49
with_mirrors;2021-09-24;67
without_mirrors;2021-09-24;67
with_mirrors;2021-09-25;30
without_mirrors;2021-09-25;6
with_mirrors;2021-09-26;27
without_mirrors;2021-09-26;3
with_mirrors;2021-09-27;13
without_mirrors;2021-09-27;10
with_mirrors;2021-09-28;59
without_mirrors;2021-09-28;11
without_mirrors;2021-09-29;19
with_mirrors;2021-09-29;43
with_mirrors;2021-09-30;12
without_mirrors;2021-09-30;2
without_mirrors;2021-10-01;7
with_mirrors;2021-10-01;13
with_mirrors;2021-10-02;59
without_mirrors;2021-10-02;1
without_mirrors;2021-10-03;4
with_mirrors;2021-10-03;24
without_mirrors;2021-10-04;23
with_mirrors;2021-10-04;47
with_mirrors;2021-10-05;32
without_mirrors;2021-10-05;7
with_mirrors;2021-10-06;2
with_mirrors;2021-10-07;6
without_mirrors;2021-10-07;6
with_mirrors;2021-10-08;11
without_mirrors;2021-10-08;3
without_mirrors;2021-10-09;1
with_mirrors;2021-10-09;1
with_mirrors;2021-10-10;3
without_mirrors;2021-10-10;3
with_mirrors;2021-10-11;30
without_mirrors;2021-10-11;6
with_mirrors;2021-10-12;1
without_mirrors;2021-10-12;1
with_mirrors;2021-10-13;30
without_mirrors;2021-10-13;6
with_mirrors;2021-10-14;8
without_mirrors;2021-10-14;6
without_mirrors;2021-10-15;2
with_mirrors;2021-10-15;26
with_mirrors;2021-10-16;32
without_mirrors;2021-10-16;2
with_mirrors;2021-10-17;31
without_mirrors;2021-10-17;2
without_mirrors;2021-10-18;4
with_mirrors;2021-10-18;4
without_mirrors;2021-10-19;2
with_mirrors;2021-10-19;50
without_mirrors;2021-10-20;8
with_mirrors;2021-10-20;56
with_mirrors;2021-10-21;28
without_mirrors;2021-10-21;3
with_mirrors;2021-10-22;13
without_mirrors;2021-10-22;3
without_mirrors;2021-10-23;2
with_mirrors;2021-10-23;26
with_mirrors;2021-10-24;50
without_mirrors;2021-10-24;2
without_mirrors;2021-10-25;10
with_mirrors;2021-10-25;22
with_mirrors;2021-10-26;9
without_mirrors;2021-10-26;7
without_mirrors;2021-10-27;30
with_mirrors;2021-10-27;60
without_mirrors;2021-10-28;6
with_mirrors;2021-10-28;30
with_mirrors;2021-10-29;4
without_mirrors;2021-10-29;4
with_mirrors;2021-10-30;12
without_mirrors;2021-10-30;2
with_mirrors;2021-10-31;2
without_mirrors;2021-10-31;2
with_mirrors;2021-11-01;13
without_mirrors;2021-11-01;6
without_mirrors;2021-11-02;1
with_mirrors;2021-11-02;31
with_mirrors;2021-11-03;38
without_mirrors;2021-11-03;4
without_mirrors;2021-11-04;5
with_mirrors;2021-11-04;21
without_mirrors;2021-11-05;2
with_mirrors;2021-11-05;12
with_mirrors;2021-11-06;2
without_mirrors;2021-11-06;2
with_mirrors;2021-11-07;44
