category;date;downloads
without_mirrors;2021-09-14;316
with_mirrors;2021-09-14;322
with_mirrors;2021-09-15;396
without_mirrors;2021-09-15;286
with_mirrors;2021-09-16;418
without_mirrors;2021-09-16;310
without_mirrors;2021-09-17;149
with_mirrors;2021-09-17;221
without_mirrors;2021-09-18;83
with_mirrors;2021-09-18;191
with_mirrors;2021-09-19;124
without_mirrors;2021-09-19;88
without_mirrors;2021-09-20;132
with_mirrors;2021-09-20;210
without_mirrors;2021-09-21;152
with_mirrors;2021-09-21;191
with_mirrors;2021-09-22;174
without_mirrors;2021-09-22;173
with_mirrors;2021-09-23;272
without_mirrors;2021-09-23;228
with_mirrors;2021-09-24;106
without_mirrors;2021-09-24;106
with_mirrors;2021-09-25;102
without_mirrors;2021-09-25;66
with_mirrors;2021-09-26;126
without_mirrors;2021-09-26;88
without_mirrors;2021-09-27;171
with_mirrors;2021-09-27;174
without_mirrors;2021-09-28;257
with_mirrors;2021-09-28;293
without_mirrors;2021-09-29;232
with_mirrors;2021-09-29;376
without_mirrors;2021-09-30;218
with_mirrors;2021-09-30;244
without_mirrors;2021-10-01;203
with_mirrors;2021-10-01;215
with_mirrors;2021-10-02;223
without_mirrors;2021-10-02;179
without_mirrors;2021-10-03;121
with_mirrors;2021-10-03;167
without_mirrors;2021-10-04;265
with_mirrors;2021-10-04;271
with_mirrors;2021-10-05;232
without_mirrors;2021-10-05;195
with_mirrors;2021-10-06;275
without_mirrors;2021-10-06;274
with_mirrors;2021-10-07;205
without_mirrors;2021-10-07;200
with_mirrors;2021-10-08;202
without_mirrors;2021-10-08;194
with_mirrors;2021-10-09;227
without_mirrors;2021-10-09;227
with_mirrors;2021-10-10;146
without_mirrors;2021-10-10;146
with_mirrors;2021-10-11;207
without_mirrors;2021-10-11;171
without_mirrors;2021-10-12;385
with_mirrors;2021-10-12;385
without_mirrors;2021-10-13;257
with_mirrors;2021-10-13;293
without_mirrors;2021-10-14;345
with_mirrors;2021-10-14;345
with_mirrors;2021-10-15;263
without_mirrors;2021-10-15;260
without_mirrors;2021-10-16;243
with_mirrors;2021-10-16;345
with_mirrors;2021-10-17;100
without_mirrors;2021-10-17;64
without_mirrors;2021-10-18;299
with_mirrors;2021-10-18;299
with_mirrors;2021-10-19;335
without_mirrors;2021-10-19;298
without_mirrors;2021-10-20;262
with_mirrors;2021-10-20;298
with_mirrors;2021-10-21;306
without_mirrors;2021-10-21;234
with_mirrors;2021-10-22;319
without_mirrors;2021-10-22;319
with_mirrors;2021-10-23;161
without_mirrors;2021-10-23;161
with_mirrors;2021-10-24;174
without_mirrors;2021-10-24;138
without_mirrors;2021-10-25;196
with_mirrors;2021-10-25;234
with_mirrors;2021-10-26;260
without_mirrors;2021-10-26;258
with_mirrors;2021-10-27;313
without_mirrors;2021-10-27;307
without_mirrors;2021-10-28;208
with_mirrors;2021-10-28;280
with_mirrors;2021-10-29;162
without_mirrors;2021-10-29;162
without_mirrors;2021-10-30;117
with_mirrors;2021-10-30;121
without_mirrors;2021-10-31;114
with_mirrors;2021-10-31;114
without_mirrors;2021-11-01;220
with_mirrors;2021-11-01;227
without_mirrors;2021-11-02;249
with_mirrors;2021-11-02;291
without_mirrors;2021-11-03;247
with_mirrors;2021-11-03;283
with_mirrors;2021-11-04;225
without_mirrors;2021-11-04;216
with_mirrors;2021-11-05;207
without_mirrors;2021-11-05;197
without_mirrors;2021-11-06;116
with_mirrors;2021-11-06;116
without_mirrors;2021-11-07;106
with_mirrors;2021-11-07;110
without_mirrors;2021-11-08;268
with_mirrors;2021-11-08;306
without_mirrors;2021-11-09;408
with_mirrors;2021-11-09;408
without_mirrors;2021-11-10;489
with_mirrors;2021-11-10;490
with_mirrors;2021-11-11;590
without_mirrors;2021-11-11;582
with_mirrors;2021-11-12;434
without_mirrors;2021-11-12;428
without_mirrors;2021-11-13;168
with_mirrors;2021-11-13;205
with_mirrors;2021-11-14;169
without_mirrors;2021-11-14;127
with_mirrors;2021-11-15;396
without_mirrors;2021-11-15;392
with_mirrors;2021-11-16;434
without_mirrors;2021-11-16;432
with_mirrors;2021-11-17;370
without_mirrors;2021-11-17;296
with_mirrors;2021-11-18;325
without_mirrors;2021-11-18;323
without_mirrors;2021-11-19;215
with_mirrors;2021-11-19;257
without_mirrors;2021-11-20;111
with_mirrors;2021-11-20;184
without_mirrors;2021-11-21;143
with_mirrors;2021-11-21;179
with_mirrors;2021-11-22;364
without_mirrors;2021-11-22;312
with_mirrors;2021-11-23;379
without_mirrors;2021-11-23;356
without_mirrors;2021-11-24;137
with_mirrors;2021-11-24;241
without_mirrors;2021-11-25;113
with_mirrors;2021-11-25;117
with_mirrors;2021-11-26;179
without_mirrors;2021-11-26;138
with_mirrors;2021-11-27;115
without_mirrors;2021-11-27;114
with_mirrors;2021-11-28;211
without_mirrors;2021-11-28;169
without_mirrors;2021-11-29;252
with_mirrors;2021-11-29;300
without_mirrors;2021-11-30;262
with_mirrors;2021-11-30;316
with_mirrors;2021-12-01;461
without_mirrors;2021-12-01;387
with_mirrors;2021-12-02;331
without_mirrors;2021-12-02;291
without_mirrors;2021-12-03;214
with_mirrors;2021-12-03;370
with_mirrors;2021-12-04;254
without_mirrors;2021-12-04;122
with_mirrors;2021-12-05;177
without_mirrors;2021-12-05;157
without_mirrors;2021-12-06;193
with_mirrors;2021-12-06;209
with_mirrors;2021-12-07;272
without_mirrors;2021-12-07;230
with_mirrors;2021-12-08;224
without_mirrors;2021-12-08;174
with_mirrors;2021-12-09;404
