category;date;downloads
with_mirrors;2021-09-14;310
without_mirrors;2021-09-14;266
without_mirrors;2021-09-15;263
with_mirrors;2021-09-15;417
without_mirrors;2021-09-16;222
with_mirrors;2021-09-16;336
with_mirrors;2021-09-17;176
without_mirrors;2021-09-17;170
with_mirrors;2021-09-18;208
without_mirrors;2021-09-18;56
without_mirrors;2021-09-19;67
with_mirrors;2021-09-19;105
without_mirrors;2021-09-20;161
with_mirrors;2021-09-20;205
without_mirrors;2021-09-21;213
with_mirrors;2021-09-21;253
without_mirrors;2021-09-22;224
with_mirrors;2021-09-22;224
with_mirrors;2021-09-23;216
without_mirrors;2021-09-23;170
without_mirrors;2021-09-24;135
with_mirrors;2021-09-24;135
without_mirrors;2021-09-25;127
with_mirrors;2021-09-25;165
without_mirrors;2021-09-26;58
with_mirrors;2021-09-26;96
without_mirrors;2021-09-27;186
with_mirrors;2021-09-27;189
with_mirrors;2021-09-28;205
without_mirrors;2021-09-28;167
with_mirrors;2021-09-29;273
without_mirrors;2021-09-29;159
without_mirrors;2021-09-30;212
with_mirrors;2021-09-30;226
with_mirrors;2021-10-01;325
without_mirrors;2021-10-01;212
with_mirrors;2021-10-02;269
without_mirrors;2021-10-02;171
with_mirrors;2021-10-03;203
without_mirrors;2021-10-03;138
without_mirrors;2021-10-04;195
with_mirrors;2021-10-04;223
without_mirrors;2021-10-05;271
with_mirrors;2021-10-05;319
with_mirrors;2021-10-06;293
without_mirrors;2021-10-06;289
without_mirrors;2021-10-07;213
with_mirrors;2021-10-07;223
with_mirrors;2021-10-08;134
without_mirrors;2021-10-08;119
with_mirrors;2021-10-09;91
without_mirrors;2021-10-09;85
with_mirrors;2021-10-10;101
without_mirrors;2021-10-10;99
with_mirrors;2021-10-11;265
without_mirrors;2021-10-11;218
with_mirrors;2021-10-12;259
without_mirrors;2021-10-12;253
with_mirrors;2021-10-13;158
without_mirrors;2021-10-13;151
without_mirrors;2021-10-14;198
with_mirrors;2021-10-14;202
without_mirrors;2021-10-15;102
with_mirrors;2021-10-15;107
with_mirrors;2021-10-16;233
without_mirrors;2021-10-16;75
without_mirrors;2021-10-17;87
with_mirrors;2021-10-17;134
without_mirrors;2021-10-18;211
with_mirrors;2021-10-18;213
with_mirrors;2021-10-19;233
without_mirrors;2021-10-19;188
with_mirrors;2021-10-20;178
without_mirrors;2021-10-20;134
without_mirrors;2021-10-21;122
with_mirrors;2021-10-21;163
without_mirrors;2021-10-22;166
with_mirrors;2021-10-22;207
with_mirrors;2021-10-23;97
