category;date;downloads
with_mirrors;2021-09-14;4
with_mirrors;2021-09-15;4
with_mirrors;2021-09-16;8
without_mirrors;2021-09-16;2
without_mirrors;2021-09-18;4
with_mirrors;2021-09-18;8
with_mirrors;2021-09-19;6
with_mirrors;2021-09-20;4
with_mirrors;2021-09-21;2
without_mirrors;2021-09-22;1
with_mirrors;2021-09-22;1
with_mirrors;2021-09-23;2
with_mirrors;2021-09-24;2
with_mirrors;2021-09-25;2
with_mirrors;2021-09-26;2
with_mirrors;2021-09-27;5
with_mirrors;2021-09-28;3
without_mirrors;2021-09-28;1
with_mirrors;2021-09-29;2
with_mirrors;2021-09-30;2
without_mirrors;2021-10-01;1
with_mirrors;2021-10-01;7
with_mirrors;2021-10-04;4
with_mirrors;2021-10-05;1
with_mirrors;2021-10-06;4
with_mirrors;2021-10-07;1
without_mirrors;2021-10-07;1
with_mirrors;2021-10-08;2
with_mirrors;2021-10-09;3
without_mirrors;2021-10-09;1
with_mirrors;2021-10-11;2
with_mirrors;2021-10-13;1
without_mirrors;2021-10-13;1
with_mirrors;2021-10-14;2
with_mirrors;2021-10-15;2
with_mirrors;2021-10-16;5
with_mirrors;2021-10-17;4
without_mirrors;2021-10-19;2
with_mirrors;2021-10-19;2
with_mirrors;2021-10-20;8
without_mirrors;2021-10-20;4
with_mirrors;2021-10-21;4
without_mirrors;2021-10-21;2
without_mirrors;2021-10-22;1
with_mirrors;2021-10-22;3
without_mirrors;2021-10-23;1
with_mirrors;2021-10-23;3
with_mirrors;2021-10-25;3
with_mirrors;2021-10-26;2
with_mirrors;2021-10-27;3
without_mirrors;2021-10-27;3
without_mirrors;2021-10-28;1
with_mirrors;2021-10-28;5
without_mirrors;2021-10-29;1
with_mirrors;2021-10-29;3
without_mirrors;2021-10-30;2
with_mirrors;2021-10-30;2
with_mirrors;2021-10-31;2
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;3
with_mirrors;2021-11-02;3
without_mirrors;2021-11-02;1
with_mirrors;2021-11-03;1
with_mirrors;2021-11-04;4
without_mirrors;2021-11-04;2
with_mirrors;2021-11-05;2
with_mirrors;2021-11-06;1
without_mirrors;2021-11-06;1
with_mirrors;2021-11-08;6
without_mirrors;2021-11-08;2
with_mirrors;2021-11-09;2
without_mirrors;2021-11-09;2
with_mirrors;2021-11-10;2
with_mirrors;2021-11-11;2
with_mirrors;2021-11-12;2
with_mirrors;2021-11-14;4
with_mirrors;2021-11-15;6
with_mirrors;2021-11-16;6
without_mirrors;2021-11-16;4
with_mirrors;2021-11-17;2
with_mirrors;2021-11-18;5
without_mirrors;2021-11-18;1
with_mirrors;2021-11-19;6
without_mirrors;2021-11-19;2
without_mirrors;2021-11-20;2
with_mirrors;2021-11-20;4
with_mirrors;2021-11-21;1
without_mirrors;2021-11-21;1
without_mirrors;2021-11-22;1
with_mirrors;2021-11-22;5
with_mirrors;2021-11-23;2
without_mirrors;2021-11-24;2
with_mirrors;2021-11-24;9
with_mirrors;2021-11-26;5
without_mirrors;2021-11-26;2
with_mirrors;2021-11-27;2
with_mirrors;2021-11-28;4
without_mirrors;2021-11-29;2
with_mirrors;2021-11-29;6
without_mirrors;2021-11-30;2
with_mirrors;2021-11-30;4
with_mirrors;2021-12-01;6
without_mirrors;2021-12-01;2
with_mirrors;2021-12-02;4
without_mirrors;2021-12-03;1
with_mirrors;2021-12-03;1
without_mirrors;2021-12-05;1
with_mirrors;2021-12-05;1
with_mirrors;2021-12-06;8
with_mirrors;2021-12-08;2
with_mirrors;2021-12-09;4
with_mirrors;2021-12-10;7
without_mirrors;2021-12-10;1
without_mirrors;2021-12-12;1
with_mirrors;2021-12-12;1
with_mirrors;2021-12-13;2
without_mirrors;2021-12-15;1
with_mirrors;2021-12-15;5
with_mirrors;2021-12-16;11
without_mirrors;2021-12-16;6
with_mirrors;2021-12-17;7
without_mirrors;2021-12-17;3
without_mirrors;2021-12-18;1
with_mirrors;2021-12-18;7
with_mirrors;2021-12-19;2
without_mirrors;2021-12-20;1
with_mirrors;2021-12-20;3
without_mirrors;2021-12-21;1
with_mirrors;2021-12-21;3
without_mirrors;2021-12-22;1
with_mirrors;2021-12-22;3
with_mirrors;2021-12-23;5
without_mirrors;2021-12-23;3
with_mirrors;2021-12-24;10
without_mirrors;2021-12-24;2
with_mirrors;2021-12-26;1
without_mirrors;2021-12-26;1
with_mirrors;2021-12-28;1
without_mirrors;2021-12-28;1
with_mirrors;2021-12-29;2
without_mirrors;2021-12-29;2
with_mirrors;2021-12-30;2
with_mirrors;2021-12-31;2
without_mirrors;2022-01-01;1
with_mirrors;2022-01-01;5
with_mirrors;2022-01-02;2
with_mirrors;2022-01-03;6
with_mirrors;2022-01-04;2
with_mirrors;2022-01-05;12
without_mirrors;2022-01-05;8
with_mirrors;2022-01-06;4
without_mirrors;2022-01-07;1
with_mirrors;2022-01-07;4
without_mirrors;2022-01-08;1
with_mirrors;2022-01-08;3
without_mirrors;2022-01-09;2
with_mirrors;2022-01-09;2
with_mirrors;2022-01-11;2
with_mirrors;2022-01-12;8
without_mirrors;2022-01-12;2
with_mirrors;2022-01-13;2
with_mirrors;2022-01-14;2
with_mirrors;2022-01-15;2
with_mirrors;2022-01-16;3
with_mirrors;2022-01-18;2
with_mirrors;2022-01-19;6
with_mirrors;2022-01-20;2
with_mirrors;2022-01-22;2
with_mirrors;2022-01-23;2
with_mirrors;2022-01-24;2
without_mirrors;2022-01-25;1
with_mirrors;2022-01-25;3
with_mirrors;2022-01-28;4
with_mirrors;2022-01-29;2
without_mirrors;2022-01-30;1
with_mirrors;2022-01-30;1
without_mirrors;2022-02-01;2
with_mirrors;2022-02-01;4
with_mirrors;2022-02-02;4
with_mirrors;2022-02-03;4
with_mirrors;2022-02-04;4
with_mirrors;2022-02-05;2
with_mirrors;2022-02-06;5
without_mirrors;2022-02-06;1
with_mirrors;2022-02-07;2
without_mirrors;2022-02-07;2
without_mirrors;2022-02-08;1
with_mirrors;2022-02-08;1
with_mirrors;2022-02-09;4
with_mirrors;2022-02-10;6
with_mirrors;2022-02-11;1
without_mirrors;2022-02-11;1
with_mirrors;2022-02-13;2
with_mirrors;2022-02-14;2
with_mirrors;2022-02-15;2
without_mirrors;2022-02-16;1
with_mirrors;2022-02-16;1
with_mirrors;2022-02-18;4
without_mirrors;2022-02-18;4
without_mirrors;2022-02-19;6
with_mirrors;2022-02-19;9
with_mirrors;2022-02-20;4
without_mirrors;2022-02-21;2
with_mirrors;2022-02-21;2
with_mirrors;2022-02-22;4
without_mirrors;2022-02-22;2
with_mirrors;2022-02-23;5
without_mirrors;2022-02-23;5
with_mirrors;2022-02-24;6
with_mirrors;2022-02-25;9
without_mirrors;2022-02-25;3
without_mirrors;2022-02-26;1
with_mirrors;2022-02-26;1
with_mirrors;2022-02-27;4
without_mirrors;2022-02-27;2
without_mirrors;2022-02-28;1
with_mirrors;2022-02-28;3
with_mirrors;2022-03-01;4
without_mirrors;2022-03-01;4
without_mirrors;2022-03-02;7
with_mirrors;2022-03-02;7
with_mirrors;2022-03-03;7
without_mirrors;2022-03-03;2
with_mirrors;2022-03-04;10
with_mirrors;2022-03-05;18
without_mirrors;2022-03-05;1
with_mirrors;2022-03-06;8
without_mirrors;2022-03-06;1
without_mirrors;2022-03-07;3
with_mirrors;2022-03-07;9
with_mirrors;2022-03-08;4
without_mirrors;2022-03-09;3
with_mirrors;2022-03-09;9
without_mirrors;2022-03-10;3
with_mirrors;2022-03-10;13
with_mirrors;2022-03-11;8
with_mirrors;2022-03-12;4
with_mirrors;2022-03-13;3
