category;date;downloads
with_mirrors;2021-09-14;10
without_mirrors;2021-09-14;4
without_mirrors;2021-09-15;1
with_mirrors;2021-09-15;39
without_mirrors;2021-09-16;1
with_mirrors;2021-09-16;61
without_mirrors;2021-09-17;5
with_mirrors;2021-09-17;5
without_mirrors;2021-09-18;4
with_mirrors;2021-09-18;13
without_mirrors;2021-09-19;4
with_mirrors;2021-09-19;22
with_mirrors;2021-09-20;80
without_mirrors;2021-09-20;38
with_mirrors;2021-09-21;49
without_mirrors;2021-09-21;3
with_mirrors;2021-09-22;20
without_mirrors;2021-09-22;2
without_mirrors;2021-09-23;4
with_mirrors;2021-09-23;40
with_mirrors;2021-09-24;3
without_mirrors;2021-09-24;3
with_mirrors;2021-09-25;28
without_mirrors;2021-09-25;2
without_mirrors;2021-09-26;1
with_mirrors;2021-09-26;19
with_mirrors;2021-09-27;7
without_mirrors;2021-09-27;4
with_mirrors;2021-09-28;42
without_mirrors;2021-09-28;6
without_mirrors;2021-09-29;5
with_mirrors;2021-09-29;23
without_mirrors;2021-09-30;7
with_mirrors;2021-09-30;31
with_mirrors;2021-10-01;10
without_mirrors;2021-10-01;4
with_mirrors;2021-10-02;20
without_mirrors;2021-10-02;2
without_mirrors;2021-10-03;5
with_mirrors;2021-10-03;23
without_mirrors;2021-10-04;6
with_mirrors;2021-10-04;22
without_mirrors;2021-10-05;6
with_mirrors;2021-10-05;25
with_mirrors;2021-10-06;23
without_mirrors;2021-10-06;4
without_mirrors;2021-10-07;5
with_mirrors;2021-10-07;5
with_mirrors;2021-10-08;2
without_mirrors;2021-10-08;2
without_mirrors;2021-10-09;1
with_mirrors;2021-10-09;9
without_mirrors;2021-10-10;2
with_mirrors;2021-10-10;2
without_mirrors;2021-10-11;4
with_mirrors;2021-10-11;22
without_mirrors;2021-10-12;3
with_mirrors;2021-10-12;3
without_mirrors;2021-10-13;5
with_mirrors;2021-10-13;11
with_mirrors;2021-10-14;6
without_mirrors;2021-10-14;6
with_mirrors;2021-10-15;29
without_mirrors;2021-10-15;9
with_mirrors;2021-10-16;26
without_mirrors;2021-10-16;9
without_mirrors;2021-10-17;5
with_mirrors;2021-10-17;48
without_mirrors;2021-10-18;8
with_mirrors;2021-10-18;26
with_mirrors;2021-10-19;5
without_mirrors;2021-10-19;5
without_mirrors;2021-10-20;7
with_mirrors;2021-10-20;25
without_mirrors;2021-10-21;19
with_mirrors;2021-10-21;38
with_mirrors;2021-10-22;20
without_mirrors;2021-10-22;2
without_mirrors;2021-10-23;2
with_mirrors;2021-10-23;2
with_mirrors;2021-10-24;23
without_mirrors;2021-10-24;5
with_mirrors;2021-10-25;44
without_mirrors;2021-10-25;6
with_mirrors;2021-10-26;11
without_mirrors;2021-10-26;9
without_mirrors;2021-10-27;32
with_mirrors;2021-10-27;32
with_mirrors;2021-10-28;33
without_mirrors;2021-10-28;9
with_mirrors;2021-10-29;18
with_mirrors;2021-10-30;3
without_mirrors;2021-10-30;3
with_mirrors;2021-10-31;5
without_mirrors;2021-10-31;4
with_mirrors;2021-11-01;14
without_mirrors;2021-11-01;7
with_mirrors;2021-11-02;51
without_mirrors;2021-11-02;14
with_mirrors;2021-11-03;6
without_mirrors;2021-11-03;6
with_mirrors;2021-11-04;29
without_mirrors;2021-11-04;11
without_mirrors;2021-11-05;4
with_mirrors;2021-11-05;10
without_mirrors;2021-11-06;1
with_mirrors;2021-11-06;1
without_mirrors;2021-11-07;7
with_mirrors;2021-11-07;7
with_mirrors;2021-11-08;31
without_mirrors;2021-11-08;9
without_mirrors;2021-11-09;22
with_mirrors;2021-11-09;22
with_mirrors;2021-11-10;3
without_mirrors;2021-11-10;3
with_mirrors;2021-11-11;9
without_mirrors;2021-11-11;3
with_mirrors;2021-11-12;15
without_mirrors;2021-11-12;9
with_mirrors;2021-11-13;8
without_mirrors;2021-11-13;8
without_mirrors;2021-11-14;3
with_mirrors;2021-11-14;22
with_mirrors;2021-11-15;21
without_mirrors;2021-11-15;5
with_mirrors;2021-11-16;25
without_mirrors;2021-11-16;25
with_mirrors;2021-11-17;41
without_mirrors;2021-11-17;3
with_mirrors;2021-11-18;25
without_mirrors;2021-11-18;5
with_mirrors;2021-11-19;16
without_mirrors;2021-11-19;10
without_mirrors;2021-11-20;5
with_mirrors;2021-11-20;41
with_mirrors;2021-11-21;5
without_mirrors;2021-11-21;5
with_mirrors;2021-11-22;33
without_mirrors;2021-11-22;5
without_mirrors;2021-11-23;7
with_mirrors;2021-11-23;13
with_mirrors;2021-11-24;41
without_mirrors;2021-11-24;9
with_mirrors;2021-11-25;10
without_mirrors;2021-11-25;8
