category;date;downloads
without_mirrors;2021-09-14;331
with_mirrors;2021-09-14;337
with_mirrors;2021-09-15;320
without_mirrors;2021-09-15;298
with_mirrors;2021-09-16;348
without_mirrors;2021-09-16;321
with_mirrors;2021-09-17;167
without_mirrors;2021-09-17;167
with_mirrors;2021-09-18;89
without_mirrors;2021-09-18;89
without_mirrors;2021-09-19;95
with_mirrors;2021-09-19;105
without_mirrors;2021-09-20;165
with_mirrors;2021-09-20;195
without_mirrors;2021-09-21;187
with_mirrors;2021-09-21;218
without_mirrors;2021-09-22;164
with_mirrors;2021-09-22;175
with_mirrors;2021-09-23;240
without_mirrors;2021-09-23;220
without_mirrors;2021-09-24;129
with_mirrors;2021-09-24;129
with_mirrors;2021-09-25;91
without_mirrors;2021-09-25;73
without_mirrors;2021-09-26;96
with_mirrors;2021-09-26;106
with_mirrors;2021-09-27;198
without_mirrors;2021-09-27;195
with_mirrors;2021-09-28;302
without_mirrors;2021-09-28;280
with_mirrors;2021-09-29;271
without_mirrors;2021-09-29;261
without_mirrors;2021-09-30;238
with_mirrors;2021-09-30;251
with_mirrors;2021-10-01;214
without_mirrors;2021-10-01;208
without_mirrors;2021-10-02;185
with_mirrors;2021-10-02;195
without_mirrors;2021-10-03;129
with_mirrors;2021-10-03;139
with_mirrors;2021-10-04;318
without_mirrors;2021-10-04;296
without_mirrors;2021-10-05;212
with_mirrors;2021-10-05;223
without_mirrors;2021-10-06;288
with_mirrors;2021-10-06;300
without_mirrors;2021-10-07;207
with_mirrors;2021-10-07;209
with_mirrors;2021-10-08;201
without_mirrors;2021-10-08;201
without_mirrors;2021-10-09;228
with_mirrors;2021-10-09;236
without_mirrors;2021-10-10;151
with_mirrors;2021-10-10;155
without_mirrors;2021-10-11;184
with_mirrors;2021-10-11;194
without_mirrors;2021-10-12;393
with_mirrors;2021-10-12;393
without_mirrors;2021-10-13;283
with_mirrors;2021-10-13;289
without_mirrors;2021-10-14;357
with_mirrors;2021-10-14;367
with_mirrors;2021-10-15;287
without_mirrors;2021-10-15;274
with_mirrors;2021-10-16;260
without_mirrors;2021-10-16;254
without_mirrors;2021-10-17;74
with_mirrors;2021-10-17;96
with_mirrors;2021-10-18;322
without_mirrors;2021-10-18;312
with_mirrors;2021-10-19;306
without_mirrors;2021-10-19;305
with_mirrors;2021-10-20;301
without_mirrors;2021-10-20;291
without_mirrors;2021-10-21;256
with_mirrors;2021-10-21;267
with_mirrors;2021-10-22;336
without_mirrors;2021-10-22;336
without_mirrors;2021-10-23;168
with_mirrors;2021-10-23;178
without_mirrors;2021-10-24;154
with_mirrors;2021-10-24;154
with_mirrors;2021-10-25;237
without_mirrors;2021-10-25;215
with_mirrors;2021-10-26;291
without_mirrors;2021-10-26;285
with_mirrors;2021-10-27;304
without_mirrors;2021-10-27;304
without_mirrors;2021-10-28;225
with_mirrors;2021-10-28;241
without_mirrors;2021-10-29;173
with_mirrors;2021-10-29;173
with_mirrors;2021-10-30;133
without_mirrors;2021-10-30;123
with_mirrors;2021-10-31;128
without_mirrors;2021-10-31;122
with_mirrors;2021-11-01;250
without_mirrors;2021-11-01;239
without_mirrors;2021-11-02;264
with_mirrors;2021-11-02;270
with_mirrors;2021-11-03;268
without_mirrors;2021-11-03;258
with_mirrors;2021-11-04;242
without_mirrors;2021-11-04;224
without_mirrors;2021-11-05;204
with_mirrors;2021-11-05;211
without_mirrors;2021-11-06;122
with_mirrors;2021-11-06;122
with_mirrors;2021-11-07;116
without_mirrors;2021-11-07;112
with_mirrors;2021-11-08;321
without_mirrors;2021-11-08;306
without_mirrors;2021-11-09;429
with_mirrors;2021-11-09;429
without_mirrors;2021-11-10;493
with_mirrors;2021-11-10;493
with_mirrors;2021-11-11;597
without_mirrors;2021-11-11;591
with_mirrors;2021-11-12;453
without_mirrors;2021-11-12;447
with_mirrors;2021-11-13;177
without_mirrors;2021-11-13;177
without_mirrors;2021-11-14;136
with_mirrors;2021-11-14;146
without_mirrors;2021-11-15;368
with_mirrors;2021-11-15;378
without_mirrors;2021-11-16;461
with_mirrors;2021-11-16;465
without_mirrors;2021-11-17;308
with_mirrors;2021-11-17;330
with_mirrors;2021-11-18;360
without_mirrors;2021-11-18;344
without_mirrors;2021-11-19;236
with_mirrors;2021-11-19;242
with_mirrors;2021-11-20;142
without_mirrors;2021-11-20;122
with_mirrors;2021-11-21;148
without_mirrors;2021-11-21;148
without_mirrors;2021-11-22;332
with_mirrors;2021-11-22;354
with_mirrors;2021-11-23;357
without_mirrors;2021-11-23;350
without_mirrors;2021-11-24;182
with_mirrors;2021-11-24;206
with_mirrors;2021-11-25;156
without_mirrors;2021-11-25;155
without_mirrors;2021-11-26;159
with_mirrors;2021-11-26;159
with_mirrors;2021-11-27;179
without_mirrors;2021-11-27;165
with_mirrors;2021-11-28;199
without_mirrors;2021-11-28;193
with_mirrors;2021-11-29;284
without_mirrors;2021-11-29;272
with_mirrors;2021-11-30;294
without_mirrors;2021-11-30;278
with_mirrors;2021-12-01;417
without_mirrors;2021-12-01;397
with_mirrors;2021-12-02;329
without_mirrors;2021-12-02;315
without_mirrors;2021-12-03;234
with_mirrors;2021-12-03;341
without_mirrors;2021-12-04;134
