category;date;downloads
without_mirrors;2021-09-14;1
with_mirrors;2021-09-14;15
without_mirrors;2021-09-15;1
with_mirrors;2021-09-15;29
with_mirrors;2021-09-16;12
without_mirrors;2021-09-16;6
with_mirrors;2021-09-17;18
without_mirrors;2021-09-17;2
without_mirrors;2021-09-18;1
with_mirrors;2021-09-18;9
with_mirrors;2021-09-19;1
without_mirrors;2021-09-19;1
with_mirrors;2021-09-20;25
without_mirrors;2021-09-20;1
with_mirrors;2021-09-21;8
with_mirrors;2021-09-22;33
without_mirrors;2021-09-22;17
with_mirrors;2021-09-23;25
with_mirrors;2021-09-24;3
without_mirrors;2021-09-24;3
without_mirrors;2021-09-25;2
with_mirrors;2021-09-25;10
without_mirrors;2021-09-26;7
with_mirrors;2021-09-26;24
without_mirrors;2021-09-27;2
with_mirrors;2021-09-27;5
with_mirrors;2021-09-28;9
without_mirrors;2021-09-28;1
without_mirrors;2021-09-29;5
with_mirrors;2021-09-29;21
without_mirrors;2021-09-30;1
with_mirrors;2021-09-30;9
without_mirrors;2021-10-01;1
with_mirrors;2021-10-01;13
with_mirrors;2021-10-02;1
without_mirrors;2021-10-02;1
with_mirrors;2021-10-03;17
without_mirrors;2021-10-03;1
with_mirrors;2021-10-04;22
without_mirrors;2021-10-05;3
with_mirrors;2021-10-05;12
with_mirrors;2021-10-06;9
without_mirrors;2021-10-06;1
with_mirrors;2021-10-08;3
without_mirrors;2021-10-08;3
without_mirrors;2021-10-09;9
with_mirrors;2021-10-09;17
with_mirrors;2021-10-10;1
without_mirrors;2021-10-10;1
without_mirrors;2021-10-11;1
with_mirrors;2021-10-11;9
without_mirrors;2021-10-12;1
with_mirrors;2021-10-12;1
without_mirrors;2021-10-13;3
with_mirrors;2021-10-13;9
without_mirrors;2021-10-14;3
with_mirrors;2021-10-14;3
without_mirrors;2021-10-15;1
with_mirrors;2021-10-15;11
with_mirrors;2021-10-16;12
without_mirrors;2021-10-17;1
with_mirrors;2021-10-17;18
with_mirrors;2021-10-18;8
with_mirrors;2021-10-19;10
