category;date;downloads
without_mirrors;2021-09-14;74
with_mirrors;2021-09-14;138
without_mirrors;2021-09-15;64
with_mirrors;2021-09-15;116
without_mirrors;2021-09-16;192
with_mirrors;2021-09-16;200
with_mirrors;2021-09-17;65
without_mirrors;2021-09-17;65
with_mirrors;2021-09-18;74
without_mirrors;2021-09-18;24
with_mirrors;2021-09-19;65
without_mirrors;2021-09-19;15
with_mirrors;2021-09-20;76
without_mirrors;2021-09-20;76
with_mirrors;2021-09-21;206
without_mirrors;2021-09-21;106
with_mirrors;2021-09-22;77
without_mirrors;2021-09-22;75
without_mirrors;2021-09-23;67
with_mirrors;2021-09-23;167
with_mirrors;2021-09-24;211
without_mirrors;2021-09-24;111
without_mirrors;2021-09-25;29
with_mirrors;2021-09-25;29
with_mirrors;2021-09-26;29
without_mirrors;2021-09-26;21
without_mirrors;2021-09-27;104
with_mirrors;2021-09-27;107
with_mirrors;2021-09-28;100
without_mirrors;2021-09-28;100
with_mirrors;2021-09-29;228
without_mirrors;2021-09-29;128
without_mirrors;2021-09-30;80
with_mirrors;2021-09-30;130
without_mirrors;2021-10-01;92
with_mirrors;2021-10-01;150
with_mirrors;2021-10-02;29
without_mirrors;2021-10-02;23
with_mirrors;2021-10-03;33
without_mirrors;2021-10-03;33
with_mirrors;2021-10-04;206
without_mirrors;2021-10-04;135
without_mirrors;2021-10-05;134
with_mirrors;2021-10-05;153
without_mirrors;2021-10-06;90
with_mirrors;2021-10-06;141
with_mirrors;2021-10-07;205
without_mirrors;2021-10-07;153
with_mirrors;2021-10-08;286
without_mirrors;2021-10-08;132
without_mirrors;2021-10-09;49
with_mirrors;2021-10-09;57
with_mirrors;2021-10-10;75
without_mirrors;2021-10-10;75
without_mirrors;2021-10-11;114
with_mirrors;2021-10-11;114
without_mirrors;2021-10-12;85
with_mirrors;2021-10-12;135
with_mirrors;2021-10-13;169
without_mirrors;2021-10-13;126
without_mirrors;2021-10-14;118
with_mirrors;2021-10-14;118
with_mirrors;2021-10-15;129
without_mirrors;2021-10-15;66
with_mirrors;2021-10-16;81
without_mirrors;2021-10-16;75
without_mirrors;2021-10-17;39
with_mirrors;2021-10-17;50
with_mirrors;2021-10-18;174
without_mirrors;2021-10-18;123
with_mirrors;2021-10-19;225
without_mirrors;2021-10-19;125
without_mirrors;2021-10-20;132
with_mirrors;2021-10-20;132
with_mirrors;2021-10-21;107
without_mirrors;2021-10-21;107
with_mirrors;2021-10-22;125
without_mirrors;2021-10-22;75
with_mirrors;2021-10-23;34
without_mirrors;2021-10-23;34
without_mirrors;2021-10-24;38
with_mirrors;2021-10-24;88
with_mirrors;2021-10-25;94
without_mirrors;2021-10-25;92
without_mirrors;2021-10-26;115
with_mirrors;2021-10-26;118
without_mirrors;2021-10-27;128
with_mirrors;2021-10-27;134
with_mirrors;2021-10-28;194
without_mirrors;2021-10-28;137
with_mirrors;2021-10-29;116
without_mirrors;2021-10-29;108
without_mirrors;2021-10-30;22
with_mirrors;2021-10-30;72
without_mirrors;2021-10-31;25
with_mirrors;2021-10-31;75
without_mirrors;2021-11-01;82
with_mirrors;2021-11-01;82
without_mirrors;2021-11-02;103
with_mirrors;2021-11-02;148
without_mirrors;2021-11-03;95
with_mirrors;2021-11-03;95
without_mirrors;2021-11-04;70
with_mirrors;2021-11-04;70
without_mirrors;2021-11-05;79
with_mirrors;2021-11-05;95
with_mirrors;2021-11-06;80
without_mirrors;2021-11-06;30
without_mirrors;2021-11-07;34
with_mirrors;2021-11-07;34
with_mirrors;2021-11-08;161
without_mirrors;2021-11-08;97
with_mirrors;2021-11-09;113
without_mirrors;2021-11-09;112
