category;date;downloads
with_mirrors;2021-09-14;260
without_mirrors;2021-09-14;260
with_mirrors;2021-09-15;304
without_mirrors;2021-09-15;300
with_mirrors;2021-09-16;155
without_mirrors;2021-09-16;151
with_mirrors;2021-09-17;178
without_mirrors;2021-09-17;178
without_mirrors;2021-09-18;53
with_mirrors;2021-09-18;55
without_mirrors;2021-09-19;68
with_mirrors;2021-09-19;68
with_mirrors;2021-09-20;209
without_mirrors;2021-09-20;207
with_mirrors;2021-09-21;220
without_mirrors;2021-09-21;218
with_mirrors;2021-09-22;246
without_mirrors;2021-09-22;242
without_mirrors;2021-09-23;173
with_mirrors;2021-09-23;173
without_mirrors;2021-09-24;220
with_mirrors;2021-09-24;228
without_mirrors;2021-09-25;186
with_mirrors;2021-09-25;186
without_mirrors;2021-09-26;148
with_mirrors;2021-09-26;150
with_mirrors;2021-09-27;285
without_mirrors;2021-09-27;282
with_mirrors;2021-09-28;386
without_mirrors;2021-09-28;386
without_mirrors;2021-09-29;344
with_mirrors;2021-09-29;346
with_mirrors;2021-09-30;410
without_mirrors;2021-09-30;408
with_mirrors;2021-10-01;358
without_mirrors;2021-10-01;354
with_mirrors;2021-10-02;331
without_mirrors;2021-10-02;327
without_mirrors;2021-10-03;243
with_mirrors;2021-10-03;243
with_mirrors;2021-10-04;450
without_mirrors;2021-10-04;450
with_mirrors;2021-10-05;443
without_mirrors;2021-10-05;440
with_mirrors;2021-10-06;552
without_mirrors;2021-10-06;548
with_mirrors;2021-10-07;397
without_mirrors;2021-10-07;396
without_mirrors;2021-10-08;335
with_mirrors;2021-10-08;446
with_mirrors;2021-10-09;401
without_mirrors;2021-10-09;331
with_mirrors;2021-10-10;257
without_mirrors;2021-10-10;230
with_mirrors;2021-10-11;382
without_mirrors;2021-10-11;372
without_mirrors;2021-10-12;581
with_mirrors;2021-10-12;588
without_mirrors;2021-10-13;346
with_mirrors;2021-10-13;357
without_mirrors;2021-10-14;510
with_mirrors;2021-10-14;516
