category;date;downloads
with_mirrors;2021-09-14;4
with_mirrors;2021-09-15;8
with_mirrors;2021-09-16;6
with_mirrors;2021-09-18;4
with_mirrors;2021-09-20;4
with_mirrors;2021-09-21;9
without_mirrors;2021-09-21;9
with_mirrors;2021-09-22;8
without_mirrors;2021-09-24;1
with_mirrors;2021-09-24;17
without_mirrors;2021-09-25;1
with_mirrors;2021-09-25;1
with_mirrors;2021-09-26;4
without_mirrors;2021-09-27;1
with_mirrors;2021-09-27;4
with_mirrors;2021-09-28;1
without_mirrors;2021-09-28;1
with_mirrors;2021-09-29;4
with_mirrors;2021-09-30;4
with_mirrors;2021-10-01;9
without_mirrors;2021-10-01;1
with_mirrors;2021-10-02;8
with_mirrors;2021-10-05;4
with_mirrors;2021-10-06;5
with_mirrors;2021-10-09;14
with_mirrors;2021-10-10;10
without_mirrors;2021-10-10;1
with_mirrors;2021-10-12;4
with_mirrors;2021-10-13;2
with_mirrors;2021-10-15;6
with_mirrors;2021-10-16;12
with_mirrors;2021-10-18;8
with_mirrors;2021-10-19;8
with_mirrors;2021-10-21;5
without_mirrors;2021-10-21;4
with_mirrors;2021-10-22;4
with_mirrors;2021-10-25;2
with_mirrors;2021-10-26;2
without_mirrors;2021-10-27;4
with_mirrors;2021-10-27;4
with_mirrors;2021-10-28;11
without_mirrors;2021-10-28;3
with_mirrors;2021-10-29;4
with_mirrors;2021-10-30;1
without_mirrors;2021-10-30;1
with_mirrors;2021-11-01;6
without_mirrors;2021-11-01;2
with_mirrors;2021-11-02;13
without_mirrors;2021-11-02;1
with_mirrors;2021-11-03;1
without_mirrors;2021-11-03;1
with_mirrors;2021-11-04;1
without_mirrors;2021-11-04;1
without_mirrors;2021-11-05;1
with_mirrors;2021-11-05;5
with_mirrors;2021-11-06;5
without_mirrors;2021-11-06;1
with_mirrors;2021-11-07;4
with_mirrors;2021-11-08;4
with_mirrors;2021-11-09;4
with_mirrors;2021-11-12;6
without_mirrors;2021-11-12;2
with_mirrors;2021-11-13;4
with_mirrors;2021-11-15;9
without_mirrors;2021-11-15;1
without_mirrors;2021-11-16;8
with_mirrors;2021-11-16;12
with_mirrors;2021-11-17;6
with_mirrors;2021-11-18;2
without_mirrors;2021-11-19;1
with_mirrors;2021-11-19;9
without_mirrors;2021-11-20;1
with_mirrors;2021-11-20;13
with_mirrors;2021-11-22;6
without_mirrors;2021-11-22;2
with_mirrors;2021-11-23;4
with_mirrors;2021-11-24;12
with_mirrors;2021-11-25;4
with_mirrors;2021-11-29;9
without_mirrors;2021-11-29;1
without_mirrors;2021-11-30;38
with_mirrors;2021-11-30;172
with_mirrors;2021-12-01;230
without_mirrors;2021-12-01;45
with_mirrors;2021-12-02;80
without_mirrors;2021-12-02;19
without_mirrors;2021-12-03;12
with_mirrors;2021-12-03;72
with_mirrors;2021-12-04;11
without_mirrors;2021-12-04;3
without_mirrors;2021-12-05;1
with_mirrors;2021-12-05;5
without_mirrors;2021-12-06;1
with_mirrors;2021-12-06;7
without_mirrors;2021-12-07;1
with_mirrors;2021-12-07;9
without_mirrors;2021-12-08;1
with_mirrors;2021-12-08;1
with_mirrors;2021-12-09;17
without_mirrors;2021-12-09;1
without_mirrors;2021-12-10;1
with_mirrors;2021-12-10;23
with_mirrors;2021-12-11;10
without_mirrors;2021-12-11;2
without_mirrors;2021-12-12;1
with_mirrors;2021-12-12;9
with_mirrors;2021-12-13;12
without_mirrors;2021-12-13;1
without_mirrors;2021-12-14;7
with_mirrors;2021-12-14;19
with_mirrors;2021-12-15;4
without_mirrors;2021-12-15;2
with_mirrors;2021-12-16;4
without_mirrors;2021-12-17;6
with_mirrors;2021-12-17;22
with_mirrors;2021-12-18;8
with_mirrors;2021-12-19;36
without_mirrors;2021-12-19;4
with_mirrors;2021-12-20;12
without_mirrors;2021-12-21;1
with_mirrors;2021-12-21;13
with_mirrors;2021-12-23;16
with_mirrors;2021-12-24;12
with_mirrors;2021-12-25;24
with_mirrors;2021-12-26;16
without_mirrors;2021-12-27;2
with_mirrors;2021-12-27;2
without_mirrors;2021-12-28;5
with_mirrors;2021-12-28;21
with_mirrors;2021-12-29;101
without_mirrors;2021-12-29;27
with_mirrors;2021-12-30;99
without_mirrors;2021-12-30;12
with_mirrors;2021-12-31;46
without_mirrors;2021-12-31;10
with_mirrors;2022-01-01;8
without_mirrors;2022-01-01;2
with_mirrors;2022-01-02;20
without_mirrors;2022-01-02;4
without_mirrors;2022-01-03;3
with_mirrors;2022-01-03;13
with_mirrors;2022-01-04;27
without_mirrors;2022-01-04;1
with_mirrors;2022-01-05;9
without_mirrors;2022-01-05;1
without_mirrors;2022-01-06;2
with_mirrors;2022-01-06;25
without_mirrors;2022-01-07;2
with_mirrors;2022-01-07;13
without_mirrors;2022-01-08;2
with_mirrors;2022-01-08;32
with_mirrors;2022-01-09;23
without_mirrors;2022-01-09;1
with_mirrors;2022-01-10;10
without_mirrors;2022-01-10;1
with_mirrors;2022-01-11;30
without_mirrors;2022-01-11;2
with_mirrors;2022-01-12;12
without_mirrors;2022-01-13;3
with_mirrors;2022-01-13;20
with_mirrors;2022-01-14;10
without_mirrors;2022-01-15;2
with_mirrors;2022-01-15;8
without_mirrors;2022-01-16;10
with_mirrors;2022-01-16;22
with_mirrors;2022-01-17;19
without_mirrors;2022-01-17;1
with_mirrors;2022-01-18;5
without_mirrors;2022-01-18;3
with_mirrors;2022-01-19;4
with_mirrors;2022-01-20;27
without_mirrors;2022-01-20;1
with_mirrors;2022-01-21;31
without_mirrors;2022-01-22;8
with_mirrors;2022-01-22;16
with_mirrors;2022-01-23;22
without_mirrors;2022-01-23;2
with_mirrors;2022-01-24;2
with_mirrors;2022-01-25;6
with_mirrors;2022-01-26;2
without_mirrors;2022-01-27;5
with_mirrors;2022-01-27;21
with_mirrors;2022-01-29;19
without_mirrors;2022-01-29;1
with_mirrors;2022-01-30;13
without_mirrors;2022-01-30;13
with_mirrors;2022-01-31;10
with_mirrors;2022-02-01;10
without_mirrors;2022-02-01;2
with_mirrors;2022-02-02;6
with_mirrors;2022-02-03;2
with_mirrors;2022-02-04;27
without_mirrors;2022-02-04;1
with_mirrors;2022-02-05;17
without_mirrors;2022-02-05;1
with_mirrors;2022-02-06;10
without_mirrors;2022-02-07;6
with_mirrors;2022-02-07;16
with_mirrors;2022-02-08;10
with_mirrors;2022-02-09;7
with_mirrors;2022-02-10;22
with_mirrors;2022-02-11;17
without_mirrors;2022-02-12;2
with_mirrors;2022-02-12;2
with_mirrors;2022-02-13;10
without_mirrors;2022-02-14;1
with_mirrors;2022-02-14;9
without_mirrors;2022-02-15;1
with_mirrors;2022-02-15;17
without_mirrors;2022-02-16;6
with_mirrors;2022-02-16;26
with_mirrors;2022-02-17;6
without_mirrors;2022-02-19;11
with_mirrors;2022-02-19;33
with_mirrors;2022-02-20;13
without_mirrors;2022-02-20;13
without_mirrors;2022-02-21;20
with_mirrors;2022-02-21;30
with_mirrors;2022-02-22;21
without_mirrors;2022-02-22;21
with_mirrors;2022-02-23;28
without_mirrors;2022-02-23;21
without_mirrors;2022-02-24;12
with_mirrors;2022-02-24;34
without_mirrors;2022-02-26;2
with_mirrors;2022-02-26;20
without_mirrors;2022-02-27;10
with_mirrors;2022-02-27;20
with_mirrors;2022-02-28;20
without_mirrors;2022-03-01;13
with_mirrors;2022-03-01;19
with_mirrors;2022-03-02;20
without_mirrors;2022-03-02;14
with_mirrors;2022-03-03;1
with_mirrors;2022-03-04;19
without_mirrors;2022-03-04;1
without_mirrors;2022-03-05;5
with_mirrors;2022-03-05;35
with_mirrors;2022-03-06;57
without_mirrors;2022-03-06;3
without_mirrors;2022-03-07;11
with_mirrors;2022-03-07;44
with_mirrors;2022-03-08;30
without_mirrors;2022-03-09;13
with_mirrors;2022-03-09;35
with_mirrors;2022-03-10;60
without_mirrors;2022-03-10;10
with_mirrors;2022-03-11;26
with_mirrors;2022-03-12;13
without_mirrors;2022-03-12;1
with_mirrors;2022-03-13;37
