category;date;downloads
with_mirrors;2022-12-08;66
without_mirrors;2022-12-08;27
with_mirrors;2022-12-09;280
without_mirrors;2022-12-09;80
with_mirrors;2022-12-10;108
without_mirrors;2022-12-10;37
with_mirrors;2022-12-11;19
with_mirrors;2022-12-12;19
without_mirrors;2022-12-12;9
with_mirrors;2022-12-13;30
without_mirrors;2022-12-13;6
with_mirrors;2022-12-14;6
without_mirrors;2022-12-15;1
with_mirrors;2022-12-15;9
with_mirrors;2022-12-16;11
without_mirrors;2022-12-16;3
without_mirrors;2022-12-17;2
with_mirrors;2022-12-17;8
with_mirrors;2022-12-19;3
without_mirrors;2022-12-20;4
with_mirrors;2022-12-20;10
without_mirrors;2022-12-21;7
with_mirrors;2022-12-21;27
with_mirrors;2022-12-22;8
without_mirrors;2022-12-22;5
with_mirrors;2022-12-23;22
without_mirrors;2022-12-23;4
