category;date;downloads
without_mirrors;2021-09-14;1
with_mirrors;2021-09-14;7
with_mirrors;2021-09-15;6
with_mirrors;2021-09-16;14
without_mirrors;2021-09-17;1
with_mirrors;2021-09-17;4
with_mirrors;2021-09-18;7
without_mirrors;2021-09-18;1
without_mirrors;2021-09-21;12
with_mirrors;2021-09-21;18
with_mirrors;2021-09-22;6
with_mirrors;2021-09-24;6
with_mirrors;2021-09-25;12
with_mirrors;2021-09-26;7
without_mirrors;2021-09-26;1
with_mirrors;2021-09-27;3
with_mirrors;2021-09-29;6
with_mirrors;2021-09-30;6
without_mirrors;2021-10-01;1
with_mirrors;2021-10-01;7
with_mirrors;2021-10-02;7
without_mirrors;2021-10-02;1
with_mirrors;2021-10-03;12
with_mirrors;2021-10-06;7
without_mirrors;2021-10-07;1
with_mirrors;2021-10-07;7
with_mirrors;2021-10-09;14
with_mirrors;2021-10-10;13
without_mirrors;2021-10-10;1
with_mirrors;2021-10-12;12
with_mirrors;2021-10-13;2
without_mirrors;2021-10-13;2
with_mirrors;2021-10-14;9
without_mirrors;2021-10-14;1
with_mirrors;2021-10-15;13
without_mirrors;2021-10-15;1
with_mirrors;2021-10-16;12
with_mirrors;2021-10-17;2
with_mirrors;2021-10-18;9
with_mirrors;2021-10-20;12
with_mirrors;2021-10-21;2
without_mirrors;2021-10-21;1
with_mirrors;2021-10-22;6
with_mirrors;2021-10-23;2
without_mirrors;2021-10-23;2
without_mirrors;2021-10-24;1
with_mirrors;2021-10-24;1
with_mirrors;2021-10-26;4
without_mirrors;2021-10-27;8
with_mirrors;2021-10-27;8
with_mirrors;2021-10-28;14
without_mirrors;2021-10-28;2
with_mirrors;2021-10-30;1
without_mirrors;2021-10-30;1
without_mirrors;2021-11-01;2
with_mirrors;2021-11-01;8
with_mirrors;2021-11-02;16
without_mirrors;2021-11-02;3
with_mirrors;2021-11-03;1
without_mirrors;2021-11-03;1
without_mirrors;2021-11-04;2
with_mirrors;2021-11-04;8
without_mirrors;2021-11-05;1
with_mirrors;2021-11-05;7
with_mirrors;2021-11-06;1
without_mirrors;2021-11-06;1
with_mirrors;2021-11-08;4
without_mirrors;2021-11-09;1
with_mirrors;2021-11-09;13
with_mirrors;2021-11-12;7
without_mirrors;2021-11-13;1
with_mirrors;2021-11-13;1
without_mirrors;2021-11-14;2
with_mirrors;2021-11-14;8
with_mirrors;2021-11-15;2
with_mirrors;2021-11-16;20
without_mirrors;2021-11-16;6
with_mirrors;2021-11-17;8
with_mirrors;2021-11-18;2
with_mirrors;2021-11-19;12
without_mirrors;2021-11-19;6
with_mirrors;2021-11-20;7
without_mirrors;2021-11-20;1
with_mirrors;2021-11-21;6
without_mirrors;2021-11-22;1
with_mirrors;2021-11-22;7
with_mirrors;2021-11-23;12
without_mirrors;2021-11-24;2
with_mirrors;2021-11-24;21
with_mirrors;2021-11-25;6
with_mirrors;2021-11-27;1
without_mirrors;2021-11-27;1
with_mirrors;2021-11-29;7
without_mirrors;2021-11-29;1
with_mirrors;2021-11-30;14
without_mirrors;2021-12-01;3
with_mirrors;2021-12-01;9
with_mirrors;2021-12-02;6
with_mirrors;2021-12-03;6
with_mirrors;2021-12-04;8
without_mirrors;2021-12-04;2
with_mirrors;2021-12-05;1
without_mirrors;2021-12-05;1
with_mirrors;2021-12-06;6
with_mirrors;2021-12-07;1
without_mirrors;2021-12-07;1
with_mirrors;2021-12-08;6
without_mirrors;2021-12-08;6
with_mirrors;2021-12-09;14
without_mirrors;2021-12-09;8
with_mirrors;2021-12-10;22
without_mirrors;2021-12-10;14
without_mirrors;2021-12-11;10
with_mirrors;2021-12-11;16
with_mirrors;2021-12-12;12
without_mirrors;2021-12-12;12
with_mirrors;2021-12-13;4
without_mirrors;2021-12-13;4
without_mirrors;2021-12-14;1
with_mirrors;2021-12-14;5
with_mirrors;2021-12-15;12
without_mirrors;2021-12-15;12
with_mirrors;2021-12-16;5
without_mirrors;2021-12-16;5
without_mirrors;2021-12-17;4
with_mirrors;2021-12-17;13
with_mirrors;2021-12-18;6
with_mirrors;2021-12-19;8
without_mirrors;2021-12-19;2
without_mirrors;2021-12-20;9
with_mirrors;2021-12-20;27
with_mirrors;2021-12-21;8
without_mirrors;2021-12-21;4
without_mirrors;2021-12-22;17
with_mirrors;2021-12-22;23
with_mirrors;2021-12-24;18
without_mirrors;2021-12-24;6
with_mirrors;2021-12-25;24
without_mirrors;2021-12-25;12
with_mirrors;2021-12-26;65
without_mirrors;2021-12-26;53
without_mirrors;2021-12-27;5
with_mirrors;2021-12-27;5
with_mirrors;2021-12-28;52
without_mirrors;2021-12-28;46
with_mirrors;2021-12-29;7
without_mirrors;2021-12-29;1
without_mirrors;2021-12-30;1
with_mirrors;2021-12-30;1
without_mirrors;2021-12-31;1
with_mirrors;2021-12-31;19
without_mirrors;2022-01-01;4
with_mirrors;2022-01-01;4
with_mirrors;2022-01-02;15
without_mirrors;2022-01-02;7
with_mirrors;2022-01-03;2
without_mirrors;2022-01-03;2
without_mirrors;2022-01-04;3
with_mirrors;2022-01-04;11
with_mirrors;2022-01-05;8
without_mirrors;2022-01-05;2
without_mirrors;2022-01-06;3
with_mirrors;2022-01-06;17
with_mirrors;2022-01-07;11
without_mirrors;2022-01-07;11
with_mirrors;2022-01-08;12
with_mirrors;2022-01-09;45
without_mirrors;2022-01-09;39
with_mirrors;2022-01-10;11
without_mirrors;2022-01-10;5
with_mirrors;2022-01-11;31
without_mirrors;2022-01-11;31
with_mirrors;2022-01-12;13
without_mirrors;2022-01-12;1
without_mirrors;2022-01-13;4
with_mirrors;2022-01-13;10
without_mirrors;2022-01-14;2
with_mirrors;2022-01-14;7
without_mirrors;2022-01-15;5
with_mirrors;2022-01-15;5
with_mirrors;2022-01-16;49
without_mirrors;2022-01-16;43
with_mirrors;2022-01-17;13
without_mirrors;2022-01-17;10
without_mirrors;2022-01-18;3
with_mirrors;2022-01-18;5
without_mirrors;2022-01-19;3
with_mirrors;2022-01-19;3
without_mirrors;2022-01-20;5
with_mirrors;2022-01-20;5
with_mirrors;2022-01-21;57
without_mirrors;2022-01-21;39
without_mirrors;2022-01-22;25
with_mirrors;2022-01-22;25
with_mirrors;2022-01-23;31
without_mirrors;2022-01-23;24
without_mirrors;2022-01-24;30
with_mirrors;2022-01-24;46
without_mirrors;2022-01-25;15
with_mirrors;2022-01-25;15
with_mirrors;2022-01-26;2
without_mirrors;2022-01-27;2
with_mirrors;2022-01-27;3
without_mirrors;2022-01-28;31
with_mirrors;2022-01-28;31
without_mirrors;2022-01-29;5
with_mirrors;2022-01-29;11
without_mirrors;2022-01-30;27
with_mirrors;2022-01-30;27
without_mirrors;2022-01-31;1
with_mirrors;2022-01-31;7
without_mirrors;2022-02-01;6
with_mirrors;2022-02-01;6
with_mirrors;2022-02-02;13
without_mirrors;2022-02-02;7
with_mirrors;2022-02-03;9
