category;date;downloads
with_mirrors;2021-09-15;16
without_mirrors;2021-09-16;20
with_mirrors;2021-09-16;38
with_mirrors;2021-09-18;10
with_mirrors;2021-09-22;20
with_mirrors;2021-09-24;10
with_mirrors;2021-09-25;20
with_mirrors;2021-09-27;11
with_mirrors;2021-09-29;10
with_mirrors;2021-10-01;27
without_mirrors;2021-10-01;1
with_mirrors;2021-10-02;1
without_mirrors;2021-10-02;1
with_mirrors;2021-10-03;16
with_mirrors;2021-10-04;10
with_mirrors;2021-10-05;6
with_mirrors;2021-10-06;11
without_mirrors;2021-10-06;1
without_mirrors;2021-10-07;10
with_mirrors;2021-10-07;20
with_mirrors;2021-10-09;12
with_mirrors;2021-10-10;22
with_mirrors;2021-10-11;10
with_mirrors;2021-10-12;10
without_mirrors;2021-10-14;1
with_mirrors;2021-10-14;7
with_mirrors;2021-10-15;3
without_mirrors;2021-10-15;1
with_mirrors;2021-10-16;16
with_mirrors;2021-10-17;19
with_mirrors;2021-10-18;26
with_mirrors;2021-10-20;20
with_mirrors;2021-10-21;1
without_mirrors;2021-10-21;1
without_mirrors;2021-10-23;1
with_mirrors;2021-10-23;11
with_mirrors;2021-10-26;2
with_mirrors;2021-10-27;13
without_mirrors;2021-10-27;11
without_mirrors;2021-10-28;2
with_mirrors;2021-10-28;24
with_mirrors;2021-10-30;1
without_mirrors;2021-10-30;1
without_mirrors;2021-11-01;1
with_mirrors;2021-11-01;1
with_mirrors;2021-11-02;24
without_mirrors;2021-11-02;1
with_mirrors;2021-11-03;6
with_mirrors;2021-11-04;11
without_mirrors;2021-11-04;1
with_mirrors;2021-11-05;6
with_mirrors;2021-11-06;12
with_mirrors;2021-11-08;4
with_mirrors;2021-11-09;26
with_mirrors;2021-11-12;6
with_mirrors;2021-11-14;6
with_mirrors;2021-11-15;2
without_mirrors;2021-11-16;10
with_mirrors;2021-11-16;12
without_mirrors;2021-11-17;1
with_mirrors;2021-11-17;23
with_mirrors;2021-11-18;2
without_mirrors;2021-11-19;4
with_mirrors;2021-11-19;10
with_mirrors;2021-11-20;10
with_mirrors;2021-11-21;10
with_mirrors;2021-11-22;10
with_mirrors;2021-11-23;10
with_mirrors;2021-11-24;22
without_mirrors;2021-11-25;1
with_mirrors;2021-11-25;22
with_mirrors;2021-11-27;1
without_mirrors;2021-11-27;1
with_mirrors;2021-11-29;1
without_mirrors;2021-11-29;1
with_mirrors;2021-11-30;22
with_mirrors;2021-12-01;13
without_mirrors;2021-12-01;3
with_mirrors;2021-12-02;10
with_mirrors;2021-12-03;10
with_mirrors;2021-12-05;10
with_mirrors;2021-12-07;10
with_mirrors;2021-12-10;22
with_mirrors;2021-12-11;15
without_mirrors;2021-12-11;1
with_mirrors;2021-12-14;4
without_mirrors;2021-12-17;2
