category;date;downloads
with_mirrors;2020-05-01;9
without_mirrors;2020-05-01;1
with_mirrors;2020-05-02;6
without_mirrors;2020-05-02;2
with_mirrors;2020-05-03;6
without_mirrors;2020-05-03;2
with_mirrors;2020-05-04;9
without_mirrors;2020-05-04;3
with_mirrors;2020-05-05;6
without_mirrors;2020-05-06;1
with_mirrors;2020-05-06;12
without_mirrors;2020-05-07;1
with_mirrors;2020-05-07;9
with_mirrors;2020-05-08;6
with_mirrors;2020-05-09;4
with_mirrors;2020-05-10;3
without_mirrors;2020-05-10;1
with_mirrors;2020-05-11;4
with_mirrors;2020-05-12;16
with_mirrors;2020-05-13;16
with_mirrors;2020-05-14;14
without_mirrors;2020-05-14;4
with_mirrors;2020-05-15;15
without_mirrors;2020-05-15;3
with_mirrors;2020-05-16;20
with_mirrors;2020-05-17;11
without_mirrors;2020-05-17;2
without_mirrors;2020-05-18;1
with_mirrors;2020-05-18;3
with_mirrors;2020-05-19;11
without_mirrors;2020-05-19;2
with_mirrors;2020-05-20;13
without_mirrors;2020-05-20;3
without_mirrors;2020-05-21;2
with_mirrors;2020-05-21;14
with_mirrors;2020-05-22;4
with_mirrors;2020-05-23;7
without_mirrors;2020-05-23;3
with_mirrors;2020-05-24;17
without_mirrors;2020-05-24;1
with_mirrors;2020-05-25;13
without_mirrors;2020-05-25;1
without_mirrors;2020-05-26;4
with_mirrors;2020-05-26;12
with_mirrors;2020-05-27;12
without_mirrors;2020-05-27;4
without_mirrors;2020-05-28;1
with_mirrors;2020-05-28;9
with_mirrors;2020-05-29;10
without_mirrors;2020-05-29;2
without_mirrors;2020-05-30;3
with_mirrors;2020-05-30;11
without_mirrors;2020-05-31;5
with_mirrors;2020-05-31;11
without_mirrors;2020-06-01;1
with_mirrors;2020-06-01;1
with_mirrors;2020-06-02;20
with_mirrors;2020-06-03;10
without_mirrors;2020-06-03;4
with_mirrors;2020-06-04;34
without_mirrors;2020-06-04;2
without_mirrors;2020-06-05;1
with_mirrors;2020-06-05;28
with_mirrors;2020-06-06;16
with_mirrors;2020-06-07;9
without_mirrors;2020-06-07;1
with_mirrors;2020-06-08;8
without_mirrors;2020-06-08;1
without_mirrors;2020-06-09;6
with_mirrors;2020-06-09;10
with_mirrors;2020-06-10;6
without_mirrors;2020-06-10;2
with_mirrors;2020-06-11;11
without_mirrors;2020-06-11;3
without_mirrors;2020-06-12;3
with_mirrors;2020-06-12;11
with_mirrors;2020-06-13;17
without_mirrors;2020-06-13;5
with_mirrors;2020-06-14;6
without_mirrors;2020-06-14;4
with_mirrors;2020-06-15;13
without_mirrors;2020-06-15;3
with_mirrors;2020-06-16;12
without_mirrors;2020-06-16;2
with_mirrors;2020-06-17;25
without_mirrors;2020-06-17;3
without_mirrors;2020-06-18;1
with_mirrors;2020-06-18;8
with_mirrors;2020-06-19;11
without_mirrors;2020-06-19;3
with_mirrors;2020-06-20;13
without_mirrors;2020-06-20;5
with_mirrors;2020-06-21;10
without_mirrors;2020-06-21;2
without_mirrors;2020-06-22;3
with_mirrors;2020-06-22;3
without_mirrors;2020-06-23;3
with_mirrors;2020-06-23;20
with_mirrors;2020-06-24;19
with_mirrors;2020-06-25;7
without_mirrors;2020-06-26;2
with_mirrors;2020-06-26;8
with_mirrors;2020-06-27;12
without_mirrors;2020-06-28;1
with_mirrors;2020-06-28;9
with_mirrors;2020-06-29;12
with_mirrors;2020-06-30;6
with_mirrors;2020-07-01;5
with_mirrors;2020-07-02;10
without_mirrors;2020-07-02;2
with_mirrors;2020-07-03;4
without_mirrors;2020-07-04;2
with_mirrors;2020-07-04;6
with_mirrors;2020-07-05;8
with_mirrors;2020-07-06;5
without_mirrors;2020-07-06;1
with_mirrors;2020-07-07;4
without_mirrors;2020-07-08;2
with_mirrors;2020-07-08;18
with_mirrors;2020-07-09;5
without_mirrors;2020-07-10;2
