category;date;downloads
without_mirrors;2020-05-01;1
with_mirrors;2020-05-01;9
with_mirrors;2020-05-02;2
without_mirrors;2020-05-02;2
with_mirrors;2020-05-03;155
without_mirrors;2020-05-03;36
with_mirrors;2020-05-04;140
without_mirrors;2020-05-04;9
with_mirrors;2020-05-05;40
without_mirrors;2020-05-06;2
with_mirrors;2020-05-06;29
with_mirrors;2020-05-07;28
without_mirrors;2020-05-08;2
with_mirrors;2020-05-08;17
with_mirrors;2020-05-09;14
without_mirrors;2020-05-10;3
with_mirrors;2020-05-10;13
without_mirrors;2020-05-11;4
with_mirrors;2020-05-11;18
with_mirrors;2020-05-12;26
without_mirrors;2020-05-12;1
with_mirrors;2020-05-13;32
without_mirrors;2020-05-13;1
with_mirrors;2020-05-14;14
without_mirrors;2020-05-14;2
with_mirrors;2020-05-15;25
without_mirrors;2020-05-15;13
with_mirrors;2020-05-16;34
with_mirrors;2020-05-17;12
with_mirrors;2020-05-18;13
without_mirrors;2020-05-18;1
with_mirrors;2020-05-19;19
without_mirrors;2020-05-19;2
without_mirrors;2020-05-20;1
with_mirrors;2020-05-20;14
without_mirrors;2020-05-21;1
with_mirrors;2020-05-21;19
with_mirrors;2020-05-22;10
with_mirrors;2020-05-23;19
without_mirrors;2020-05-23;1
with_mirrors;2020-05-24;28
with_mirrors;2020-05-25;10
without_mirrors;2020-05-26;5
with_mirrors;2020-05-26;19
with_mirrors;2020-05-27;23
without_mirrors;2020-05-27;3
with_mirrors;2020-05-28;7
without_mirrors;2020-05-28;1
without_mirrors;2020-05-29;2
with_mirrors;2020-05-29;20
with_mirrors;2020-05-30;14
without_mirrors;2020-05-31;7
with_mirrors;2020-05-31;9
with_mirrors;2020-06-01;3
with_mirrors;2020-06-02;6
with_mirrors;2020-06-03;20
without_mirrors;2020-06-03;2
with_mirrors;2020-06-04;44
without_mirrors;2020-06-05;2
with_mirrors;2020-06-05;34
with_mirrors;2020-06-06;26
with_mirrors;2020-06-07;15
without_mirrors;2020-06-08;1
with_mirrors;2020-06-08;13
with_mirrors;2020-06-09;11
without_mirrors;2020-06-09;2
with_mirrors;2020-06-10;15
without_mirrors;2020-06-10;3
with_mirrors;2020-06-11;14
without_mirrors;2020-06-11;2
with_mirrors;2020-06-12;7
without_mirrors;2020-06-12;1
with_mirrors;2020-06-13;18
with_mirrors;2020-06-14;2
without_mirrors;2020-06-15;2
with_mirrors;2020-06-15;9
without_mirrors;2020-06-16;4
with_mirrors;2020-06-16;24
without_mirrors;2020-06-17;1
with_mirrors;2020-06-17;35
with_mirrors;2020-06-18;6
with_mirrors;2020-06-19;18
without_mirrors;2020-06-20;1
with_mirrors;2020-06-20;13
with_mirrors;2020-06-21;12
without_mirrors;2020-06-22;4
with_mirrors;2020-06-22;5
with_mirrors;2020-06-23;27
without_mirrors;2020-06-23;3
with_mirrors;2020-06-24;14
without_mirrors;2020-06-25;2
with_mirrors;2020-06-25;14
with_mirrors;2020-06-26;12
with_mirrors;2020-06-27;12
with_mirrors;2020-06-28;12
with_mirrors;2020-06-29;19
without_mirrors;2020-06-29;1
with_mirrors;2020-06-30;8
without_mirrors;2020-07-01;1
with_mirrors;2020-07-01;9
