category;date;downloads
without_mirrors;2021-11-08;14
with_mirrors;2021-11-08;60
with_mirrors;2021-11-09;121
without_mirrors;2021-11-09;20
with_mirrors;2021-11-10;78
without_mirrors;2021-11-10;23
with_mirrors;2021-11-11;127
without_mirrors;2021-11-11;25
without_mirrors;2021-11-12;14
with_mirrors;2021-11-12;48
without_mirrors;2021-11-13;1
with_mirrors;2021-11-13;25
with_mirrors;2021-11-14;427
without_mirrors;2021-11-14;193
with_mirrors;2021-11-15;284
without_mirrors;2021-11-15;44
with_mirrors;2021-11-16;68
without_mirrors;2021-11-16;10
with_mirrors;2021-11-17;78
without_mirrors;2021-11-17;6
with_mirrors;2021-11-18;21
without_mirrors;2021-11-18;7
