category;date;downloads
without_mirrors;2020-05-01;4
with_mirrors;2020-05-01;10
with_mirrors;2020-05-02;6
with_mirrors;2020-05-03;8
without_mirrors;2020-05-03;2
with_mirrors;2020-05-04;6
with_mirrors;2020-05-06;1
without_mirrors;2020-05-06;1
with_mirrors;2020-05-07;4
with_mirrors;2020-05-08;9
with_mirrors;2020-05-09;18
with_mirrors;2020-05-10;12
with_mirrors;2020-05-12;16
without_mirrors;2020-05-13;1
with_mirrors;2020-05-13;19
with_mirrors;2020-05-14;20
with_mirrors;2020-05-15;15
without_mirrors;2020-05-15;7
with_mirrors;2020-05-16;6
with_mirrors;2020-05-17;47
with_mirrors;2020-05-18;1
without_mirrors;2020-05-18;1
without_mirrors;2020-05-19;2
with_mirrors;2020-05-19;22
without_mirrors;2020-05-20;2
with_mirrors;2020-05-20;10
with_mirrors;2020-05-21;19
without_mirrors;2020-05-21;1
with_mirrors;2020-05-22;6
without_mirrors;2020-05-23;1
with_mirrors;2020-05-23;13
without_mirrors;2020-05-24;1
with_mirrors;2020-05-24;19
without_mirrors;2020-05-25;8
with_mirrors;2020-05-25;20
without_mirrors;2020-05-26;1
with_mirrors;2020-05-26;1
with_mirrors;2020-05-27;9
without_mirrors;2020-05-27;3
with_mirrors;2020-05-28;18
without_mirrors;2020-05-28;1
with_mirrors;2020-05-29;20
with_mirrors;2020-05-30;8
without_mirrors;2020-05-30;2
without_mirrors;2020-05-31;4
with_mirrors;2020-05-31;16
without_mirrors;2020-06-01;1
with_mirrors;2020-06-01;3
with_mirrors;2020-06-02;6
with_mirrors;2020-06-03;5
with_mirrors;2020-06-04;32
with_mirrors;2020-06-05;6
with_mirrors;2020-06-06;14
with_mirrors;2020-06-07;7
with_mirrors;2020-06-08;24
without_mirrors;2020-06-09;2
with_mirrors;2020-06-09;14
without_mirrors;2020-06-10;1
with_mirrors;2020-06-10;7
without_mirrors;2020-06-11;4
with_mirrors;2020-06-11;4
with_mirrors;2020-06-12;6
with_mirrors;2020-06-13;12
with_mirrors;2020-06-14;8
with_mirrors;2020-06-15;1
without_mirrors;2020-06-15;1
with_mirrors;2020-06-16;1
without_mirrors;2020-06-16;1
with_mirrors;2020-06-17;20
without_mirrors;2020-06-17;1
with_mirrors;2020-06-18;8
with_mirrors;2020-06-19;18
with_mirrors;2020-06-20;6
with_mirrors;2020-06-22;3
without_mirrors;2020-06-22;3
with_mirrors;2020-06-23;3
without_mirrors;2020-06-23;3
with_mirrors;2020-06-24;25
without_mirrors;2020-06-24;1
with_mirrors;2020-06-25;12
with_mirrors;2020-06-26;18
with_mirrors;2020-06-27;21
