category;date;downloads
with_mirrors;2020-08-30;116
without_mirrors;2020-08-30;21
with_mirrors;2020-08-31;91
without_mirrors;2020-08-31;17
without_mirrors;2020-09-01;4
with_mirrors;2020-09-01;32
with_mirrors;2020-09-02;18
without_mirrors;2020-09-02;7
with_mirrors;2020-09-03;6
without_mirrors;2020-09-03;2
with_mirrors;2020-09-04;102
without_mirrors;2020-09-04;20
with_mirrors;2020-09-05;392
without_mirrors;2020-09-05;59
with_mirrors;2020-09-06;148
without_mirrors;2020-09-06;13
with_mirrors;2020-09-07;82
without_mirrors;2020-09-07;22
without_mirrors;2020-09-08;2
with_mirrors;2020-09-08;25
with_mirrors;2020-09-09;13
without_mirrors;2020-09-09;3
with_mirrors;2020-09-10;8
without_mirrors;2020-09-10;1
without_mirrors;2020-09-11;12
with_mirrors;2020-09-11;48
without_mirrors;2020-09-12;7
with_mirrors;2020-09-12;45
with_mirrors;2020-09-13;24
without_mirrors;2020-09-14;4
with_mirrors;2020-09-14;26
without_mirrors;2020-09-15;1
with_mirrors;2020-09-15;19
with_mirrors;2020-09-16;22
without_mirrors;2020-09-16;1
with_mirrors;2020-09-17;11
without_mirrors;2020-09-17;3
with_mirrors;2020-09-18;18
without_mirrors;2020-09-18;2
with_mirrors;2020-09-19;14
without_mirrors;2020-09-19;2
with_mirrors;2020-09-20;16
with_mirrors;2020-09-21;11
without_mirrors;2020-09-21;3
with_mirrors;2020-09-22;7
with_mirrors;2020-09-23;19
without_mirrors;2020-09-24;2
with_mirrors;2020-09-24;2
with_mirrors;2020-09-25;13
without_mirrors;2020-09-25;1
with_mirrors;2020-09-26;16
with_mirrors;2020-09-27;8
with_mirrors;2020-09-28;10
without_mirrors;2020-09-28;2
without_mirrors;2020-09-29;1
with_mirrors;2020-09-29;12
with_mirrors;2020-09-30;2
with_mirrors;2020-10-01;22
without_mirrors;2020-10-01;3
with_mirrors;2020-10-02;197
without_mirrors;2020-10-02;42
with_mirrors;2020-10-03;315
without_mirrors;2020-10-03;46
without_mirrors;2020-10-04;8
with_mirrors;2020-10-04;92
without_mirrors;2020-10-05;9
with_mirrors;2020-10-05;56
with_mirrors;2020-10-06;35
without_mirrors;2020-10-06;8
without_mirrors;2020-10-07;1
with_mirrors;2020-10-07;11
with_mirrors;2020-10-08;18
without_mirrors;2020-10-09;8
with_mirrors;2020-10-09;22
with_mirrors;2020-10-10;39
with_mirrors;2020-10-11;12
with_mirrors;2020-10-12;37
without_mirrors;2020-10-12;2
with_mirrors;2020-10-13;20
without_mirrors;2020-10-13;4
with_mirrors;2020-10-14;32
without_mirrors;2020-10-14;2
without_mirrors;2020-10-15;11
with_mirrors;2020-10-15;33
without_mirrors;2020-10-16;1
with_mirrors;2020-10-16;20
without_mirrors;2020-10-17;15
with_mirrors;2020-10-17;98
without_mirrors;2020-10-18;1
with_mirrors;2020-10-18;3
with_mirrors;2020-10-19;28
with_mirrors;2020-10-20;4
without_mirrors;2020-10-21;1
with_mirrors;2020-10-21;20
with_mirrors;2020-10-22;14
without_mirrors;2020-10-22;5
with_mirrors;2020-10-24;17
with_mirrors;2020-10-25;41
with_mirrors;2020-10-26;14
with_mirrors;2020-10-27;35
without_mirrors;2020-10-27;2
with_mirrors;2020-10-28;18
without_mirrors;2020-10-29;1
with_mirrors;2020-10-29;48
with_mirrors;2020-10-30;40
with_mirrors;2020-10-31;4
with_mirrors;2020-11-01;42
without_mirrors;2020-11-02;3
with_mirrors;2020-11-02;28
with_mirrors;2020-11-03;18
without_mirrors;2020-11-03;10
with_mirrors;2020-11-04;13
with_mirrors;2020-11-05;9
with_mirrors;2020-11-06;10
with_mirrors;2020-11-07;39
with_mirrors;2020-11-08;20
with_mirrors;2020-11-09;4
with_mirrors;2020-11-10;33
with_mirrors;2020-11-11;36
without_mirrors;2020-11-12;1
with_mirrors;2020-11-12;18
without_mirrors;2020-11-13;1
with_mirrors;2020-11-13;27
with_mirrors;2020-11-14;73
with_mirrors;2020-11-15;42
with_mirrors;2020-11-16;15
without_mirrors;2020-12-26;2
with_mirrors;2020-12-26;16
with_mirrors;2020-12-27;14
with_mirrors;2020-12-28;17
without_mirrors;2020-12-28;3
with_mirrors;2020-12-30;7
with_mirrors;2020-12-31;26
with_mirrors;2021-01-01;15
without_mirrors;2021-01-01;1
