category;date;downloads
without_mirrors;2020-05-01;1
with_mirrors;2020-05-01;5
without_mirrors;2020-05-02;1
with_mirrors;2020-05-02;1
without_mirrors;2020-05-03;2
with_mirrors;2020-05-03;2
with_mirrors;2020-05-04;2
with_mirrors;2020-05-05;2
with_mirrors;2020-05-06;2
without_mirrors;2020-05-06;2
with_mirrors;2020-05-07;4
with_mirrors;2020-05-08;3
with_mirrors;2020-05-09;1
without_mirrors;2020-05-09;1
with_mirrors;2020-05-11;9
without_mirrors;2020-05-11;3
with_mirrors;2020-05-12;1
without_mirrors;2020-05-12;1
with_mirrors;2020-05-13;8
with_mirrors;2020-05-14;8
without_mirrors;2020-05-14;2
without_mirrors;2020-05-16;2
with_mirrors;2020-05-16;2
with_mirrors;2020-05-17;12
without_mirrors;2020-05-18;1
with_mirrors;2020-05-18;3
without_mirrors;2020-05-19;2
with_mirrors;2020-05-19;9
with_mirrors;2020-05-20;8
with_mirrors;2020-05-21;7
without_mirrors;2020-05-21;3
with_mirrors;2020-05-22;6
with_mirrors;2020-05-23;4
without_mirrors;2020-05-23;2
without_mirrors;2020-05-24;1
with_mirrors;2020-05-24;3
with_mirrors;2020-05-25;7
without_mirrors;2020-05-25;1
with_mirrors;2020-05-26;2
without_mirrors;2020-05-27;2
with_mirrors;2020-05-27;5
with_mirrors;2020-05-28;5
without_mirrors;2020-05-28;1
with_mirrors;2020-05-29;4
with_mirrors;2020-05-30;6
without_mirrors;2020-05-31;3
with_mirrors;2020-05-31;5
with_mirrors;2020-06-01;7
without_mirrors;2020-06-01;5
with_mirrors;2020-06-02;1
without_mirrors;2020-06-02;1
with_mirrors;2020-06-04;15
without_mirrors;2020-06-04;3
with_mirrors;2020-06-05;4
with_mirrors;2020-06-06;6
with_mirrors;2020-06-07;4
without_mirrors;2020-06-07;1
with_mirrors;2020-06-08;3
without_mirrors;2020-06-08;1
without_mirrors;2020-06-09;3
with_mirrors;2020-06-09;7
with_mirrors;2020-06-10;6
without_mirrors;2020-06-10;2
with_mirrors;2020-06-11;4
without_mirrors;2020-06-11;4
without_mirrors;2020-06-12;4
with_mirrors;2020-06-12;6
with_mirrors;2020-06-13;5
without_mirrors;2020-06-13;3
with_mirrors;2020-06-14;10
with_mirrors;2020-06-15;1
without_mirrors;2020-06-15;1
without_mirrors;2020-06-16;3
with_mirrors;2020-06-16;4
with_mirrors;2020-06-17;7
without_mirrors;2020-06-17;1
without_mirrors;2020-06-18;1
with_mirrors;2020-06-18;5
without_mirrors;2020-06-19;6
with_mirrors;2020-06-19;10
without_mirrors;2020-06-20;2
with_mirrors;2020-06-20;4
without_mirrors;2020-06-21;1
with_mirrors;2020-06-21;3
with_mirrors;2020-06-23;5
without_mirrors;2020-06-23;5
without_mirrors;2020-06-24;2
with_mirrors;2020-06-24;6
without_mirrors;2020-06-25;3
with_mirrors;2020-06-25;5
with_mirrors;2020-06-26;2
with_mirrors;2020-06-27;3
without_mirrors;2020-06-27;1
without_mirrors;2020-06-28;1
with_mirrors;2020-06-28;3
with_mirrors;2020-06-29;3
without_mirrors;2020-06-29;1
with_mirrors;2020-06-30;6
without_mirrors;2020-06-30;2
with_mirrors;2020-07-01;12
without_mirrors;2020-07-01;6
with_mirrors;2020-07-02;4
without_mirrors;2020-07-02;2
with_mirrors;2020-07-03;6
with_mirrors;2020-07-04;6
with_mirrors;2020-07-05;2
without_mirrors;2020-07-06;3
with_mirrors;2020-07-06;3
without_mirrors;2020-07-07;1
with_mirrors;2020-07-07;1
without_mirrors;2020-07-08;3
with_mirrors;2020-07-08;9
with_mirrors;2020-07-09;6
without_mirrors;2020-07-09;2
without_mirrors;2020-07-10;2
with_mirrors;2020-07-10;2
with_mirrors;2020-07-11;5
without_mirrors;2020-07-11;1
with_mirrors;2020-07-12;2
without_mirrors;2020-07-12;2
with_mirrors;2020-07-13;4
with_mirrors;2020-07-14;7
without_mirrors;2020-07-14;2
with_mirrors;2020-07-15;4
without_mirrors;2020-07-15;3
without_mirrors;2020-07-16;2
with_mirrors;2020-07-16;8
with_mirrors;2020-07-17;5
without_mirrors;2020-07-17;5
without_mirrors;2020-07-18;3
with_mirrors;2020-07-18;5
without_mirrors;2020-07-19;1
with_mirrors;2020-07-19;3
with_mirrors;2020-07-20;7
without_mirrors;2020-07-20;5
without_mirrors;2020-07-21;4
with_mirrors;2020-07-21;8
without_mirrors;2020-07-22;5
with_mirrors;2020-07-22;5
with_mirrors;2020-07-23;2
without_mirrors;2020-07-23;2
without_mirrors;2020-07-24;2
with_mirrors;2020-07-24;6
with_mirrors;2020-07-25;1
with_mirrors;2020-07-26;4
