category;date;downloads
without_mirrors;2020-05-01;67
with_mirrors;2020-05-01;214
without_mirrors;2020-05-02;65
with_mirrors;2020-05-02;195
without_mirrors;2020-05-03;45
with_mirrors;2020-05-03;81
with_mirrors;2020-05-04;53
without_mirrors;2020-05-04;33
with_mirrors;2020-05-05;31
without_mirrors;2020-05-05;19
with_mirrors;2020-05-06;29
without_mirrors;2020-05-06;9
with_mirrors;2020-05-07;28
without_mirrors;2020-05-07;21
with_mirrors;2020-05-08;76
without_mirrors;2020-05-08;45
without_mirrors;2020-05-09;37
with_mirrors;2020-05-09;63
with_mirrors;2020-05-10;28
without_mirrors;2020-05-10;22
without_mirrors;2020-05-11;18
with_mirrors;2020-05-11;26
with_mirrors;2020-05-12;42
without_mirrors;2020-05-12;18
without_mirrors;2020-05-13;12
with_mirrors;2020-05-13;44
with_mirrors;2020-05-14;43
without_mirrors;2020-05-14;8
with_mirrors;2020-05-15;29
without_mirrors;2020-05-15;13
without_mirrors;2020-05-16;9
with_mirrors;2020-05-16;9
with_mirrors;2020-05-17;35
without_mirrors;2020-05-17;7
without_mirrors;2020-05-18;12
with_mirrors;2020-05-18;72
with_mirrors;2020-05-19;14
without_mirrors;2020-05-19;11
with_mirrors;2020-05-20;25
without_mirrors;2020-05-20;22
with_mirrors;2020-05-21;75
without_mirrors;2020-05-21;11
with_mirrors;2020-05-22;22
without_mirrors;2020-05-22;6
without_mirrors;2020-05-23;86
with_mirrors;2020-05-23;355
without_mirrors;2020-05-24;135
with_mirrors;2020-05-24;752
with_mirrors;2020-05-25;640
without_mirrors;2020-05-25;61
without_mirrors;2020-05-26;38
with_mirrors;2020-05-26;121
with_mirrors;2020-05-27;182
without_mirrors;2020-05-27;100
without_mirrors;2020-05-28;20
with_mirrors;2020-05-28;95
with_mirrors;2020-05-29;88
without_mirrors;2020-05-29;26
without_mirrors;2020-05-30;8
with_mirrors;2020-05-30;58
without_mirrors;2020-05-31;33
with_mirrors;2020-05-31;99
with_mirrors;2020-06-01;49
without_mirrors;2020-06-01;10
without_mirrors;2020-06-02;11
with_mirrors;2020-06-02;43
without_mirrors;2020-06-03;10
with_mirrors;2020-06-03;80
without_mirrors;2020-06-04;21
with_mirrors;2020-06-04;41
without_mirrors;2020-06-05;9
with_mirrors;2020-06-05;107
without_mirrors;2020-06-06;11
with_mirrors;2020-06-06;113
without_mirrors;2020-06-07;11
with_mirrors;2020-06-07;62
with_mirrors;2020-06-08;101
without_mirrors;2020-06-08;24
without_mirrors;2020-06-09;7
with_mirrors;2020-06-09;17
without_mirrors;2020-06-10;11
with_mirrors;2020-06-10;49
with_mirrors;2020-06-11;54
without_mirrors;2020-06-11;18
with_mirrors;2020-06-12;14
without_mirrors;2020-06-12;14
without_mirrors;2020-06-13;7
with_mirrors;2020-06-13;29
without_mirrors;2020-06-14;10
with_mirrors;2020-06-14;12
with_mirrors;2020-06-15;95
without_mirrors;2020-06-15;19
without_mirrors;2020-06-16;37
with_mirrors;2020-06-16;48
without_mirrors;2020-06-17;5
with_mirrors;2020-06-17;41
without_mirrors;2020-06-18;4
with_mirrors;2020-06-18;52
without_mirrors;2020-06-19;12
with_mirrors;2020-06-19;80
without_mirrors;2020-06-20;7
with_mirrors;2020-06-20;9
with_mirrors;2020-06-21;59
without_mirrors;2020-06-21;14
with_mirrors;2020-06-22;27
without_mirrors;2020-06-22;17
without_mirrors;2020-06-23;7
with_mirrors;2020-06-23;17
without_mirrors;2020-06-24;20
with_mirrors;2020-06-24;32
without_mirrors;2020-06-25;13
with_mirrors;2020-06-25;32
without_mirrors;2020-06-26;6
with_mirrors;2020-06-26;48
without_mirrors;2020-06-27;12
with_mirrors;2020-06-27;46
with_mirrors;2020-06-28;31
without_mirrors;2020-06-28;25
without_mirrors;2020-06-29;6
with_mirrors;2020-06-29;33
with_mirrors;2020-06-30;25
without_mirrors;2020-06-30;17
with_mirrors;2020-07-01;178
without_mirrors;2020-07-01;29
with_mirrors;2020-07-02;130
without_mirrors;2020-07-02;27
without_mirrors;2020-07-03;40
with_mirrors;2020-07-03;200
with_mirrors;2020-07-04;437
without_mirrors;2020-07-04;59
without_mirrors;2020-07-05;16
with_mirrors;2020-07-05;172
without_mirrors;2020-07-06;32
with_mirrors;2020-07-06;87
with_mirrors;2020-07-07;50
without_mirrors;2020-07-07;15
without_mirrors;2020-07-08;14
with_mirrors;2020-07-08;95
without_mirrors;2020-07-09;27
with_mirrors;2020-07-09;81
with_mirrors;2020-07-10;42
without_mirrors;2020-07-10;24
without_mirrors;2020-07-11;10
with_mirrors;2020-07-11;48
without_mirrors;2020-07-12;15
with_mirrors;2020-07-12;77
with_mirrors;2020-07-13;47
without_mirrors;2020-07-13;21
without_mirrors;2020-07-14;25
with_mirrors;2020-07-14;67
with_mirrors;2020-07-15;83
without_mirrors;2020-07-15;21
with_mirrors;2020-07-16;26
without_mirrors;2020-07-16;19
without_mirrors;2020-07-17;12
with_mirrors;2020-07-17;88
with_mirrors;2020-07-18;203
without_mirrors;2020-07-18;32
with_mirrors;2020-07-19;122
without_mirrors;2020-07-19;14
with_mirrors;2020-07-20;103
without_mirrors;2020-07-20;25
with_mirrors;2020-07-21;95
without_mirrors;2020-07-21;24
with_mirrors;2020-07-22;354
without_mirrors;2020-07-22;78
without_mirrors;2020-07-23;49
with_mirrors;2020-07-23;323
without_mirrors;2020-07-24;51
with_mirrors;2020-07-24;356
with_mirrors;2020-07-25;160
without_mirrors;2020-07-25;17
with_mirrors;2020-07-26;139
without_mirrors;2020-07-26;15
without_mirrors;2020-07-27;26
with_mirrors;2020-07-27;59
without_mirrors;2020-07-28;18
with_mirrors;2020-07-28;43
without_mirrors;2020-07-29;17
with_mirrors;2020-07-29;56
without_mirrors;2020-07-30;15
