category;date;downloads
with_mirrors;2020-09-16;80
without_mirrors;2020-09-16;13
with_mirrors;2020-09-17;71
without_mirrors;2020-09-17;10
with_mirrors;2020-09-18;28
without_mirrors;2020-09-18;8
with_mirrors;2020-09-19;11
without_mirrors;2020-09-19;2
with_mirrors;2020-09-20;10
without_mirrors;2020-09-20;8
without_mirrors;2020-09-21;7
with_mirrors;2020-09-21;16
without_mirrors;2020-09-22;5
with_mirrors;2020-09-22;8
without_mirrors;2020-09-23;1
with_mirrors;2020-09-23;8
with_mirrors;2020-09-24;9
without_mirrors;2020-09-24;3
with_mirrors;2020-09-25;11
without_mirrors;2020-09-25;3
without_mirrors;2020-09-26;5
with_mirrors;2020-09-26;9
