category;date;downloads
without_mirrors;2020-05-01;1
with_mirrors;2020-05-01;3
without_mirrors;2020-05-02;2
with_mirrors;2020-05-02;6
without_mirrors;2020-05-03;2
with_mirrors;2020-05-03;10
with_mirrors;2020-05-04;4
with_mirrors;2020-05-06;3
without_mirrors;2020-05-06;3
with_mirrors;2020-05-07;11
with_mirrors;2020-05-08;2
with_mirrors;2020-05-09;6
with_mirrors;2020-05-11;8
with_mirrors;2020-05-12;4
with_mirrors;2020-05-13;4
with_mirrors;2020-05-14;13
with_mirrors;2020-05-15;6
with_mirrors;2020-05-17;8
with_mirrors;2020-05-18;5
without_mirrors;2020-05-18;1
without_mirrors;2020-05-19;3
with_mirrors;2020-05-19;12
without_mirrors;2020-05-20;3
with_mirrors;2020-05-20;4
with_mirrors;2020-05-21;6
with_mirrors;2020-05-22;4
without_mirrors;2020-05-23;1
with_mirrors;2020-05-23;5
without_mirrors;2020-05-24;1
with_mirrors;2020-05-24;9
without_mirrors;2020-05-25;9
with_mirrors;2020-05-25;23
with_mirrors;2020-05-26;8
with_mirrors;2020-05-27;14
without_mirrors;2020-05-27;2
with_mirrors;2020-05-28;1
without_mirrors;2020-05-28;1
with_mirrors;2020-05-29;6
with_mirrors;2020-05-30;4
with_mirrors;2020-05-31;4
without_mirrors;2020-05-31;4
with_mirrors;2020-06-01;177
without_mirrors;2020-06-01;32
without_mirrors;2020-06-02;9
with_mirrors;2020-06-02;132
with_mirrors;2020-06-03;16
without_mirrors;2020-06-03;2
with_mirrors;2020-06-04;29
without_mirrors;2020-06-04;1
with_mirrors;2020-06-05;7
without_mirrors;2020-06-05;3
without_mirrors;2020-06-06;6
with_mirrors;2020-06-06;44
with_mirrors;2020-06-07;47
without_mirrors;2020-06-07;19
without_mirrors;2020-06-08;3
with_mirrors;2020-06-08;9
with_mirrors;2020-06-09;47
without_mirrors;2020-06-09;9
with_mirrors;2020-06-10;18
without_mirrors;2020-06-10;7
with_mirrors;2020-06-11;2
with_mirrors;2020-06-12;2
without_mirrors;2020-06-12;2
with_mirrors;2020-06-13;6
without_mirrors;2020-06-14;8
with_mirrors;2020-06-14;16
with_mirrors;2020-06-15;8
without_mirrors;2020-06-15;4
without_mirrors;2020-06-16;3
with_mirrors;2020-06-16;17
with_mirrors;2020-06-17;4
with_mirrors;2020-06-18;12
without_mirrors;2020-06-19;1
with_mirrors;2020-06-19;9
with_mirrors;2020-06-20;12
with_mirrors;2020-06-21;12
with_mirrors;2020-06-22;11
without_mirrors;2020-06-22;3
with_mirrors;2020-06-23;10
without_mirrors;2020-06-23;5
without_mirrors;2020-06-24;1
with_mirrors;2020-06-24;3
with_mirrors;2020-06-25;2
with_mirrors;2020-06-26;4
without_mirrors;2020-06-26;2
with_mirrors;2020-06-27;12
with_mirrors;2020-06-29;3
without_mirrors;2020-06-29;3
with_mirrors;2020-06-30;14
with_mirrors;2020-07-01;6
without_mirrors;2020-07-01;1
with_mirrors;2020-07-02;2
with_mirrors;2020-07-03;10
with_mirrors;2020-07-04;12
with_mirrors;2020-07-05;18
with_mirrors;2020-07-06;2
without_mirrors;2020-07-06;2
without_mirrors;2020-07-07;1
with_mirrors;2020-07-07;6
with_mirrors;2020-07-08;10
without_mirrors;2020-07-08;1
without_mirrors;2020-07-09;3
with_mirrors;2020-07-09;16
with_mirrors;2020-07-10;8
without_mirrors;2020-07-10;2
with_mirrors;2020-07-11;8
without_mirrors;2020-07-12;3
with_mirrors;2020-07-12;3
without_mirrors;2020-07-13;3
with_mirrors;2020-07-13;21
with_mirrors;2020-07-14;4
without_mirrors;2020-07-14;2
with_mirrors;2020-07-15;34
without_mirrors;2020-07-15;4
with_mirrors;2020-07-16;2
without_mirrors;2020-07-16;2
without_mirrors;2020-07-17;1
with_mirrors;2020-07-17;7
with_mirrors;2020-07-18;15
without_mirrors;2020-07-18;1
with_mirrors;2020-07-19;1
without_mirrors;2020-07-19;1
with_mirrors;2020-07-20;4
with_mirrors;2020-07-21;18
without_mirrors;2020-07-21;8
with_mirrors;2020-07-22;27
without_mirrors;2020-07-22;21
with_mirrors;2020-07-23;7
without_mirrors;2020-07-23;4
with_mirrors;2020-07-24;2
without_mirrors;2020-07-24;2
with_mirrors;2020-07-25;8
with_mirrors;2020-07-27;3
without_mirrors;2020-07-28;3
with_mirrors;2020-07-28;9
with_mirrors;2020-07-29;2
without_mirrors;2020-07-29;2
with_mirrors;2020-07-30;18
without_mirrors;2020-07-31;1
with_mirrors;2020-07-31;2
with_mirrors;2020-08-01;20
without_mirrors;2020-08-01;2
with_mirrors;2020-08-02;7
without_mirrors;2020-08-02;1
with_mirrors;2020-08-03;19
with_mirrors;2020-08-04;5
without_mirrors;2020-08-05;2
with_mirrors;2020-08-05;3
without_mirrors;2020-08-06;1
with_mirrors;2020-08-06;34
without_mirrors;2020-08-07;2
with_mirrors;2020-08-07;14
without_mirrors;2020-08-08;2
with_mirrors;2020-08-08;14
with_mirrors;2020-08-09;13
with_mirrors;2020-08-10;8
without_mirrors;2020-08-11;1
with_mirrors;2020-08-11;1
with_mirrors;2020-08-12;6
with_mirrors;2020-08-13;11
without_mirrors;2020-08-13;1
with_mirrors;2020-08-14;16
without_mirrors;2020-08-14;1
with_mirrors;2020-08-15;12
without_mirrors;2020-08-16;2
with_mirrors;2020-08-16;32
with_mirrors;2020-08-17;4
with_mirrors;2020-08-18;6
with_mirrors;2020-08-20;12
without_mirrors;2020-08-21;4
with_mirrors;2020-08-21;10
with_mirrors;2020-08-23;2
without_mirrors;2020-08-23;2
without_mirrors;2020-08-24;2
with_mirrors;2020-08-24;2
with_mirrors;2020-08-25;15
without_mirrors;2020-08-25;4
with_mirrors;2020-08-26;4
without_mirrors;2020-08-26;1
with_mirrors;2020-08-27;3
with_mirrors;2020-08-28;17
with_mirrors;2020-08-29;24
without_mirrors;2020-08-30;1
with_mirrors;2020-08-30;5
with_mirrors;2020-09-01;13
without_mirrors;2020-09-01;1
without_mirrors;2020-09-02;4
with_mirrors;2020-09-02;24
without_mirrors;2020-09-03;1
with_mirrors;2020-09-03;5
with_mirrors;2020-09-04;8
without_mirrors;2020-09-04;2
with_mirrors;2020-09-05;8
without_mirrors;2020-09-05;2
with_mirrors;2020-09-06;5
without_mirrors;2020-09-06;3
with_mirrors;2020-09-07;13
without_mirrors;2020-09-07;2
with_mirrors;2020-09-08;13
without_mirrors;2020-09-08;3
without_mirrors;2020-09-09;1
with_mirrors;2020-09-09;3
without_mirrors;2020-09-10;1
with_mirrors;2020-09-10;11
with_mirrors;2020-09-11;15
without_mirrors;2020-09-11;1
with_mirrors;2020-09-12;12
with_mirrors;2020-09-13;12
with_mirrors;2020-09-14;10
with_mirrors;2020-09-15;8
without_mirrors;2020-09-16;1
with_mirrors;2020-09-16;4
without_mirrors;2020-09-17;2
with_mirrors;2020-09-17;13
with_mirrors;2020-09-18;7
without_mirrors;2020-09-18;2
without_mirrors;2020-09-19;1
with_mirrors;2020-09-19;3
with_mirrors;2020-09-21;16
without_mirrors;2020-09-21;2
with_mirrors;2020-09-22;6
with_mirrors;2020-09-23;9
with_mirrors;2020-09-26;12
with_mirrors;2020-09-27;6
without_mirrors;2020-09-28;2
with_mirrors;2020-09-28;2
with_mirrors;2020-09-29;6
without_mirrors;2020-09-29;1
with_mirrors;2020-09-30;12
without_mirrors;2020-10-01;2
with_mirrors;2020-10-01;8
with_mirrors;2020-10-02;10
without_mirrors;2020-10-02;5
with_mirrors;2020-10-03;6
without_mirrors;2020-10-06;3
with_mirrors;2020-10-06;3
with_mirrors;2020-10-07;1
without_mirrors;2020-10-08;1
with_mirrors;2020-10-08;1
without_mirrors;2020-10-09;2
with_mirrors;2020-10-09;2
with_mirrors;2020-10-10;18
without_mirrors;2020-10-11;1
with_mirrors;2020-10-11;13
with_mirrors;2020-10-12;14
with_mirrors;2020-10-13;3
with_mirrors;2020-10-15;10
with_mirrors;2020-10-16;1
without_mirrors;2020-10-16;1
without_mirrors;2020-10-17;1
with_mirrors;2020-10-17;15
with_mirrors;2020-10-18;11
with_mirrors;2020-10-19;6
without_mirrors;2020-10-19;6
with_mirrors;2020-10-20;8
without_mirrors;2020-10-20;2
without_mirrors;2020-10-21;1
with_mirrors;2020-10-21;1
with_mirrors;2020-10-22;4
with_mirrors;2020-10-23;7
without_mirrors;2020-10-23;3
with_mirrors;2020-10-25;13
without_mirrors;2020-10-25;1
without_mirrors;2020-10-27;1
